trajectory,posthoc,primary_PH_Huber_n,primary_PH_Huber_Dt_med,primary_PH_Huber_Dt_q25,primary_PH_Huber_Dt_q75,primary_PH_Huber_Dt_iqr,primary_PH_Huber_Dr_med,primary_PH_Huber_Dr_q25,primary_PH_Huber_Dr_q75,primary_PH_Huber_Dr_iqr,primary_PH_Huber_t_better_frac,primary_PH_Huber_r_better_frac,primary_PH_Huber_t_tie_frac,primary_PH_Huber_r_tie_frac,primary_PH_Huber_quad_tbetter_rbetter_frac,primary_PH_Huber_quad_tbetter_rbetter_n,primary_PH_Huber_quad_tbetter_rworse_frac,primary_PH_Huber_quad_tbetter_rworse_n,primary_PH_Huber_quad_tworse_rbetter_frac,primary_PH_Huber_quad_tworse_rbetter_n,primary_PH_Huber_quad_tworse_rworse_frac,primary_PH_Huber_quad_tworse_rworse_n,secondary_PH_Patch_n,secondary_PH_Patch_Dt_med,secondary_PH_Patch_Dt_q25,secondary_PH_Patch_Dt_q75,secondary_PH_Patch_Dt_iqr,secondary_PH_Patch_Dr_med,secondary_PH_Patch_Dr_q25,secondary_PH_Patch_Dr_q75,secondary_PH_Patch_Dr_iqr,secondary_PH_Patch_t_better_frac,secondary_PH_Patch_r_better_frac,secondary_PH_Patch_t_tie_frac,secondary_PH_Patch_r_tie_frac,secondary_PH_Patch_quad_tbetter_rbetter_frac,secondary_PH_Patch_quad_tbetter_rbetter_n,secondary_PH_Patch_quad_tbetter_rworse_frac,secondary_PH_Patch_quad_tbetter_rworse_n,secondary_PH_Patch_quad_tworse_rbetter_frac,secondary_PH_Patch_quad_tworse_rbetter_n,secondary_PH_Patch_quad_tworse_rworse_frac,secondary_PH_Patch_quad_tworse_rworse_n,primary_n_blocks,primary_median_block_gain_t,primary_block_boot_point,primary_block_boot_lo,primary_block_boot_hi,primary_block_ci_crosses_zero,primary_blocks_positive,primary_blocks_negative,primary_blocks_zero,primary_signflip_p
VI,0,501,-45.3799532674704,-51.63183592204531,-39.505250814088484,12.126585107956828,0.421019787289143,-0.14451642515346919,0.9269905298143684,1.0715069549678375,1.0,0.3253493013972056,0.0,0.0,0.3253493013972056,163,0.6746506986027944,338,0.0,0,0.0,0,501,-16.179623129738175,-20.281277154783425,-10.581560330133016,9.699716824650409,-0.4242535522376265,-0.686537916387155,-0.15934687278614135,0.5271910436010137,0.9920159680638723,0.8622754491017964,0.0,0.0,0.8602794411177644,431,0.1317365269461078,66,0.001996007984031936,1,0.005988023952095809,3,6,45.059185958327475,45.3799532674704,43.191085603712864,47.06426401110586,False,6,0,0,0.0004997501249375312
IV,0,156,-31.806695607959142,-38.060075296283145,-26.103503781039247,11.956571515243898,0.05219851842437362,-0.25415865497919077,0.6373530430854268,0.8915116980646176,1.0,0.46153846153846156,0.0,0.0,0.46153846153846156,72,0.5384615384615384,84,0.0,0,0.0,0,156,-24.199135974861385,-31.96928333270856,-18.990209609544646,12.979073723163914,-0.4485617685062733,-0.7105625914214964,-0.12701454718344796,0.5835480442380484,1.0,0.8269230769230769,0.0,0.0,0.8269230769230769,129,0.17307692307692307,27,0.0,0,0.0,0,4,29.883063874452894,31.806695607959142,22.396123948651727,34.68638056436181,False,4,0,0,0.0004997501249375312
II,0,428,-7.873511154948556,-12.489239025335179,0.011515460842041136,12.50075448617722,0.4977056037487792,0.09178941929778497,0.9122587702574867,0.8204693509597017,0.75,0.18457943925233644,0.0,0.0,0.15186915887850466,65,0.5981308411214953,256,0.03271028037383177,14,0.21728971962616822,93,428,-6.966115681752306,-21.197659420782283,4.400858192806929,25.598517613589213,-0.08917469521907256,-0.49956614035940855,1.1095914224639842,1.6091575628233927,0.6355140186915887,0.5350467289719626,0.0,0.0,0.4369158878504673,187,0.1985981308411215,85,0.09813084112149532,42,0.26635514018691586,114,9,3.9022966924017126,7.873511154948556,1.6113392056900473,12.085140901162951,False,8,1,0,0.0004997501249375312
III,1,371,-19.662711543654517,-34.34958520185086,-7.562930155669507,26.78665504618135,0.7200132573811806,0.3485337977484293,1.0988364482581026,0.7503026505096733,0.8598382749326146,0.1778975741239892,0.0,0.0,0.1778975741239892,66,0.6819407008086253,253,0.0,0,0.14016172506738545,52,371,-5.684058003409454,-16.034966553993776,1.471404562006322,17.506371116000096,-0.20130674610234456,-0.7132867255635006,0.22106283123879433,0.9343495568022949,0.6738544474393531,0.601078167115903,0.0,0.0,0.3611859838274933,134,0.31266846361185985,116,0.2398921832884097,89,0.0862533692722372,32,8,18.25437834496772,19.662711543654517,6.080280269829871,34.16447139539983,False,6,2,0,0.0004997501249375312
