trajectory,frame_id,method,perturbation_level,direction_id,translation_init_mm,rotation_init_deg,final_translation_error_mm,final_rotation_error_deg,iterations,termination_reason,hit_iteration_cap,hit_translation_boundary,hit_rotation_boundary,final_objective,ref_translation_error_mm,ref_rotation_error_deg,delta_init_t_mm,delta_init_r_deg,posthoc
VI,0,Raw,reference,none,0.0,0.0,148.82663013139725,4.916122977551957,25,tol,0,0,0,0.004028639429794489,148.82663013139725,4.916122977551957,0.0,0.0,0
VI,0,Raw,L1,v1,10.0,0.5,148.71669304944496,4.946212741947339,25,tol,0,0,0,0.0040286377543236,148.82663013139725,4.916122977551957,-0.10993708195229601,0.030089764395381913,0
VI,0,Raw,L1,v2,10.0,0.5,148.67315977221773,4.95467599919246,27,tol,0,0,0,0.00402863580567358,148.82663013139725,4.916122977551957,-0.15347035917952212,0.038553021640503005,0
VI,0,Raw,L1,v3,10.0,0.5,149.19672351826884,4.7596151785110585,36,tol,0,0,0,0.004028803280797051,148.82663013139725,4.916122977551957,0.3700933868715879,-0.15650779904089873,0
VI,0,Raw,L1,v4,10.0,0.5,148.31232128156367,5.035390861914942,25,tol,0,0,0,0.004028735366157734,148.82663013139725,4.916122977551957,-0.5143088498335828,0.11926788436298441,0
VI,0,Raw,L2,v1,30.0,1.0,148.94792468961185,4.853460215713534,23,tol,0,0,0,0.0040286520462283915,148.82663013139725,4.916122977551957,0.12129455821460056,-0.06266276183842301,0
VI,0,Raw,L2,v2,30.0,1.0,148.32169572510136,5.026530273456818,28,tol,0,0,0,0.004028725995827214,148.82663013139725,4.916122977551957,-0.504934406295888,0.11040729590486098,0
VI,0,Raw,L2,v3,30.0,1.0,149.5192109054809,4.684817622144786,40,cap,1,0,0,0.004029100507422554,148.82663013139725,4.916122977551957,0.6925807740836376,-0.23130535540717112,0
VI,0,Raw,L2,v4,30.0,1.0,148.23027778660534,5.120895487156951,40,cap,1,0,0,0.004028937198490675,148.82663013139725,4.916122977551957,-0.5963523447919101,0.20477250960499394,0
VI,0,Raw,L3,v1,50.0,2.0,148.7715213829641,4.938319395592419,28,tol,0,0,0,0.004028634566930326,148.82663013139725,4.916122977551957,-0.05510874843315605,0.022196418040461907,0
VI,0,Raw,L3,v2,50.0,2.0,148.3039486304481,5.04013038064297,34,tol,0,0,0,0.004028743017740629,148.82663013139725,4.916122977551957,-0.5226815009491474,0.12400740309101277,0
VI,0,Raw,L3,v3,50.0,2.0,149.9756584653433,4.471224721167559,40,cap,1,0,0,0.004031204201585256,148.82663013139725,4.916122977551957,1.1490283339460348,-0.4448982563843984,0
VI,0,Raw,L3,v4,50.0,2.0,148.1557895792971,5.215938763124316,40,cap,1,0,0,0.004029325505943535,148.82663013139725,4.916122977551957,-0.6708405521001453,0.2998157855723589,0
VI,0,Huber,reference,none,0.0,0.0,137.80211559671113,4.725143915022509,40,cap,1,0,0,0.0009184191124927807,137.80211559671113,4.725143915022509,0.0,0.0,0
VI,0,Huber,L1,v1,10.0,0.5,137.7830332251826,4.748080860589137,40,cap,1,0,0,0.0009174153587165791,137.80211559671113,4.725143915022509,-0.01908237152852621,0.022936945566627287,0
VI,0,Huber,L1,v2,10.0,0.5,137.8009926648245,4.746402791825308,40,cap,1,0,0,0.0009175744639617794,137.80211559671113,4.725143915022509,-0.001122931886641254,0.02125887680279881,0
VI,0,Huber,L1,v3,10.0,0.5,138.21742305499723,4.522728330361556,40,cap,1,0,0,0.0009130886898532853,137.80211559671113,4.725143915022509,0.41530745828609383,-0.20241558466095366,0
VI,0,Huber,L1,v4,10.0,0.5,137.66486908947755,4.780020374319742,40,cap,1,0,0,0.0009171544204500512,137.80211559671113,4.725143915022509,-0.13724650723358423,0.054876459297232394,0
VI,0,Huber,L2,v1,30.0,1.0,137.87520362324696,4.706737021159346,40,cap,1,0,0,0.0009181029850441722,137.80211559671113,4.725143915022509,0.07308802653582802,-0.01840689386316363,0
VI,0,Huber,L2,v2,30.0,1.0,137.71832314472468,4.787073979271033,35,tol,0,0,0,0.0009178370888169953,137.80211559671113,4.725143915022509,-0.08379245198645435,0.06193006424852321,0
VI,0,Huber,L2,v3,30.0,1.0,138.35783289304564,4.13910864398013,40,cap,1,0,0,0.0009123300071904938,137.80211559671113,4.725143915022509,0.5557172963345067,-0.5860352710423795,0
VI,0,Huber,L2,v4,30.0,1.0,137.32449737278273,4.986250882702856,40,cap,1,0,0,0.0009106113091367075,137.80211559671113,4.725143915022509,-0.4776182239284026,0.26110696768034636,0
VI,0,Huber,L3,v1,50.0,2.0,137.78233298806956,4.7357548708372255,40,cap,1,0,0,0.0009171472693266374,137.80211559671113,4.725143915022509,-0.019782608641577326,0.01061095581471605,0
VI,0,Huber,L3,v2,50.0,2.0,137.6643021213361,4.809707946781846,40,cap,1,0,0,0.0009193296937908759,137.80211559671113,4.725143915022509,-0.13781347537502597,0.0845640317593368,0
VI,0,Huber,L3,v3,50.0,2.0,139.01490343550395,3.7210563429827617,40,cap,1,0,0,0.000928388353695818,137.80211559671113,4.725143915022509,1.2127878387928206,-1.0040875720397477,0
VI,0,Huber,L3,v4,50.0,2.0,137.07695371907064,5.367108035816303,40,cap,1,0,0,0.0009204629373400683,137.80211559671113,4.725143915022509,-0.7251618776404882,0.6419641207937934,0
VI,0,Patch,reference,none,0.0,0.0,106.61129452244053,5.764873846447402,32,tol,0,0,0,0.0038948834923475126,106.61129452244053,5.764873846447402,0.0,0.0,0
VI,0,Patch,L1,v1,10.0,0.5,106.65026622826532,5.762800436253338,28,tol,0,0,0,0.0038949009690894946,106.61129452244053,5.764873846447402,0.03897170582479248,-0.0020734101940638183,0
VI,0,Patch,L1,v2,10.0,0.5,106.5920416669277,5.77264819320214,30,tol,0,0,0,0.003894876750940218,106.61129452244053,5.764873846447402,-0.019252855512831957,0.007774346754738204,0
VI,0,Patch,L1,v3,10.0,0.5,106.72795070892185,5.744188386489629,40,cap,1,0,0,0.00389494756180391,106.61129452244053,5.764873846447402,0.11665618648132181,-0.0206854599577726,0
VI,0,Patch,L1,v4,10.0,0.5,106.37202954272509,5.812200867129991,27,tol,0,0,0,0.0038948808147020245,106.61129452244053,5.764873846447402,-0.23926497971544336,0.047327020682589094,0
VI,0,Patch,L2,v1,30.0,1.0,106.60513183392808,5.766217018256009,33,tol,0,0,0,0.0038948806756952735,106.61129452244053,5.764873846447402,-0.0061626885124468345,0.0013431718086076572,0
VI,0,Patch,L2,v2,30.0,1.0,106.44557834616373,5.801072803291399,31,tol,0,0,0,0.00389487286586088,106.61129452244053,5.764873846447402,-0.16571617627680268,0.03619895684399754,0
VI,0,Patch,L2,v3,30.0,1.0,106.94349028939207,5.610434760082813,40,cap,1,0,0,0.003895518196105246,106.61129452244053,5.764873846447402,0.33219576695154274,-0.15443908636458836,0
