trajectory,posthoc,n,globalvec_et_med,patch_et_med,marginal_med_gap_patch_minus_global,paired_d_t_med,paired_d_t_q25,paired_d_t_q75,paired_d_t_iqr,patch_better_frac,global_better_frac,tie_frac,n_blocks,median_block_effect,block_boot_point,block_boot_lo,block_boot_hi,block_ci_crosses_zero,blocks_positive,blocks_negative,blocks_zero,signflip_p_one_sided
VI,0,501,155.94241210283988,116.81527871617058,-39.1271333866693,33.91652779074042,25.849545864592542,44.35333329983695,18.503787435244405,1.0,0.0,0.0,6,33.70103345469532,33.91652779074042,26.691113331563344,43.55453096424758,False,6,0,0,0.0004997501249375312
IV,0,156,146.61330783603296,126.26002467918383,-20.35328315684913,19.309845105301584,14.995126330373381,24.720446125996972,9.72531979562359,0.9807692307692307,0.019230769230769232,0.0,4,17.83840402587947,19.309845105301584,12.085896301240084,24.21107782888722,False,4,0,0,0.0004997501249375312
II,0,428,51.164140468069704,41.77723740078632,-9.386903067283384,0.24040977969369948,-9.998543966174823,16.547372115833813,26.545916082008638,0.5093457943925234,0.49065420560747663,0.0,9,-1.6349325070129481,0.24040977969369948,-8.493392098709009,18.015303964598967,True,4,5,0,0.44627686156921537
III,1,371,62.35139239336614,41.29782690845897,-21.053565484907168,25.034598317679105,14.014365981739932,31.124572722582275,17.110206740842344,0.8814016172506739,0.11859838274932614,0.0,8,22.766892358887304,25.034598317679105,15.808856621513243,30.358385294302316,False,7,1,0,0.0004997501249375312
