traj,method,dJ_raw,det_vs_M0,et
vi,M0_raw_p2p,0.0050494188052758,0.0,148.82663013139725
vi,M0_raw_p2p,0.0052214237691115,0.0,152.12704174652154
vi,M0_raw_p2p,0.0056202139730449,0.0,155.5163438278263
vi,M0_raw_p2p,0.0063401133519622,0.0,157.5692560650436
vi,M0_raw_p2p,0.005560549197685,0.0,151.40492711490427
vi,M0_raw_p2p,0.0055021754349844,0.0,148.72802999250268
vi,M0_raw_p2p,0.0060658019502522,0.0,152.74119589850528
vi,M0_raw_p2p,0.0058174186054966,0.0,152.49312421602897
vi,M0_raw_p2p,0.0062303559572611,0.0,154.40232019421464
vi,M0_raw_p2p,0.0074135715414436,0.0,162.76387570565672
vi,M0_raw_p2p,0.0076596990029012,0.0,163.84990616459143
vi,M0_raw_p2p,0.0063192049282618,0.0,152.3683029101362
vi,M0_raw_p2p,0.0059582412208537,0.0,151.08436946473967
vi,M0_raw_p2p,0.0075638208754082,0.0,163.08384629251057
vi,M0_raw_p2p,0.0083778302127371,0.0,168.55513728444114
vi,M0_raw_p2p,0.0070967315664909,0.0,159.33941877436058
vi,M0_raw_p2p,0.0064808942659778,0.0,156.15726873046648
vi,M0_raw_p2p,0.006065309153186,0.0,151.3464905926848
vi,M0_raw_p2p,0.0056915363719881,0.0,146.08169726687532
vi,M0_raw_p2p,0.0057548255436206,0.0,148.62554572919302
vi,M0_raw_p2p,0.0064055484604065,0.0,158.3950859458633
vi,M0_raw_p2p,0.0059735883850729,0.0,156.29876363566726
vi,M0_raw_p2p,0.005383415020178,0.0,149.4569197631465
vi,M0_raw_p2p,0.0045752451003302,0.0,138.51690381793904
vi,M0_raw_p2p,0.0046242042557585,0.0,136.66836451021706
vi,M0_raw_p2p,0.0060124592263528,0.0,148.95619195369554
vi,M0_raw_p2p,0.0065513338847353,0.0,153.02759628245957
vi,M0_raw_p2p,0.0067472200604076,0.0,156.95391063526975
vi,M0_raw_p2p,0.0063927290435269,0.0,157.30974435143804
vi,M0_raw_p2p,0.0057968925437608,0.0,151.85996047218947
vi,M0_raw_p2p,0.0055214922966595,0.0,147.85958022909705
vi,M0_raw_p2p,0.0058633688173091,0.0,151.13694978083257
vi,M0_raw_p2p,0.0063190309110294,0.0,156.54645738937097
vi,M0_raw_p2p,0.0070923063136715,0.0,162.10904467639494
vi,M0_raw_p2p,0.0064519308299209,0.0,156.4010113072841
vi,M0_raw_p2p,0.0059828688187422,0.0,151.3364189526446
vi,M0_raw_p2p,0.0049826133625499,0.0,140.80943343853926
vi,M0_raw_p2p,0.0049992475610159,0.0,141.97598923069128
vi,M0_raw_p2p,0.004853011869348,0.0,142.40180987590296
vi,M0_raw_p2p,0.0053034650478399,0.0,147.77667268914763
vi,M0_raw_p2p,0.0058539045798215,0.0,152.43890387688938
vi,M0_raw_p2p,0.0061502014468849,0.0,152.76831802049543
