et_mm,eR_deg,g_corr_gt,J_raw_gt,J_raw_final,dJ_raw,iters,on_bound,wmean,method,traj,order,scan,view,ndist,in_support,nearest_d
148.82663013139725,4.916122977551957,0.0601553050697251,0.0090780576159301,0.0040286388106543,0.0050494188052758,25,0,1.0,M0_raw_p2p,vi,0,0,oracle,0.0,True,0.0
146.38696111122928,4.609579005112327,0.047218165751443,0.0090780576159301,0.0040465289162517,0.0050315286996783,40,0,1.0,M1_raw_p2l,vi,0,0,oracle,0.0,True,0.0
137.80211559671113,4.725143915022509,0.0290256258272317,0.0090780576159301,0.0044689831306059,0.0046090744853241,40,0,0.783983679090229,M2_raw_huber,vi,0,0,oracle,0.0,True,0.0
143.55675465170106,4.924158570543002,0.0535529418123319,0.0090780576159301,0.0041848149355016,0.0048932426804284,25,0,1.0,M3_global_corr,vi,0,0,oracle,0.0,True,0.0
106.61129452244052,5.764873846447402,0.0382299943085078,0.0090780576159301,0.0048859992207762,0.0041920583951538,32,0,1.0,M4_patch_corr,vi,0,0,oracle,0.0,True,0.0
66.91086381228725,3.959045372299236,0.0313742281955152,0.0090780576159301,0.0058351217106435,0.0032429359052866,34,0,1.0,M5_full_corr,vi,0,0,oracle,0.0,True,0.0
152.12704174652154,4.585390755827114,0.0644050152002756,0.0092467569737723,0.0040253332046608,0.0052214237691115,39,0,1.0,M0_raw_p2p,vi,1,1,oracle,0.0,True,0.0
149.92701010127894,4.131107161010358,0.0520934416201394,0.0092467569737723,0.004053875830581,0.0051928811431912,18,0,1.0,M1_raw_p2l,vi,1,1,oracle,0.0,True,0.0
137.4099014134543,4.172898283486231,0.0305226583545716,0.0092467569737723,0.0044315072621342,0.004815249711638,40,0,0.7835033714566457,M2_raw_huber,vi,1,1,oracle,0.0,True,0.0
146.54259280257537,4.585871227931285,0.0570415937996427,0.0092467569737723,0.004179018095931,0.0050677388778412,39,0,1.0,M3_global_corr,vi,1,1,oracle,0.0,True,0.0
108.88781266907915,5.104143735386898,0.0390877891040075,0.0092467569737723,0.0048885098328836,0.0043582471408886,36,0,1.0,M4_patch_corr,vi,1,1,oracle,0.0,True,0.0
69.14918707300393,3.286580917399794,0.0312990789277538,0.0092467569737723,0.0058997162244003,0.003347040749372,26,0,1.0,M5_full_corr,vi,1,1,oracle,0.0,True,0.0
155.5163438278263,6.306839081781899,0.0704459081670215,0.0104949843167442,0.0048747703436992,0.0056202139730449,40,0,1.0,M0_raw_p2p,vi,2,2,oracle,0.0,True,1.4901161193847656e-08
155.98786802141393,6.806911663888723,0.0571528491299208,0.0104949843167442,0.0049300559754549,0.0055649283412892,40,0,1.0,M1_raw_p2l,vi,2,2,oracle,0.0,True,1.4901161193847656e-08
139.37858816870744,5.507928747921981,0.0322194777963187,0.0104949843167442,0.0054265586902362,0.0050684256265079,40,0,0.7950642186884713,M2_raw_huber,vi,2,2,oracle,0.0,True,1.4901161193847656e-08
148.79786991362118,6.306839081781919,0.0596220962335775,0.0104949843167442,0.0050428836679561,0.005452100648788,40,0,1.0,M3_global_corr,vi,2,2,oracle,0.0,True,1.4901161193847656e-08
112.42273323651258,6.387281172993511,0.0402504376036825,0.0104949843167442,0.0057207326134163,0.0047742517033278,40,0,1.0,M4_patch_corr,vi,2,2,oracle,0.0,True,1.4901161193847656e-08
74.27971220243914,4.800295418974269,0.0336142419723931,0.0104949843167442,0.0066742511178156,0.0038207331989285,40,0,1.0,M5_full_corr,vi,2,2,oracle,0.0,True,1.4901161193847656e-08
157.5692560650436,4.049028099531629,0.0814304749167798,0.0122232037846133,0.005883090432651,0.0063401133519622,32,0,1.0,M0_raw_p2p,vi,3,3,oracle,0.0,True,1.4901161193847656e-08
156.98434856385367,4.153975289171641,0.0755997463095267,0.0122232037846133,0.0059836714485667,0.0062395323360466,40,0,1.0,M1_raw_p2l,vi,3,3,oracle,0.0,True,1.4901161193847656e-08
138.93976703494354,3.677022423841322,0.0321876365428808,0.0122232037846133,0.0065784830563687,0.0056447207282445,40,0,0.801846765665218,M2_raw_huber,vi,3,3,oracle,0.0,True,1.4901161193847656e-08
149.30915359284336,4.04731647064865,0.0674352409946298,0.0122232037846133,0.0060553749791138,0.0061678288054994,32,0,1.0,M3_global_corr,vi,3,3,oracle,0.0,True,1.4901161193847656e-08
116.88414374121584,4.4508227784987655,0.0489018472362564,0.0122232037846133,0.0067088969727342,0.005514306811879,29,0,1.0,M4_patch_corr,vi,3,3,oracle,0.0,True,1.4901161193847656e-08
78.91559633838777,2.932166065760782,0.0406685648020282,0.0122232037846133,0.0077644698613119,0.0044587339233014,40,0,1.0,M5_full_corr,vi,3,3,oracle,0.0,True,1.4901161193847656e-08
151.40492711490427,4.183191994792766,0.0732125587271387,0.0104490935066815,0.0048885443089965,0.005560549197685,31,0,1.0,M0_raw_p2p,vi,4,4,oracle,0.0,True,0.0
150.50774193993897,3.716999541325343,0.071576917203126,0.0104490935066815,0.0049426416869064,0.0055064518197751,40,0,1.0,M1_raw_p2l,vi,4,4,oracle,0.0,True,0.0
134.90078553778338,4.323982441380863,0.0291644481105109,0.0104490935066815,0.0054638894191115,0.00498520408757,40,0,0.7988117337235772,M2_raw_huber,vi,4,4,oracle,0.0,True,0.0
143.57337451600054,4.183196076868371,0.0607380963154531,0.0104490935066815,0.0050515816945354,0.0053975118121461,31,0,1.0,M3_global_corr,vi,4,4,oracle,0.0,True,0.0
111.1019943999492,5.052951589049166,0.0405714734521427,0.0104490935066815,0.0056996968508842,0.0047493966557973,31,0,1.0,M4_patch_corr,vi,4,4,oracle,0.0,True,0.0
75.16956208013794,3.452329415015847,0.0328563866866798,0.0104490935066815,0.0065588355337717,0.0038902579729098,29,0,1.0,M5_full_corr,vi,4,4,oracle,0.0,True,0.0
148.72802999250268,4.665506818002147,0.0726842037113498,0.0103722078346059,0.0048700323996214,0.0055021754349844,29,0,1.0,M0_raw_p2p,vi,5,5,oracle,0.0,True,0.0
149.79983630867338,3.6942596388694433,0.0758375013006147,0.0103722078346059,0.0049387952796109,0.005433412554995,40,0,1.0,M1_raw_p2l,vi,5,5,oracle,0.0,True,0.0
131.14662471839424,4.714330005367564,0.0329849026437557,0.0103722078346059,0.005452768572454,0.0049194392621518,40,0,0.8034524747942514,M2_raw_huber,vi,5,5,oracle,0.0,True,0.0
140.19139309357757,4.671281969148788,0.059759738914027,0.0103722078346059,0.0050343387977984,0.0053378690368074,30,0,1.0,M3_global_corr,vi,5,5,oracle,0.0,True,0.0
111.56584067977316,5.993242296533156,0.0412799274293887,0.0103722078346059,0.0056659944535002,0.0047062133811056,37,0,1.0,M4_patch_corr,vi,5,5,oracle,0.0,True,0.0
71.4515447537257,3.191741725197853,0.0334550567280319,0.0103722078346059,0.0066733530679686,0.0036988547666372,36,0,1.0,M5_full_corr,vi,5,5,oracle,0.0,True,0.0
152.74119589850528,5.536149267156991,0.0734243766135867,0.0112656335622971,0.0051998316120449,0.0060658019502522,40,0,1.0,M0_raw_p2p,vi,6,6,oracle,0.0,True,2.1073424255447017e-08
153.39395152741758,5.383365769829516,0.0734240361874383,0.0112656335622971,0.0052870311546181,0.005978602407679,40,0,1.0,M1_raw_p2l,vi,6,6,oracle,0.0,True,2.1073424255447017e-08
132.95212387286983,5.234492203733785,0.0351054209511011,0.0112656335622971,0.0059997863366548,0.0052658472256423,40,0,0.7917537300228292,M2_raw_huber,vi,6,6,oracle,0.0,True,2.1073424255447017e-08
144.07688545892634,5.53490630790047,0.0631388068306007,0.0112656335622971,0.0053583538402696,0.0059072797220275,40,0,1.0,M3_global_corr,vi,6,6,oracle,0.0,True,2.1073424255447017e-08
117.58284244097284,6.917776635006355,0.0451550480701295,0.0112656335622971,0.0059540513655232,0.0053115821967739,40,0,1.0,M4_patch_corr,vi,6,6,oracle,0.0,True,2.1073424255447017e-08
74.9294274368768,3.890521552924663,0.0352056025916,0.0112656335622971,0.0069948292263928,0.0042708043359043,40,0,1.0,M5_full_corr,vi,6,6,oracle,0.0,True,2.1073424255447017e-08
152.49312421602897,4.851415783437144,0.0705830253145427,0.0105732982048847,0.0047558795993881,0.0058174186054966,33,0,1.0,M0_raw_p2p,vi,7,7,oracle,0.0,True,0.0
159.59460230485817,4.900992592702966,0.0655370550408576,0.0105732982048847,0.0048572091957744,0.0057160890091103,40,0,1.0,M1_raw_p2l,vi,7,7,oracle,0.0,True,0.0
133.4362440324334,4.05016001785038,0.0330697382205227,0.0105732982048847,0.0054882204652975,0.0050850777395872,40,0,0.7836408033529337,M2_raw_huber,vi,7,7,oracle,0.0,True,0.0
144.29052809091664,4.851704923370804,0.0624222843296485,0.0105732982048847,0.0049143246960262,0.0056589735088585,34,0,1.0,M3_global_corr,vi,7,7,oracle,0.0,True,0.0
116.3236409284911,5.932500773140361,0.0442852825312855,0.0105732982048847,0.005484321308596,0.0050889768962887,40,0,1.0,M4_patch_corr,vi,7,7,oracle,0.0,True,0.0
75.19252017456682,3.775284988485355,0.0331783262554062,0.0105732982048847,0.0064500684795092,0.0041232297253755,38,0,1.0,M5_full_corr,vi,7,7,oracle,0.0,True,0.0
154.40232019421464,5.439939235794481,0.0766278231944977,0.0113004813237998,0.0050701253665386,0.0062303559572611,36,0,1.0,M0_raw_p2p,vi,8,8,oracle,0.0,True,1.4901161193847656e-08
