et_mm,eR_deg,g_corr_gt,J_raw_gt,J_raw_final,dJ_raw,iters,on_bound,wmean,method,traj,order,scan,view,ndist,in_support,nearest_d
148.82663013139725,4.916122977551957,0.06015530506972518,0.009078057615930177,0.00402863881065432,0.005049418805275857,25,0,1.0,M0_raw_p2p,vi,0,0,oracle,0.0,True,0.0
146.38696111122928,4.609579005112327,0.04721816575144307,0.009078057615930177,0.004046528916251795,0.0050315286996783825,40,0,1.0,M1_raw_p2l,vi,0,0,oracle,0.0,True,0.0
137.80211559671113,4.725143915022509,0.029025625827231723,0.009078057615930177,0.004468983130605991,0.0046090744853241866,40,0,0.783983679090229,M2_raw_huber,vi,0,0,oracle,0.0,True,0.0
143.55675465170106,4.924158570543002,0.05355294181233193,0.009078057615930177,0.00418481493550168,0.004893242680428497,25,0,1.0,M3_global_corr,vi,0,0,oracle,0.0,True,0.0
106.61129452244053,5.764873846447402,0.038229994308507875,0.009078057615930177,0.004885999220776278,0.004192058395153899,32,0,1.0,M4_patch_corr,vi,0,0,oracle,0.0,True,0.0
66.91086381228725,3.959045372299236,0.03137422819551522,0.009078057615930177,0.005835121710643572,0.003242935905286605,34,0,1.0,M5_full_corr,vi,0,0,oracle,0.0,True,0.0
152.12704174652154,4.585390755827114,0.0644050152002756,0.009246756973772358,0.004025333204660804,0.005221423769111554,39,0,1.0,M0_raw_p2p,vi,1,1,oracle,0.0,True,0.0
149.92701010127894,4.131107161010358,0.05209344162013943,0.009246756973772358,0.004053875830581064,0.005192881143191294,18,0,1.0,M1_raw_p2l,vi,1,1,oracle,0.0,True,0.0
137.4099014134543,4.172898283486231,0.03052265835457165,0.009246756973772358,0.004431507262134264,0.004815249711638094,40,0,0.7835033714566457,M2_raw_huber,vi,1,1,oracle,0.0,True,0.0
146.54259280257537,4.585871227931285,0.057041593799642715,0.009246756973772358,0.004179018095931061,0.005067738877841297,39,0,1.0,M3_global_corr,vi,1,1,oracle,0.0,True,0.0
108.88781266907915,5.104143735386898,0.039087789104007536,0.009246756973772358,0.0048885098328836805,0.0043582471408886774,36,0,1.0,M4_patch_corr,vi,1,1,oracle,0.0,True,0.0
69.14918707300393,3.2865809173997946,0.031299078927753826,0.009246756973772358,0.005899716224400357,0.003347040749372001,26,0,1.0,M5_full_corr,vi,1,1,oracle,0.0,True,0.0
155.5163438278263,6.306839081781899,0.07044590816702158,0.010494984316744201,0.004874770343699234,0.005620213973044967,40,0,1.0,M0_raw_p2p,vi,2,2,oracle,0.0,True,1.4901161193847656e-08
