et_mm,eR_deg,g_corr_gt,J_raw_gt,J_raw_final,dJ_raw,iters,on_bound,wmean,method,traj,order,scan,view,ndist,in_support,nearest_d
104.25570412650734,1.8842031441601357,0.05998421954947074,0.00446629931686464,0.0021681625656956483,0.002298136751168992,40,0,1.0,M0_raw_p2p,iv,0,0,oracle,1.1289708952612252,False,1.1289708952612252
100.17099015131957,1.624924995977445,0.05558481423681724,0.00446629931686464,0.0021735345610745223,0.002292764755790118,40,0,1.0,M1_raw_p2l,iv,0,0,oracle,1.1289708952612252,False,1.1289708952612252
79.42624176127643,1.4888684334220916,0.02304745232622204,0.00446629931686464,0.0022482248640859318,0.0022180744527787086,40,0,0.7523537289880378,M2_raw_huber,iv,0,0,oracle,1.1289708952612252,False,1.1289708952612252
95.6691200843523,1.8694908813120386,0.042287975333772994,0.00446629931686464,0.0023916740139213505,0.00207462530294329,40,0,1.0,M3_global_corr,iv,0,0,oracle,1.1289708952612252,False,1.1289708952612252
96.28080438015765,1.4017608076473165,0.04238832662319918,0.00446629931686464,0.0022952330297538585,0.002171066287110782,40,0,1.0,M4_patch_corr,iv,0,0,oracle,1.1289708952612252,False,1.1289708952612252
112.01325191243131,1.3558050360996288,0.036415342345585446,0.00446629931686464,0.002512141534532736,0.0019541577823319043,40,0,1.0,M5_full_corr,iv,0,0,oracle,1.1289708952612252,False,1.1289708952612252
103.72556786256061,1.9979077142695425,0.061079792404207356,0.004604876596453862,0.0022972444445697048,0.002307632151884157,40,0,1.0,M0_raw_p2p,iv,1,1,oracle,1.1293102049808457,False,1.1293102049808457
99.04390750199866,1.9310556363623117,0.05560200193940771,0.004604876596453862,0.0023027580077135705,0.0023021185887402915,40,0,1.0,M1_raw_p2l,iv,1,1,oracle,1.1293102049808457,False,1.1293102049808457
81.02636188139515,1.486288613356986,0.0226321046520544,0.004604876596453862,0.002364608390946802,0.00224026820550706,40,0,0.7571373341868348,M2_raw_huber,iv,1,1,oracle,1.1293102049808457,False,1.1293102049808457
95.081515898623,1.986280834305826,0.04276394014826796,0.004604876596453862,0.002524246735275404,0.002080629861178458,40,0,1.0,M3_global_corr,iv,1,1,oracle,1.1293102049808457,False,1.1293102049808457
95.01936725905612,1.84493652988786,0.04313801308508886,0.004604876596453862,0.002422563217171878,0.002182313379281984,40,0,1.0,M4_patch_corr,iv,1,1,oracle,1.1293102049808457,False,1.1293102049808457
111.37490703349519,1.7083009117191852,0.037107730966358096,0.004604876596453862,0.002617695222454574,0.001987181373999288,40,0,1.0,M5_full_corr,iv,1,1,oracle,1.1293102049808457,False,1.1293102049808457
104.23744113003553,1.8133676238165253,0.06063196629354594,0.0045501320034427506,0.0022818491389840464,0.002268282864458704,40,0,1.0,M0_raw_p2p,iv,2,2,oracle,1.1295987529852383,False,1.1295987529852383
99.42839208953852,1.82903998958338,0.05528070437898454,0.0045501320034427506,0.0022866074244721497,0.002263524578970601,21,0,1.0,M1_raw_p2l,iv,2,2,oracle,1.1295987529852383,False,1.1295987529852383
80.37113857670658,1.2892413420883866,0.021346839946900877,0.0045501320034427506,0.0023510819427390393,0.0021990500607037113,40,0,0.7554288315407808,M2_raw_huber,iv,2,2,oracle,1.1295987529852383,False,1.1295987529852383
95.62448165618378,1.8036707122163027,0.042503434036153954,0.0045501320034427506,0.002502046470843787,0.0020480855325989635,40,0,1.0,M3_global_corr,iv,2,2,oracle,1.1295987529852383,False,1.1295987529852383
96.0903831084124,1.5995180496504828,0.04218128200016308,0.0045501320034427506,0.0024123523137568833,0.0021377796896858673,40,0,1.0,M4_patch_corr,iv,2,2,oracle,1.1295987529852383,False,1.1295987529852383
109.87507903181155,1.2455440682512915,0.0371245477050993,0.0045501320034427506,0.002570473721939048,0.0019796582815037028,40,0,1.0,M5_full_corr,iv,2,2,oracle,1.1295987529852383,False,1.1295987529852383
99.59022249346992,1.5913613571104137,0.06122315716790427,0.00439999033392552,0.0021599645183151455,0.002240025815610375,40,0,1.0,M0_raw_p2p,iv,3,3,oracle,1.1299010463880201,False,1.1299010463880201
94.86270527124555,1.4909755242210232,0.0559642215304715,0.00439999033392552,0.00216683026618047,0.0022331600677450505,40,0,1.0,M1_raw_p2l,iv,3,3,oracle,1.1299010463880201,False,1.1299010463880201
80.36080280049765,1.202762863258101,0.022156575052221513,0.00439999033392552,0.002216271087586018,0.0021837192463395024,40,0,0.7591027165352413,M2_raw_huber,iv,3,3,oracle,1.1299010463880201,False,1.1299010463880201
90.61454254931962,1.5913613571104102,0.042777471981979766,0.00439999033392552,0.002383417091171722,0.002016573242753798,40,0,1.0,M3_global_corr,iv,3,3,oracle,1.1299010463880201,False,1.1299010463880201
90.8922029551779,1.3875308810086553,0.04293676644809123,0.00439999033392552,0.002292521958211253,0.0021074683757142674,40,0,1.0,M4_patch_corr,iv,3,3,oracle,1.1299010463880201,False,1.1299010463880201
107.82609761864714,1.0928187241404081,0.038031090652821405,0.00439999033392552,0.0024622524698310385,0.0019377378640944819,40,0,1.0,M5_full_corr,iv,3,3,oracle,1.1299010463880201,False,1.1299010463880201
102.46318703567778,1.283537849932975,0.05987083162817803,0.004307425758701189,0.00209395583488771,0.002213469923813479,40,0,1.0,M0_raw_p2p,iv,4,4,oracle,1.1301738383620625,False,1.1301738383620625
101.23376224683018,1.1096902469178085,0.054117801234955056,0.004307425758701189,0.002098219613380823,0.002209206145320366,16,0,1.0,M1_raw_p2l,iv,4,4,oracle,1.1301738383620625,False,1.1301738383620625
81.29124750362996,1.054453721054432,0.022231040743817054,0.004307425758701189,0.002146902547926381,0.002160523210774808,40,0,0.7542894519298118,M2_raw_huber,iv,4,4,oracle,1.1301738383620625,False,1.1301738383620625
93.91775665144912,1.274891788086477,0.04208378818047581,0.004307425758701189,0.002321661217362274,0.0019857645413389148,40,0,1.0,M3_global_corr,iv,4,4,oracle,1.1301738383620625,False,1.1301738383620625
