trajectory,order,kind,n_points,in_support,posthoc,rms_mm,rms_pa_mm,ratio_pa,grad_t_norm_mm,grad_r_norm,rank,cond,sv_min,sv_max,actual_t_mm,actual_r_deg,an_t_mm,an_r_deg,fd_t_mm,fd_r_deg,an_dircos_t,fd_dircos_t,an_dircos_r,fd_dircos_r,an_magratio_t,fd_magratio_t,fd_iters,switch_rate,fo_dircos_vs_default@rcond1e-10,rank@rcond1e-10,fo_dircos_vs_default@rcond1e-08,rank@rcond1e-08,fo_dircos_vs_default@rcond1e-06,rank@rcond1e-06
VI,0,p2p,9187,True,0,95.2788413863759,32.9534215102469,0.34586295373401726,30.057118038012455,0.0013021969413056099,6,8.00814561596892,0.1629494223479938,1.3049227022007543,148.82663013139725,4.916122977551957,37.06201569215894,1.4801417722280328,261.5150885171747,18.862461805463912,0.9968469913547748,0.942221650741791,-0.5644840501741988,0.8138664169942798,0.24902811855268833,1.757179399186049,25,0.2477595152570661,1.0,6,1.0,6,1.0,6
VI,0,p2l,9187,True,0,89.8976634964813,50.32750135790118,0.5598310278650462,25.551141486777638,0.0011383059125147064,6,28.35712757540189,0.023727874655528766,0.6728543686999744,146.38696111122928,4.609579005112327,108.96908881285616,3.9270622789859946,69.40435948261226,0.8739502114573064,0.9820311514622522,0.49290838432657164,0.9493837479965277,-0.17569581174403226,0.7443906751370934,0.4741157201144181,40,0.2477595152570661,1.0000000000000002,6,1.0000000000000002,6,1.0000000000000002,6
VI,1,p2p,8693,True,0,96.16005913981313,34.63644636329622,0.3601957681092534,32.25569665175238,0.0007792386334894747,6,7.808127265996934,0.166272863486693,1.2982796789858337,152.12704174652154,4.585390755827114,38.29509145223959,1.3758818803923687,398.0938388069366,80.8316950350375,0.9950605875502914,0.6980981169464682,-0.7653407585832452,0.8419642542117425,0.2517309941256054,2.6168512464092313,39,,1.0000000000000002,6,1.0000000000000002,6,1.0000000000000002,6
VI,1,p2l,8693,True,0,90.22222370295572,52.015576313958704,0.5765273142148751,27.458271607884047,0.0012536545587313473,6,26.927657019958573,0.023879639897939522,0.643022752931834,149.92701010127894,4.131107161010359,109.31746536103829,3.7407701449182937,47.439084679338784,1.3669173107926003,0.9830367122766285,0.8658881886241401,0.9802739821282295,-0.7395903686350426,0.7291379004169513,0.3164145316263717,18,,1.0,6,1.0,6,1.0,6
VI,2,p2p,10100,True,0,102.44503070790795,36.14217870601878,0.3527958209028961,35.198440092627266,0.000855228901677148,6,7.938535286213154,0.16223240490758617,1.287887670926093,155.5163438278263,6.306839081781899,38.104142254730284,0.9795860144417311,763.7448633303409,153.05573721850837,0.9752024089889013,-0.07094139626710456,-0.922693854547533,-0.880737162597475,0.24501696295609626,4.911026356020082,40,,0.9999999999999999,6,0.9999999999999999,6,0.9999999999999999,6
VI,2,p2l,10100,True,0,97.3306600274527,53.96326959717674,0.5544323811423458,30.778758499665113,0.002167717976611133,6,31.543167535321807,0.02041920254766436,0.6440863268986468,155.98786802141404,6.806911663888727,108.6280656961169,3.675165239529063,80.32403209847325,2.3824913276641024,0.9905698280033567,-0.6631400549991847,0.9979397005283892,0.4285735625807923,0.6963879119189176,0.5149376878940729,40,,0.9999999999999999,6,0.9999999999999999,6,0.9999999999999999,6
VI,3,p2p,10446,True,0,110.55859887233262,41.39518675895959,0.37441851815398475,40.603323595407524,0.0030799755687163466,6,7.811175503477103,0.1641198261890702,1.281968765962985,157.5692560650436,4.049028099531629,42.223455930746205,0.9785765069478425,237.5661177957507,9.199201818201244,0.8927314151902794,0.9718743254161645,-0.601956996364637,-0.7913292466603237,0.2679676034855198,1.5076933389701568,32,,1.0,6,1.0,6,1.0,6
VI,3,p2l,10446,True,0,105.13707798363541,58.950789320241775,0.5607040869960022,36.346577229947464,0.004332966539010475,6,30.552959787486813,0.021264663257647958,0.6496984014053664,156.98434856385367,4.153975289171641,109.73075404882162,1.9940839102403274,66.9511753871087,0.7315358292387377,0.9912050669690055,-0.1639444561753729,0.9729678199168567,0.5515731130601553,0.698991683264448,0.42648312395216753,40,,1.0,6,1.0,6,1.0,6
VI,4,p2p,10627,True,0,102.2208076013959,37.46400851759511,0.366500807386338,36.611062007121035,0.001997310582524696,6,7.922950905011547,0.1627239802831599,1.2892541068515428,151.40492711490427,4.183191994792766,38.86464494503147,0.996302991209462,242.40579475528,4.32934193676117,0.9292829900175475,0.9849635044821233,-0.8839797602925737,0.7212192123734841,0.2566933962164656,1.6010429737951113,31,,1.0,6,1.0,6,1.0,6
VI,4,p2l,10627,True,0,97.08611853072343,54.495748958205375,0.5613134996323897,32.6401162141963,0.0033230881122980256,6,31.04024318254313,0.02151969383065374,0.6679765297173652,150.50774193993897,3.716999541325341,105.55437202985698,1.9752326867937424,151.13377985170487,5.678181641901206,0.9902359367804635,0.4715571900953562,0.9713980242527631,0.5597157660044193,0.7013218766645133,1.0041595063728663,40,,1.0000000000000002,6,1.0000000000000002,6,1.0000000000000002,6
VI,5,p2p,10360,True,0,101.84403681416953,37.40568489258274,0.3672839968120598,36.25728411083825,0.002014711531314434,6,7.7507189334777,0.16671189696128141,1.2921370562137873,148.72802999250268,4.665506818002147,39.2259266626139,1.1070608013463095,261.7005098698917,4.754769337813066,0.9365079536343611,0.9734972761275439,-0.8548568163317896,0.2983235185352361,0.26374266279591685,1.7595910460394195,29,,1.0000000000000002,6,1.0000000000000002,6,1.0000000000000002,6
VI,5,p2l,10360,True,0,97.28689487456732,54.639266611772825,0.5616302861985637,32.67675149522537,0.003443894690468127,6,28.112991772013274,0.023486153472266593,0.6602660393220717,149.79983630867338,3.6942596388694433,105.88130277348749,3.240121251019706,56.05558210751937,0.022852794312138398,0.986207478638939,0.37868924602340465,0.9912588689513503,-0.7435830865927799,0.7068185478875338,0.37420322671122563,40,,1.0000000000000002,6,1.0000000000000002,6,1.0000000000000002,6
VI,6,p2p,9729,True,0,106.13968891181658,37.93729554620311,0.3574279888621337,36.70832360208442,0.0005680129214899649,6,7.1539291173389525,0.18020868448766755,1.2892001551536734,152.74119589850528,5.536149267156991,40.015332185495836,1.0877254742923936,295.0129185002861,5.01098103721677,0.9862803615365922,0.971985832720023,-0.8926051007638649,-0.6413828271995853,0.26198126805348104,1.931456125931584,40,,1.0,6,1.0,6,1.0,6
VI,6,p2l,9729,True,0,100.38974267874052,55.94016342104239,0.5572298715821772,32.7088075287208,0.002394356063651172,6,26.612757915104375,0.02348830740563195,0.6250886388216365,153.3939515274176,5.383365769829516,107.45242792755417,3.6864603840939085,111.43262665636794,4.299991422483291,0.9853016380425297,-0.250461890251683,0.9987693247087007,0.13615290339567768,0.7004997710639681,0.7264473308548268,40,,0.9999999999999999,6,0.9999999999999999,6,0.9999999999999999,6
VI,7,p2p,9546,True,0,102.82654426209605,37.10545497074326,0.3608548282646224,35.31998619943507,0.0010594102444652607,6,7.430092003290887,0.17536939061666693,1.3030107068428929,152.49312421602895,4.851415783437144,39.831353948252016,1.2276222274072364,263.2023073078714,23.245529446337276,0.9953041654753827,0.9237678593707859,-0.8228904230329152,-0.6686038073988995,0.261200983014977,1.725994589336401,33,,0.9999999999999999,6,0.9999999999999999,6,0.9999999999999999,6
VI,7,p2l,9546,True,0,98.53560790624137,55.05539162583143,0.5587360020980208,31.488412267635763,0.001003587501655196,6,24.98027659152302,0.024725448012362754,0.6176485301981447,159.59460230485814,4.900992592702965,107.58809406210264,3.55721498059727,238.21719226283543,39.5315058435765,0.9835457089860712,0.4656407946614382,0.9897293333486451,0.8553641542641008,0.6741336643490412,1.49263940523371,40,,1.0,6,1.0,6,1.0,6
VI,8,p2p,9250,True,0,106.30372205995346,39.39371088664124,0.3705769668575091,38.32465312871754,0.0012158858121694158,6,7.119195024075619,0.18093188610020194,1.2880893832211744,154.40232019421464,5.439939235794481,41.27151181453269,0.9901706338084472,277.83753682266126,7.329246835400468,0.9897225747674732,0.9817987416947607,-0.8800860903086336,0.22768504731193476,0.2672985209200169,1.799438871599741,36,,1.0,6,1.0,6,1.0,6
VI,8,p2l,9250,True,0,100.3210794978066,57.48892166318698,0.5730492729042445,33.84782317240709,0.00141128094543858,6,24.22738102287077,0.025018662415344502,0.6061366670191276,160.6950193202258,5.858541031335293,108.04012468331966,3.0515068909905705,544.9649956666739,11.219841164140679,0.9846117126554279,-0.18404769293293405,0.9701671465589903,0.2095715006115854,0.6723302635038207,3.3912998546687296,40,,0.9999999999999999,6,0.9999999999999999,6,0.9999999999999999,6
VI,9,p2p,9503,True,0,112.5621725039367,45.51100956467649,0.4043188626541906,44.98072112454313,0.0030271897150708224,6,7.361787168061864,0.17380408215848592,1.2795086617911116,162.76387570565672,5.695298360469941,46.32650055179069,0.8414059808252908,259.675684282041,46.03925485778708,0.9265713654450689,0.7544708895030627,-0.7303332513982075,-0.7923580541666116,0.2846239704660729,1.5954134979658425,35,,1.0,6,1.0,6,1.0,6
VI,9,p2l,9503,True,0,107.33405636255193,65.59529151546936,0.6111321395876648,41.219562911060926,0.0041867715608529706,6,25.863336162843158,0.023514465414584757,0.6081625237069547,164.4144578948268,5.544879212839273,117.36902209815392,3.225187085861414,70.20184021752145,0.266152251381525,0.9935757558714626,0.9410876568905316,0.9820636106095815,-0.3507135324578203,0.7138607127435972,0.42698094265181946,40,,1.0,6,1.0,6,1.0,6
