trajectory,n,raw_et_med,raw_eR_med,patch_eR_med,vec_beats_dbs_frac,DBS_et_med,DBS_paired_gain_med,DBS_improved_frac,DBS_reversal,VectorDBS_et_med,VectorDBS_paired_gain_med,VectorDBS_improved_frac,VectorDBS_reversal,GlobalVector_et_med,GlobalVector_paired_gain_med,GlobalVector_improved_frac,GlobalVector_reversal,Patch_et_med,Patch_paired_gain_med,Patch_improved_frac,Patch_reversal
II,428,66.14920168537466,1.7742670258913977,1.2694027224561912,0.9579439252336449,142.96984150042437,-72.05337449340063,0.1939252336448598,True,135.67158070345755,-66.42405483098926,0.22429906542056074,True,51.164140468069704,17.30117472563828,0.9649532710280374,False,41.77723740078632,19.10306871201731,0.927570093457944,False
III,371,75.03685823906689,1.6582788034687348,2.116023558976764,1.0,108.82885732412211,-36.483790298608056,0.2641509433962264,True,102.3691761658723,-27.41517430550833,0.3504043126684636,True,62.35139239336614,8.423022333762944,0.6549865229110512,False,41.29782690845897,28.929768382518283,0.9946091644204852,False
IV,156,160.423862077838,4.006055547406119,4.0003627437297276,0.057692307692307696,19.916882340163063,139.84684029573708,1.0,False,21.36971991095642,138.32659146227576,1.0,False,146.61330783603296,13.444011409817762,1.0,False,126.26002467918383,33.630700956669884,0.9935897435897436,False
VI,501,161.40789163590279,4.509032326167583,4.66731556808484,0.24550898203592814,17.888389891596606,143.86815231861527,1.0,False,21.27802893175055,139.90420050931044,1.0,False,155.94241210283988,11.186071825327957,0.7924151696606786,False,116.81527871617058,43.5102795086748,1.0,False
