experiment,scope,level_or_fold,method,metric,value,note
E1,II,L6,Raw,PatchRaw_frac_pos,0.85,
E1,III,L0,Patch,et_med,40.176329,
E1,III,L0,Patch,eR_med,1.944221,
E1,III,L0,Patch,captureA_rate,0.0,
E1,III,L0,Patch,captureB_rate,0.45,
E1,III,L0,Patch,safeguard_rate,0.05,
E1,III,L0,Patch,itercap_rate,0.55,
E1,III,L0,Patch,numfail_rate,0.0,
E1,III,L0,Patch,PatchRaw_gain_t_med,7.604032,
E1,III,L0,Patch,PatchRaw_frac_pos,0.7,
E1,III,L1,Patch,et_med,40.16515,
E1,III,L1,Patch,eR_med,1.924288,
E1,III,L1,Patch,captureA_rate,0.0,
E1,III,L1,Patch,captureB_rate,0.45,
E1,III,L1,Patch,safeguard_rate,0.05,
E1,III,L1,Patch,itercap_rate,0.525,
E1,III,L1,Patch,numfail_rate,0.0,
E1,III,L1,Patch,PatchRaw_gain_t_med,7.836171,
E1,III,L1,Patch,PatchRaw_frac_pos,0.675,
E1,III,L2,Patch,et_med,40.123325,
E1,III,L2,Patch,eR_med,1.931384,
E1,III,L2,Patch,captureA_rate,0.0375,
E1,III,L2,Patch,captureB_rate,0.4625,
E1,III,L2,Patch,safeguard_rate,0.05,
E1,III,L2,Patch,itercap_rate,0.55,
E1,III,L2,Patch,numfail_rate,0.0,
E1,III,L2,Patch,PatchRaw_gain_t_med,8.050445,
E1,III,L2,Patch,PatchRaw_frac_pos,0.6625,
E1,III,L3,Patch,et_med,40.015413,
E1,III,L3,Patch,eR_med,2.0,
E1,III,L3,Patch,captureA_rate,0.4375,
E1,III,L3,Patch,captureB_rate,0.4375,
E1,III,L3,Patch,safeguard_rate,0.05,
E1,III,L3,Patch,itercap_rate,0.625,
E1,III,L3,Patch,numfail_rate,0.0,
E1,III,L3,Patch,PatchRaw_gain_t_med,8.449217,
E1,III,L3,Patch,PatchRaw_frac_pos,0.6625,
E1,III,L4,Patch,et_med,40.000649,
E1,III,L4,Patch,eR_med,2.072667,
E1,III,L4,Patch,captureA_rate,0.8875,
E1,III,L4,Patch,captureB_rate,0.425,
E1,III,L4,Patch,safeguard_rate,0.0625,
E1,III,L4,Patch,itercap_rate,0.825,
E1,III,L4,Patch,numfail_rate,0.0,
E1,III,L4,Patch,PatchRaw_gain_t_med,8.435604,
E1,III,L4,Patch,PatchRaw_frac_pos,0.6625,
E1,III,L5,Patch,et_med,40.07039,
E1,III,L5,Patch,eR_med,2.144787,
E1,III,L5,Patch,captureA_rate,0.9,
E1,III,L5,Patch,captureB_rate,0.3875,
E1,III,L5,Patch,safeguard_rate,0.0625,
E1,III,L5,Patch,itercap_rate,0.9,
E1,III,L5,Patch,numfail_rate,0.0,
E1,III,L5,Patch,PatchRaw_gain_t_med,7.309176,
E1,III,L5,Patch,PatchRaw_frac_pos,0.6625,
E1,III,L6,Patch,et_med,41.025946,
E1,III,L6,Patch,eR_med,2.710152,
E1,III,L6,Patch,captureA_rate,0.875,
E1,III,L6,Patch,captureB_rate,0.325,
E1,III,L6,Patch,safeguard_rate,0.1625,
E1,III,L6,Patch,itercap_rate,0.8125,
E1,III,L6,Patch,numfail_rate,0.0,
E1,III,L6,Patch,PatchRaw_gain_t_med,7.382479,
E1,III,L6,Patch,PatchRaw_frac_pos,0.675,
E1,III,L0,Raw,et_med,49.212914,
E1,III,L0,Raw,eR_med,1.577633,
E1,III,L0,Raw,captureA_rate,0.0,
E1,III,L0,Raw,captureB_rate,0.35,
E1,III,L0,Raw,safeguard_rate,0.05,
E1,III,L0,Raw,itercap_rate,0.55,
E1,III,L0,Raw,numfail_rate,0.0,
E1,III,L0,Raw,PatchRaw_gain_t_med,7.604032,
E1,III,L0,Raw,PatchRaw_frac_pos,0.7,
E1,III,L1,Raw,et_med,49.219539,
E1,III,L1,Raw,eR_med,1.577853,
E1,III,L1,Raw,captureA_rate,0.0,
E1,III,L1,Raw,captureB_rate,0.35,
E1,III,L1,Raw,safeguard_rate,0.05,
E1,III,L1,Raw,itercap_rate,0.55,
E1,III,L1,Raw,numfail_rate,0.0,
E1,III,L1,Raw,PatchRaw_gain_t_med,7.836171,
E1,III,L1,Raw,PatchRaw_frac_pos,0.675,
E1,III,L2,Raw,et_med,49.245948,
E1,III,L2,Raw,eR_med,1.57401,
E1,III,L2,Raw,captureA_rate,0.0125,
E1,III,L2,Raw,captureB_rate,0.35,
E1,III,L2,Raw,safeguard_rate,0.05,
E1,III,L2,Raw,itercap_rate,0.5625,
E1,III,L2,Raw,numfail_rate,0.0,
E1,III,L2,Raw,PatchRaw_gain_t_med,8.050445,
E1,III,L2,Raw,PatchRaw_frac_pos,0.6625,
E1,III,L3,Raw,et_med,49.257945,
E1,III,L3,Raw,eR_med,1.691664,
E1,III,L3,Raw,captureA_rate,0.35,
E1,III,L3,Raw,captureB_rate,0.35,
E1,III,L3,Raw,safeguard_rate,0.05,
E1,III,L3,Raw,itercap_rate,0.7,
E1,III,L3,Raw,numfail_rate,0.0,
E1,III,L3,Raw,PatchRaw_gain_t_med,8.449217,
E1,III,L3,Raw,PatchRaw_frac_pos,0.6625,
E1,III,L4,Raw,et_med,49.308785,
E1,III,L4,Raw,eR_med,1.815073,
E1,III,L4,Raw,captureA_rate,0.9,
E1,III,L4,Raw,captureB_rate,0.3125,
E1,III,L4,Raw,safeguard_rate,0.0625,
E1,III,L4,Raw,itercap_rate,0.85,
E1,III,L4,Raw,numfail_rate,0.0,
E1,III,L4,Raw,PatchRaw_gain_t_med,8.435604,
E1,III,L4,Raw,PatchRaw_frac_pos,0.6625,
E1,III,L5,Raw,et_med,49.555411,
E1,III,L5,Raw,eR_med,2.151127,
E1,III,L5,Raw,captureA_rate,0.9,
E1,III,L5,Raw,captureB_rate,0.2625,
E1,III,L5,Raw,safeguard_rate,0.0625,
E1,III,L5,Raw,itercap_rate,0.9375,
E1,III,L5,Raw,numfail_rate,0.0,
E1,III,L5,Raw,PatchRaw_gain_t_med,7.309176,
E1,III,L5,Raw,PatchRaw_frac_pos,0.6625,
E1,III,L6,Raw,et_med,62.904734,
E1,III,L6,Raw,eR_med,2.550509,
E1,III,L6,Raw,captureA_rate,0.8125,
E1,III,L6,Raw,captureB_rate,0.2125,
E1,III,L6,Raw,safeguard_rate,0.225,
E1,III,L6,Raw,itercap_rate,0.775,
E1,III,L6,Raw,numfail_rate,0.0,
