geometry,dtype,mag,structured_J0,structured_et,nearest_noise_J0,nearest_noise_et,J0_gap,et_gap
GA,object,0.0,1.1959774995038576e-05,0.0196690090043641,1.3742174319739363e-05,0.0295791552045762,1.7823993247007874e-06,-0.009910146200212099
GA,object,2.0,1.4087256767249819e-05,1.0762385216507087,1.3742174319739363e-05,0.0295791552045762,3.450824475104558e-07,1.0466593664461326
GA,object,5.0,2.503312676324202e-05,2.7706031610308224,3.370094865793119e-05,0.0759494421843455,8.667821894689168e-06,2.6946537188464768
GA,object,10.0,6.31410549538139e-05,8.928474981074032,8.793398663636354e-05,0.1924177878862971,2.4792931682549634e-05,8.736057193187735
GA,object,25.0,0.00033085000257065,18.66100615125641,0.00045363110899659996,1.393693738020421,0.00012278110642594995,17.267312413235988
GA,object,50.0,0.00128842487562635,39.16299536763985,0.0017208522510608,5.79491284710353,0.00043242737543445,33.36808252053632
GA,object,100.0,0.0051129874903162505,80.72999486975826,0.0067565053223,21.943156301806447,0.0016435178319837498,58.78683856795181
GA,object,0.0,1.1959876163095e-05,0.01431820857046575,1.3742174319739363e-05,0.0295791552045762,1.7822981566443637e-06,-0.015260946634110449
GA,object,0.25,0.00134959849829565,0.0166850166241031,0.0017208522510608,5.79491284710353,0.0003712537527651499,-5.778227830479427
GA,object,0.5,0.009732679667027101,0.06270682893824905,0.0067565053223,21.943156301806447,0.002976174344727101,-21.880449472868197
GA,object,0.75,0.02746173249567145,0.0167861779837093,0.0067565053223,21.943156301806447,0.02070522717337145,-21.926370123822736
GA,object,0.9,0.047332777330376954,0.017579143138981297,0.0067565053223,21.943156301806447,0.04057627200807695,-21.925577158667465
GA,object,1.0,0.17391053550482993,324.7052963979644,0.0067565053223,21.943156301806447,0.16715403018252994,302.76214009615796
GA,object,0.0,1.1956693373183075e-05,0.01628186857932435,1.3742174319739363e-05,0.0295791552045762,1.7854809465562883e-06,-0.013297286625251849
GA,object,2.0,1.2077870629478982e-05,0.06041259208406695,1.3742174319739363e-05,0.0295791552045762,1.6643036902603812e-06,0.03083343687949075
GA,object,5.0,1.2681976318548115e-05,0.14495318505994295,1.3742174319739363e-05,0.0295791552045762,1.0601980011912485e-06,0.11537402985536675
GA,object,10.0,1.48415026724948e-05,0.2937947036830061,1.3742174319739363e-05,0.0295791552045762,1.0993283527554375e-06,0.2642155484784299
GA,object,25.0,2.9089626877112315e-05,0.5559651619393513,3.370094865793119e-05,0.0759494421843455,4.6113217808188725e-06,0.4800157197550058
GA,object,50.0,5.928168844648646e-05,0.901318928291024,3.370094865793119e-05,0.0759494421843455,2.5580739788555274e-05,0.8253694861066785
GA,object,100.0,0.00021025159430215,2.3499286835345243,8.793398663636354e-05,0.1924177878862971,0.00012231760766578647,2.1575108956482274
GA,object,0.0,1.1962319141071678e-05,0.0158716506845824,1.3742174319739363e-05,0.0295791552045762,1.779855178667685e-06,-0.0137075045199938
GA,object,0.005,1.3817395987947702e-05,0.5774229995002036,1.3742174319739363e-05,0.0295791552045762,7.522166820833874e-08,0.5478438442956274
GA,object,0.01,1.545585021565059e-05,0.22821397882173589,1.3742174319739363e-05,0.0295791552045762,1.7136758959112259e-06,0.19863482361715967
GA,object,0.025,1.7170157275584554e-05,0.19384337358809756,1.3742174319739363e-05,0.0295791552045762,3.427982955845191e-06,0.16426421838352134
GA,object,0.05,2.9214767994819058e-05,0.6190900067007652,3.370094865793119e-05,0.0759494421843455,4.4861806631121296e-06,0.5431405645164197
