traj,condition,n,q25,median,q75
vi,Raw,501,0.0613946787936034,0.0692590395629657,0.0768660755688881
vi,Self-null,501,1.011883879670926e-05,1.3327381361458856e-05,1.7367398364130947e-05
iv,Raw,156,0.06324563907608186,0.06756442497576176,0.07135533825990398
iv,Self-null,156,1.0944870601396984e-05,1.4074408541647528e-05,1.8174051256506884e-05
ii,Raw,428,0.0376579076367889,0.05213281540360315,0.06091397377617803
ii,Self-null,428,1.0501183509805077e-05,1.3919722249683495e-05,1.7923416625588986e-05
iii,Raw,371,0.042571845669345895,0.0462948889133093,0.05262871041309235
iii,Self-null,371,1.0273465412893539e-05,1.3701881895681796e-05,1.8470374537356503e-05
