scan_id,range_m,point_count,down_count,converged,ransac_fitness,icp_fitness,ransac_iters,n_corr,translation_error_m,attitude_error_deg,terr_vec_target_x,terr_vec_target_y,terr_vec_target_z,rot_err_axis_x,rot_err_axis_y,rot_err_axis_z,symmetry_equivalent_rotation_k,runtime_s,icp_rmse,angular_rate_deg_s,excess_return_fraction,r4_structured_frac,sps,z_range_m,z_point_count,z_excess_return_fraction,z_r4_structured_frac,z_sps
0,14.787682614872995,9187,3076,0,0.0010729613733905,0.290557939914163,40960,125,1.145378875230962,108.8137892445924,0.9484476440168476,-0.4506101478594784,0.4574825997022109,0.4438653643838638,-0.6319134026803602,0.6353495020957431,2,1.0191672000219114,0.05910875368043,7.323917667596879,0.0025035376074888,0.6920648742788723,0.33370976849237727,1.2473118380380726,-1.2943321420460818,-1.457837040913646,-1.0242106720161526,-0.1667531176269736
5,14.789051855296234,10360,3235,0,0.0017167381974248,0.3070815450643777,18432,132,1.1522357661682272,122.58525836944943,0.9504665835459176,-0.651185027894562,-0.0147849195395486,-0.1902238109789508,0.978664184923914,0.0776615405709642,0,0.7923508999519981,0.0562784136034254,8.503692550356522,0.0029922779922779,0.7025096525096525,0.28441558441558445,1.247968820249558,0.5248823869620626,-0.8184743162152488,-0.4682650389654024,-0.4617183191990914
10,14.790682493768198,10394,3314,0,0.0008583690987124,0.257725321888412,16384,111,0.6295439114852426,96.99012405510597,-0.1884915227366924,-0.4480617373313511,-0.4000464496582281,0.7456317412665865,0.0303539408902254,0.6656665416619577,1,0.8050002999952994,0.0600972435709499,6.377696489386377,0.0037521647104098,0.728882047335001,0.14586466165413534,1.248751225188283,0.5776132428753421,0.1755979104467338,0.9354620112687271,-1.2907755726200656
15,14.791878893364627,9367,3093,0,0.0015021459227467,0.6328326180257511,6144,114,0.1154177467820309,9.4018105166299,0.0067287232929079,0.0158614169894905,0.1141244759294604,0.8244416087273022,-0.1119968697267934,-0.5547546619637707,1,0.6237173000117764,0.045683768541033,8.401952445633814,0.0048040994982384,0.7332123411978222,0.12727272727272726,1.2493252757635815,-1.0151687872110724,1.5517229721016021,1.1659511523179302,-1.4020254852646166
20,14.793707813096283,10354,3270,0,0.0015021459227467,0.0858369098712446,18432,107,2.0631004046809225,91.20156511460036,-0.1365992145943247,-1.939704113325424,-0.6893996570315591,0.243378676814104,0.6379125835713901,0.7306396891720913,2,0.7739792999927886,0.037813512950928,8.395261396797306,0.0036700791964458,0.709291095228897,0.5077922077922078,1.2502028190419856,0.5155769418008956,0.06821489177325422,-0.10730826398692661,0.8749166606626462
25,14.796065646662088,9851,3225,0,0.0015021459227467,0.6476394849785407,8192,116,0.1117344704343233,3.564911574500427,0.0062776498347653,0.1040714668981644,-0.0401785113394587,0.7304210740912196,0.3602441360643466,-0.5802665051118162,1,0.6659224999602884,0.0428577108351979,6.296441063334329,0.0037559638615368,0.7195208608263121,0.4727272727272727,1.2513341431572296,-0.2645295442102694,0.18056790206538798,0.43719286235157906,0.6650960533587686
30,14.797532181011196,10431,3332,0,0.0015021459227467,0.2090128755364806,24576,132,0.8200280293037081,92.08137290785052,-0.0850186771743544,0.6034022036093509,-0.5487472770361834,-0.2754054886420207,0.9611783720437498,-0.0169692056731209,2,0.8320835999911651,0.0561068762369562,7.1893946649860485,0.0044099319336592,0.7278305052248106,0.33246753246753247,1.2520378084621269,0.6349968213692052,1.0360789698449884,0.8794914361916523,-0.17418637585674107
35,14.798641869392272,9085,3047,0,0.0012875536480686,0.2427038626609442,96256,116,0.7895493601652792,84.56527622646,-0.0573589729042299,0.3100170088734797,-0.7238698740615708,-0.066257897929261,0.9410249707310672,-0.3317859180595069,0,1.4998580000246875,0.0566882216669035,7.1959360314874505,0.0035222894881673,0.7015960374243259,0.11818181818181818,1.2525702536881702,-1.4525247097859204,-0.1251213528018642,-0.516894153509913,-1.4564234204915478
40,14.799773162096946,10206,3327,0,0.0006437768240343,0.2085836909871244,8192,97,0.8039542950115459,99.99753982499138,-0.1180063024240125,-0.3677427920579088,-0.7051115230551672,-0.622836513828346,0.7099839536071456,-0.3286296740443856,2,0.6475386999663897,0.057773842668028,8.60770920812196,0.0037233000195963,0.7133058984910837,0.3543859649122807,1.2531130649945994,0.2860426278254435,0.13783756172077394,0.1063882159051026,-0.04303145433216016
45,14.80047131386315,9387,3157,0,0.0023605150214592,0.6690987124463519,8192,113,0.1113516296960369,4.005004590298265,0.0055637110886396,-0.0998325397439775,0.0490070868666219,0.7519277628722559,-0.1720532459457754,-0.6363979258148528,1,0.6589880000101402,0.0453649756516149,6.455785434114853,0.0043677426227761,0.7097049110471929,0.383399209486166,1.2534480487443698,-0.984150636673849,0.980887556164274,-0.0852820330813277,0.13057721156370578
50,14.801325933081875,9939,3227,0,0.0017167381974248,0.3251072961373391,227328,122,0.7083987389851379,62.2465928344496,0.1540073911156421,0.6845202259534524,0.0976860130116979,-0.4931753794552223,-0.0628698455748891,0.8676551317295296,1,2.79334309999831,0.0575119281473229,7.432644011706672,0.0042257772411711,0.7344803300130798,0.060150375939849614,1.2538581079383333,-0.12804968184648707,0.7951706070011957,1.2334425656370038,-1.8036703904739881
55,14.802210048708876,9947,3040,0,0.0010729613733905,0.634549356223176,12288,123,0.1123776484175845,10.209934052287643,0.0003388651646107,0.0448556066716659,0.1030368651715649,0.8120758691422969,-0.138167993123357,-0.5669588948354608,1,0.6614719000062905,0.0452661694615547,8.890763526649387,0.004322911430582,0.7157937066452197,0.09655561829474874,1.2542823199539717,-0.11564242163159777,0.92224007360548,0.23880711926525824,-1.5858296887643095
60,14.801655451107557,10169,3137,0,0.0008583690987124,0.2156652360515021,18432,111,1.3332236826426205,126.1741751761556,1.0442718035898026,0.8200438552741268,0.1204568952513618,-0.2737432362186207,0.9042527030893918,-0.3277067127479767,0,0.745307800010778,0.0628149387290087,8.898269772358608,0.005506932835087,0.7264234437997836,0.47218045112781953,1.2540162156581773,0.22865904933158043,2.4711588346614284,0.8045975861362551,0.6618239971045171
65,14.800678159511948,9659,3001,0,0.0008583690987124,0.2549356223175966,43008,99,1.014250996605513,132.6453599027124,0.864808850958831,0.3962565822703905,0.3518401006507534,-0.0757268301685868,0.9379847212590045,-0.3383047588747248,0,0.8923257000278682,0.0586295169276968,6.679336074968352,0.0046588673775753,0.7252303551092245,0.47218045112781953,1.2535472964071446,-0.5623037893676127,1.3617325246763186,0.7410928919529075,0.6618239971045171
70,14.799658013698696,9386,3049,0,0.0008583690987124,0.1675965665236051,28672,104,1.4251013480983552,53.12476840773245,0.6282414468946543,-1.1032644952104649,-0.6473283481846428,0.5409014342053632,-0.2481461625480275,0.8036473856656718,2,0.865814299962949,0.0594763191254639,7.425660752015398,0.0042616663115278,0.7415299382058385,0.36984754376058726,1.2530578150559861,-0.9857015442007103,0.8421201420187574,1.608673020787629,0.049487121784429544
75,14.798772262091743,10454,3212,0,0.0015021459227467,0.6596566523605151,16384,128,0.1042886727760292,52.70678909953404,0.0084320354342911,-0.0583132048980707,-0.0860499749118857,0.8247850117090362,-0.0769119019774075,-0.5601912564422464,2,0.7882614000118338,0.0440092238359234,6.5089176168218135,0.0041132580830304,0.6852879280658122,0.15979672501411638,1.2526328180724862,0.6706676944870119,0.6479747587173443,-1.3849281108477074,-1.207409269794353
80,14.79878774599156,10417,3151,0,0.0012875536480686,0.1849785407725322,8192,122,1.482091749629323,69.32763453341795,0.8388302230299194,-0.8923279525695311,0.8346919409662179,0.2002139978920614,0.406939995285742,0.8912430618439158,2,0.631801399984397,0.0590234176663494,8.692856920173583,0.0045118556206201,0.7267927426322358,0.20948616600790515,1.2526402474812093,0.6132841159931489,1.169413984169102,0.8242543053749167,-0.9100789406036734
85,14.798056897033778,9820,3088,0,0.0008583690987124,0.1394849785407725,22528,128,1.826342409375617,166.0150396694849,1.7397850682725395,0.5116739428340328,-0.2164816129017017,0.4988031619196328,-0.1582940375522374,0.8521375495390326,2,0.9118632000172512,0.0552718663269107,8.678557644643591,0.0056008146639511,0.7384928716904277,0.2992481203007519,1.2522895751256486,-0.3126076775429655,2.593973612752911,1.4470186678448784,-0.3729637933025197
90,14.796753277927762,8700,2844,0,0.0008583690987124,0.2199570815450643,118784,97,0.8363669736497149,68.00300523412842,0.3864041018616768,0.4997979064585329,-0.548090902475239,-0.3775114501361724,-0.5679976459968327,0.7313438173377422,0,1.4998639999539591,0.0599806049996177,8.49673073899128,0.0045977011494252,0.7324137931034482,0.10375939849624059,1.2516640790121323,-2.049624107627468,1.2817157969683202,1.1234467241683779,-1.542723904197431
95,14.795687286738422,10533,3163,0,0.0015021459227467,0.6437768240343348,6144,106,0.1062206922578326,16.1499402955736,0.0087939432400273,0.075356480875152,0.074343142361197,0.7810937815342233,0.0073060710986388,-0.6243709840901231,0,0.6555097000091337,0.0488216613656428,8.469433207134715,0.0039874679578467,0.7241051932023165,0.33082706766917286,1.251152600357902,0.7931893891090438,0.483418033550653,0.6812037459318673,-0.184002544619496
100,14.795613375424892,10812,3103,0,0.0012875536480686,0.2349785407725322,18432,104,1.148102886513862,139.042327044125,1.0692141171696383,0.412378667391223,0.0697513035523418,-0.5013461661831728,0.6969617884671592,-0.5127341290279919,1,0.6763382999924943,0.061751412449398,8.469440266521497,0.0040695523492415,0.7130965593784684,0.43083003952569177,1.2511171365946414,1.2258925891033083,0.5907995836962087,0.0952456944543123,0.4143925257911732
105,14.79636906349882,11234,3249,0,0.0008583690987124,0.267381974248927,24576,116,1.20672957365962,126.65184495381897,1.0505819873765558,0.2037669056550685,-0.5576314194021106,0.4984746466716878,0.6818878015230843,0.5353055695203915,2,0.8931264999555424,0.058902650114308,9.5080638069535,0.0040056969912764,0.7527149724051985,0.4481203007518797,1.2514797271328524,1.880375565438719,0.5072649773370977,2.204020359071232,0.5178535219174512
110,14.7958664477873,9516,2963,0,0.0010729613733905,0.2313304721030042,26624,106,0.8034199274328166,94.85863843298031,0.2314478202746673,0.5992385036373378,-0.482523265806678,-0.3331628828095369,0.8171699413250728,-0.4703570776684622,0,0.7853467999957502,0.0551721109555874,7.156859372455735,0.0050441361916771,0.7332912988650694,0.3608130999435348,1.2512385645319846,-0.784083565708759,1.8657353171440239,1.1701538428233726,-0.004572938068421157
115,14.795565109498655,9269,3008,0,0.0010729613733905,0.6427038626609443,12288,101,0.1193961551466108,1.298200608185582,0.0118192496665182,-0.0961332227479562,-0.0698151178843515,0.7990476899725801,0.5298657580145731,0.2841919556094532,2,0.6337845999514684,0.0437816693185095,7.176349310620785,0.0044233466393354,0.7137771064839789,0.30977443609022554,1.2510939778750911,-1.1671577248434664,1.0536278834177089,0.1314692679026124,-0.3099767104081785
