trajectory,bin,n,nearest_d_med,nearest_over_tau_med,ess_kernel_med,coverage_med,n_fallback_med,n_valid_patchobs_med,corr_full_median_mm_med,corr_patch_mean_mm_med,cos_pred_full_t_med,full_minus_patch_mm_med
IV,worst10,16,0.26336304356336315,0.5981030387239366,15.974246606190938,0.9583333333333334,1.0,351.0,42.935857808133605,45.2518718235016,0.7100777605063643,23.427457206015767
IV,median,15,0.1767229752830327,0.4013416123195991,15.931260962154026,0.9583333333333334,1.0,352.0,36.57019045551566,45.2518718235016,0.8504417370464565,38.82124342365168
IV,best10,16,0.07886876417428534,0.1791126305148903,15.708648541439295,0.9583333333333334,1.0,356.5,45.12870848920552,45.2518718235016,0.8331938896941464,49.73682518386382
IV,middle,109,0.2162993782409545,0.4912204599765256,15.940114195046498,1.0,0.0,358.0,41.57105631083236,45.2518718235016,0.8217125947151115,39.69780737721759
II,worst10,43,0.1143087873325253,0.2595976722147148,15.723883925824468,1.0,0.0,362.0,48.48012205077789,45.2518718235016,-0.6958798992313262,-41.16709905620792
II,median,43,0.2582097111275388,0.5863997118344916,15.906613128454028,1.0,0.0,360.0,40.51789663184662,45.2518718235016,-0.3820193675413675,-24.597508979640565
II,best10,43,0.1655808883928233,0.376037697477967,15.65320795800169,1.0,0.0,359.0,46.747994487281744,45.2518718235016,0.7597488172925386,26.694788183913047
II,middle,299,0.2076037831022817,0.4714725796149366,15.805107709673251,1.0,0.0,357.0,43.13207870082657,45.2518718235016,-0.1068523710996483,-19.485520702237707
