trajectory,bin,order,scan,effect_full_minus_patch_mm,nearest_d,nearest_over_tau,ess_kernel,coverage,n_fallback,n_visible_patches,correction_dir_pairwise_cos,median_residual_mm
IV,worst10,324,324,23.288279840412077,0.2562198480813548,0.5818806907962161,15.960634616285937,1.0,0,22,0.21355749900971402,41.676193906995806
IV,median,278,278,38.82124342365168,0.0877630895412873,0.1993118314256414,15.73642226830044,0.9583333333333334,1,22,0.26641527722831887,51.688253181211884
IV,best10,338,338,49.88744247129985,0.3127239844578813,0.7102027788538798,15.976146100928723,1.0,0,23,0.3131592152662133,41.59688833123464
II,worst10,444,444,-41.16709905620792,0.1067447159545169,0.2424195062309857,15.712448497277116,1.0,0,22,0.19768833834769406,26.949656816064966
II,median,505,505,-24.597508979640565,0.4037304348316453,0.9168803512860636,15.924307817173132,1.0,0,24,0.2855048710175944,18.364302583671368
II,best10,192,192,26.694788183913047,0.3999049066747229,0.908192495980242,15.993181773721398,1.0,0,21,0.2652347334043558,31.81477749176195
