panel,trajectory,x_deg,ecdf
FO,VI,16.2871,0.3992
FO,VI,16.4408,0.4012
FO,VI,16.5059,0.40319
FO,VI,16.5319,0.40519
FO,VI,16.5471,0.40719
FO,VI,16.5683,0.40918
FO,VI,16.5976,0.41118
FO,VI,16.6028,0.41317
FO,VI,16.712,0.41517
FO,VI,16.7376,0.41717
FO,VI,16.8543,0.41916
FO,VI,16.856,0.42116
FO,VI,16.9333,0.42315
FO,VI,17.0157,0.42515
FO,VI,17.1899,0.42715
FO,VI,17.2364,0.42914
FO,VI,17.2684,0.43114
FO,VI,17.4504,0.43313
FO,VI,17.4518,0.43513
FO,VI,17.5322,0.43713
FO,VI,17.5521,0.43912
FO,VI,17.5897,0.44112
FO,VI,17.7061,0.44311
FO,VI,17.735,0.44511
FO,VI,17.8543,0.44711
FO,VI,17.8763,0.4491
FO,VI,17.9364,0.4511
FO,VI,18.3336,0.45309
FO,VI,18.389,0.45509
FO,VI,18.4397,0.45709
FO,VI,18.5583,0.45908
FO,VI,18.5812,0.46108
FO,VI,18.6391,0.46307
FO,VI,18.6804,0.46507
FO,VI,18.6901,0.46707
FO,VI,18.7449,0.46906
FO,VI,18.7604,0.47106
FO,VI,18.7961,0.47305
FO,VI,18.8567,0.47505
FO,VI,18.8977,0.47705
FO,VI,18.9221,0.47904
FO,VI,18.9444,0.48104
FO,VI,18.9468,0.48303
FO,VI,19.022,0.48503
FO,VI,19.0598,0.48703
FO,VI,19.0884,0.48902
FO,VI,19.113,0.49102
FO,VI,19.1369,0.49301
FO,VI,19.2167,0.49501
FO,VI,19.331,0.49701
FO,VI,19.4063,0.499
FO,VI,19.5554,0.501
FO,VI,19.6653,0.50299
FO,VI,19.6795,0.50499
FO,VI,19.6835,0.50699
FO,VI,19.7819,0.50898
FO,VI,19.7919,0.51098
FO,VI,19.7995,0.51297
FO,VI,19.8018,0.51497
FO,VI,19.8778,0.51697
FO,VI,19.9169,0.51896
FO,VI,19.9321,0.52096
FO,VI,19.9433,0.52295
FO,VI,19.9768,0.52495
FO,VI,20.0018,0.52695
FO,VI,20.0069,0.52894
FO,VI,20.0714,0.53094
FO,VI,20.079,0.53293
FO,VI,20.1513,0.53493
FO,VI,20.218,0.53693
FO,VI,20.248,0.53892
FO,VI,20.2833,0.54092
FO,VI,20.4421,0.54291
FO,VI,20.4745,0.54491
FO,VI,20.4786,0.54691
FO,VI,20.5269,0.5489
FO,VI,20.5325,0.5509
FO,VI,20.5597,0.55289
FO,VI,20.8003,0.55489
FO,VI,21.025,0.55689
FO,VI,21.0392,0.55888
FO,VI,21.0678,0.56088
FO,VI,21.0701,0.56287
FO,VI,21.1133,0.56487
FO,VI,21.176,0.56687
FO,VI,21.2787,0.56886
FO,VI,21.2908,0.57086
FO,VI,21.368,0.57285
FO,VI,21.4305,0.57485
FO,VI,21.4699,0.57685
FO,VI,21.4881,0.57884
FO,VI,21.529,0.58084
FO,VI,21.5494,0.58283
FO,VI,21.5635,0.58483
FO,VI,21.5962,0.58683
FO,VI,21.6021,0.58882
FO,VI,21.6767,0.59082
FO,VI,21.7719,0.59281
FO,VI,21.8023,0.59481
FO,VI,21.9055,0.59681
FO,VI,21.9069,0.5988
FO,VI,21.9917,0.6008
FO,VI,21.9992,0.60279
FO,VI,22.0338,0.60479
FO,VI,22.0537,0.60679
FO,VI,22.0545,0.60878
FO,VI,22.0615,0.61078
FO,VI,22.0935,0.61277
FO,VI,22.1583,0.61477
FO,VI,22.1637,0.61677
FO,VI,22.2128,0.61876
FO,VI,22.2204,0.62076
FO,VI,22.2683,0.62275
FO,VI,22.3264,0.62475
FO,VI,22.3305,0.62675
FO,VI,22.3507,0.62874
FO,VI,22.3834,0.63074
FO,VI,22.3865,0.63273
FO,VI,22.431,0.63473
FO,VI,22.4402,0.63673
FO,VI,22.4644,0.63872
FO,VI,22.5628,0.64072
FO,VI,22.5894,0.64271
FO,VI,22.6301,0.64471
FO,VI,22.6781,0.64671
FO,VI,22.7044,0.6487
FO,VI,22.7134,0.6507
FO,VI,22.725,0.65269
FO,VI,22.7698,0.65469
FO,VI,23.0157,0.65669
FO,VI,23.1413,0.65868
FO,VI,23.1482,0.66068
FO,VI,23.162,0.66267
FO,VI,23.3274,0.66467
FO,VI,23.336,0.66667
FO,VI,23.3766,0.66866
FO,VI,23.3992,0.67066
FO,VI,23.4452,0.67265
FO,VI,23.4599,0.67465
FO,VI,23.5149,0.67665
FO,VI,23.5861,0.67864
FO,VI,23.603,0.68064
FO,VI,23.6611,0.68263
FO,VI,23.6821,0.68463
FO,VI,23.6824,0.68663
FO,VI,23.6845,0.68862
FO,VI,23.7135,0.69062
FO,VI,23.7191,0.69261
FO,VI,23.7504,0.69461
FO,VI,23.8205,0.69661
FO,VI,23.8221,0.6986
FO,VI,23.8522,0.7006
FO,VI,23.8629,0.70259
FO,VI,23.8993,0.70459
FO,VI,23.9734,0.70659
FO,VI,24.018,0.70858
FO,VI,24.0569,0.71058
FO,VI,24.1057,0.71257
FO,VI,24.1093,0.71457
FO,VI,24.1769,0.71657
FO,VI,24.18,0.71856
FO,VI,24.1917,0.72056
FO,VI,24.2018,0.72255
FO,VI,24.2486,0.72455
FO,VI,24.2706,0.72655
FO,VI,24.2847,0.72854
FO,VI,24.2975,0.73054
FO,VI,24.3031,0.73253
FO,VI,24.3794,0.73453
FO,VI,24.4171,0.73653
FO,VI,24.5254,0.73852
FO,VI,24.598,0.74052
FO,VI,24.6099,0.74251
FO,VI,24.6619,0.74451
FO,VI,24.6958,0.74651
FO,VI,24.7042,0.7485
FO,VI,24.7254,0.7505
FO,VI,24.7366,0.7525
FO,VI,24.7505,0.75449
FO,VI,24.8149,0.75649
FO,VI,24.8182,0.75848
FO,VI,24.8944,0.76048
FO,VI,24.9059,0.76248
FO,VI,24.9065,0.76447
FO,VI,24.9178,0.76647
FO,VI,25.0246,0.76846
FO,VI,25.026,0.77046
FO,VI,25.034,0.77246
FO,VI,25.0536,0.77445
FO,VI,25.0641,0.77645
FO,VI,25.082,0.77844
FO,VI,25.083,0.78044
FO,VI,25.1372,0.78244
FO,VI,25.2325,0.78443
FO,VI,25.2682,0.78643
FO,VI,25.2781,0.78842
FO,VI,25.3156,0.79042
FO,VI,25.3856,0.79242
FO,VI,25.508,0.79441
FO,VI,25.5595,0.79641
FO,VI,25.5735,0.7984
FO,VI,25.5941,0.8004
FO,VI,25.6826,0.8024
FO,VI,25.6896,0.80439
FO,VI,25.7442,0.80639
FO,VI,25.7588,0.80838
FO,VI,25.786,0.81038
FO,VI,25.9482,0.81238
FO,VI,25.9608,0.81437
FO,VI,26.0485,0.81637
FO,VI,26.0854,0.81836
FO,VI,26.1164,0.82036
FO,VI,26.2132,0.82236
FO,VI,26.2213,0.82435
FO,VI,26.2304,0.82635
FO,VI,26.2647,0.82834
FO,VI,26.5115,0.83034
FO,VI,26.5559,0.83234
FO,VI,26.5973,0.83433
FO,VI,26.6161,0.83633
FO,VI,26.6274,0.83832
FO,VI,26.6283,0.84032
FO,VI,26.7815,0.84232
FO,VI,26.8568,0.84431
FO,VI,26.8836,0.84631
FO,VI,26.9074,0.8483
FO,VI,26.9324,0.8503
FO,VI,26.9471,0.8523
FO,VI,27.0126,0.85429
FO,VI,27.0733,0.85629
FO,VI,27.1458,0.85828
FO,VI,27.5829,0.86028
FO,VI,27.5906,0.86228
FO,VI,27.6581,0.86427
FO,VI,27.7191,0.86627
FO,VI,27.807,0.86826
FO,VI,27.971,0.87026
FO,VI,28.0155,0.87226
FO,VI,28.0177,0.87425
FO,VI,28.241,0.87625
FO,VI,28.3508,0.87824
FO,VI,28.4002,0.88024
FO,VI,28.4179,0.88224
FO,VI,28.4448,0.88423
FO,VI,28.8533,0.88623
FO,VI,28.8662,0.88822
FO,VI,28.9294,0.89022
