trajectory,actual_t_mm,an_t_mm,fd_t_mm,cond
VI,148.82663013139725,37.06201569215894,261.5150885171747,8.00814561596892
VI,152.12704174652154,38.29509145223959,398.0938388069366,7.808127265996934
VI,155.5163438278263,38.10414225473029,763.7448633303409,7.938535286213154
VI,157.5692560650436,42.223455930746205,237.5661177957507,7.811175503477103
VI,151.40492711490427,38.86464494503147,242.40579475528,7.922950905011547
VI,148.72802999250268,39.2259266626139,261.7005098698917,7.7507189334777
VI,152.74119589850528,40.01533218549584,295.0129185002861,7.1539291173389525
VI,152.49312421602897,39.831353948252016,263.2023073078714,7.430092003290887
VI,154.40232019421464,41.27151181453269,277.83753682266126,7.119195024075619
VI,162.76387570565672,46.32650055179069,259.675684282041,7.361787168061864
VI,163.84990616459143,51.71060070085911,335.89402385623737,7.405091659129689
VI,152.3683029101362,48.43390615703694,292.59709432583026,7.780848416116883
VI,151.08436946473967,45.97738550747447,185.74575332334624,7.872664409386787
VI,163.08384629251057,52.21812910844869,175.16506211615274,7.720391182887941
VI,168.55513728444114,53.65183416865521,188.9369567392249,7.70908018328024
VI,159.33941877436058,45.20659628276943,239.1763646400652,7.490355151907046
VI,156.15726873046648,41.18290729627471,242.74633623778848,6.905603566768407
VI,151.3464905926848,39.49713400383602,243.6090251647336,6.876788721614187
VI,146.08169726687532,38.33848332308565,818.8309978672814,6.879364505296547
VI,148.62554572919302,38.62883040996129,739.8384746758994,6.821127014093387
VI,158.3950859458633,41.55259768428117,228.71963817347253,7.017169452242557
VI,156.29876363566726,42.93433475894807,167.11881352787046,7.522798386434367
VI,149.4569197631465,39.19233994961628,191.5035545401981,7.39932503931828
VI,138.51690381793904,34.117412733398474,211.48596967068391,7.52304069580492
VI,136.66836451021706,33.72001932678398,203.8656939629715,7.275656719389532
VI,148.95619195369554,39.38066231595394,215.60404436939132,7.08280969887325
VI,153.02759628245957,42.18616566993192,213.7644524685186,7.485848093247075
VI,156.95391063526975,43.25668575246437,220.97477650683777,7.892051232633222
VI,157.30974435143804,42.93203479804887,210.1336480318728,7.988447786979417
VI,151.85996047218947,39.899410164431934,253.9356881919626,7.795217162625514
VI,147.85958022909705,39.25236715783439,329.81729842670126,7.703342873325507
VI,151.13694978083257,40.6708663386348,227.25331454415053,7.70251251159355
VI,156.54645738937097,39.60621915733088,336.18692826037034,7.179031270809824
VI,162.10904467639494,45.33988831568228,1402.5308974088723,7.5122263508645055
VI,156.4010113072841,41.65138343375268,249.27356681518248,7.507042125660914
VI,151.3364189526446,39.59740818196337,235.22751217874716,7.347765305393384
VI,140.80943343853926,34.99469733538846,328.18300958570563,7.707721312547318
VI,141.97598923069128,35.59556279404067,310.1771541461438,7.484590020938954
VI,142.40180987590296,34.970598874138595,650.7763086417516,7.807667045681317
VI,147.77667268914763,36.31053829916325,489.5418332122666,7.671078758364644
VI,152.43890387688938,38.75897745501251,221.519108455484,7.996503979637077
VI,152.76831802049543,41.20246334148657,270.2312934345128,7.821813019634497
VI,150.21328773280908,38.41864879997383,251.2004275168696,7.896323539575202
VI,145.48377781991528,36.2217492965744,271.7317102664344,7.700000999638572
VI,148.71642313707548,37.48629220193055,269.9010496857302,7.288608014206883
VI,150.5500665247735,38.59512498366782,1408.703912319583,7.296116768160645
VI,153.71366578835097,41.52980787805411,211.77686978497812,7.537718193027657
VI,160.4758643315692,46.399958145668265,227.39990593396143,7.439090365483694
VI,157.37343486060928,46.87600030043439,249.75860722364428,7.667954618281347
VI,146.34510465975413,38.20144296493602,262.23681729707965,7.939038988529898
VI,149.84050863679676,40.61582769777228,638.5231198781211,7.754455497150726
VI,161.54767054974485,48.8019490687948,273.81110853017265,7.626616989030689
VI,165.11404010032882,49.50377660783739,438.9186624558279,7.681183069037664
VI,155.58155335010613,41.505813819305416,830.6764703128813,7.827894486847445
VI,150.46731700364728,36.09884224209242,190.43868491352208,7.417267286634347
VI,142.57764201744615,34.921150305506046,254.50648909111024,7.288320506624801
VI,137.61304900585557,36.08129841549964,431.4406762599757,7.359581688864284
VI,145.69532369131554,36.41482015607516,329.47056631945384,7.232966904335528
VI,150.79603783598554,37.66791342051446,226.31861563382049,7.140042168889575
VI,153.42109707672154,40.04826630260807,184.95241911938123,7.459200860461746
VI,151.02728276871946,36.69131711146501,219.95374516878616,7.713941753287116
VI,145.31683514011615,35.05024980001866,294.2409421059356,7.627244035911511
VI,134.2610933890281,34.36380635378587,271.1428831216483,7.861835088141412
VI,142.68215970212273,36.55126204737498,311.4069641665194,7.258129020680963
VI,148.0058691357103,39.09152693835629,226.36815067510287,7.387769248201735
VI,149.94293559396587,38.03795167448485,212.20399118597825,7.96285102267034
VI,151.4525736758377,36.54745177917083,210.5650042301769,8.334412882252012
VI,143.54164419911646,33.753419760816506,314.7314934733361,8.177728453362635
VI,142.9144475278715,33.28036723106461,319.0481790032632,8.105634694156741
VI,138.08906217385436,33.03739589919077,316.544501792688,8.033949419635402
VI,151.10847481377692,36.72968652611624,281.8140138390564,7.583141410439702
VI,152.70978278288007,36.89231212670308,228.3356585962505,7.4121217284398995
