trajectory,order,switch_rate
VI,0,0.2477595152570661
VI,13,0.1577826213310084
VI,26,0.1583886459751989
VI,38,0.1687958691910499
VI,51,0.1514756870069857
VI,64,0.2219467548162366
VI,77,0.2418642024909602
VI,90,0.1876218787158145
VI,103,0.1561244717709942
VI,115,0.1612407531061107
VI,128,0.2650569495229689
VI,141,0.237500536826283
VI,154,0.1664948164615433
VI,167,0.1583061729605214
VI,179,0.171662236970805
VI,192,0.2273170695792701
VI,205,0.1524440563082371
VI,218,0.1615651048605031
VI,231,0.1809728852694312
VI,244,0.1805388822195545
VI,256,0.1904406896590093
VI,269,0.2816011741823944
VI,282,0.2384473258335681
VI,295,0.1788303122002353
VI,308,0.1720826527702159
VI,321,0.2276482599880223
VI,333,0.1881398930868895
VI,346,0.2080404609327854
VI,359,0.193618769309483
VI,372,0.1838961025432688
VI,385,0.1748124510133243
VI,397,0.1680867728383926
VI,410,0.1636653970497768
VI,423,0.1805546843496572
VI,436,0.1862324250342167
VI,449,0.1745603829849828
VI,462,0.1560892935771432
VI,474,0.1957633845882456
VI,487,0.2039857087585239
VI,500,0.1692948875542911
IV,249,0.1747168201274481
IV,311,0.1962869376008984
II,161,0.1209260781746394
II,193,0.1473314668665402
II,257,0.0511558559316488
II,289,0.1132641220746948
II,321,0.1437041758103805
II,353,0.1022924978156316
II,385,0.0960219478737997
II,417,0.0903111392341828
II,449,0.087330201391165
II,482,0.0
II,610,0.073018226287399
II,642,0.0830593907516984
II,674,0.1055946317406419
III,167,0.1254427586041001
III,200,0.1122857588425569
III,234,0.1145243447452998
III,267,0.1569373286700066
III,300,0.1159461952160216
III,334,0.1725174067459919
III,367,0.0984088022665103
III,400,0.0943696003480639
III,434,0.1022503071792171
III,467,0.1139623263602682
III,500,0.1602902857635075
