trajectory,cond,ecdf
III,6.6489,0.0566
III,6.71541,0.0593
III,6.72139,0.06199
III,6.73539,0.06469
III,6.73935,0.06739
III,6.76254,0.07008
III,6.77415,0.07278
III,6.78256,0.07547
III,6.8165,0.07817
III,6.8227,0.08086
III,6.82942,0.08356
III,6.83494,0.08625
III,6.87261,0.08895
III,6.87733,0.09164
III,6.88089,0.09434
III,6.93405,0.09704
III,6.93485,0.09973
III,6.9365,0.10243
III,6.94315,0.10512
III,6.97033,0.10782
III,6.98138,0.11051
III,6.99407,0.11321
III,7.00024,0.1159
III,7.00725,0.1186
III,7.01415,0.12129
III,7.01583,0.12399
III,7.01966,0.12668
III,7.02746,0.12938
III,7.02847,0.13208
III,7.03414,0.13477
III,7.046,0.13747
III,7.05155,0.14016
III,7.06749,0.14286
III,7.0736,0.14555
III,7.08328,0.14825
III,7.08711,0.15094
III,7.09458,0.15364
III,7.10909,0.15633
III,7.11038,0.15903
III,7.11261,0.16173
III,7.12851,0.16442
III,7.13268,0.16712
III,7.14005,0.16981
III,7.14325,0.17251
III,7.14369,0.1752
III,7.16167,0.1779
III,7.16459,0.18059
III,7.1653,0.18329
III,7.17012,0.18598
III,7.17269,0.18868
III,7.17824,0.19137
III,7.1824,0.19407
III,7.18511,0.19677
III,7.18517,0.19946
III,7.1953,0.20216
III,7.19869,0.20485
III,7.19914,0.20755
III,7.21512,0.21024
III,7.22102,0.21294
III,7.22544,0.21563
III,7.22576,0.21833
III,7.23821,0.22102
III,7.24417,0.22372
III,7.25393,0.22642
III,7.26348,0.22911
III,7.27005,0.23181
III,7.2885,0.2345
III,7.29302,0.2372
III,7.31259,0.23989
III,7.31281,0.24259
III,7.31387,0.24528
III,7.31451,0.24798
III,7.33118,0.25067
III,7.33166,0.25337
III,7.34718,0.25606
III,7.35179,0.25876
III,7.35378,0.26146
III,7.36583,0.26415
III,7.3665,0.26685
III,7.38154,0.26954
III,7.38529,0.27224
III,7.39015,0.27493
III,7.39514,0.27763
III,7.39945,0.28032
III,7.40607,0.28302
III,7.40641,0.28571
III,7.42472,0.28841
III,7.45122,0.29111
III,7.46276,0.2938
III,7.46612,0.2965
III,7.46659,0.29919
III,7.47515,0.30189
III,7.48479,0.30458
III,7.49546,0.30728
III,7.4991,0.30997
III,7.50263,0.31267
III,7.50522,0.31536
III,7.51597,0.31806
III,7.52138,0.32075
III,7.52455,0.32345
III,7.52583,0.32615
III,7.52659,0.32884
III,7.5366,0.33154
III,7.5431,0.33423
III,7.54897,0.33693
III,7.57471,0.33962
III,7.58669,0.34232
III,7.59751,0.34501
III,7.60011,0.34771
III,7.62958,0.3504
III,7.63297,0.3531
III,7.67836,0.3558
III,7.67856,0.35849
III,7.68391,0.36119
III,7.69584,0.36388
III,7.6976,0.36658
III,7.71998,0.36927
III,7.7246,0.37197
III,7.72586,0.37466
III,7.75874,0.37736
III,7.76741,0.38005
III,7.78592,0.38275
III,7.7869,0.38544
III,7.795,0.38814
III,7.81664,0.39084
III,7.82918,0.39353
III,7.85611,0.39623
III,7.88097,0.39892
III,7.8811,0.40162
III,7.88859,0.40431
III,7.89852,0.40701
III,7.94832,0.4097
III,7.95353,0.4124
III,8.00218,0.41509
III,8.02653,0.41779
III,8.06471,0.42049
III,8.07756,0.42318
III,8.0791,0.42588
III,8.08702,0.42857
III,8.09241,0.43127
III,8.10686,0.43396
III,8.14325,0.43666
III,8.14692,0.43935
III,8.17697,0.44205
III,8.18487,0.44474
III,8.23683,0.44744
III,8.2489,0.45013
III,8.25586,0.45283
III,8.27626,0.45553
III,8.29038,0.45822
III,8.29393,0.46092
III,8.29802,0.46361
III,8.30597,0.46631
III,8.32718,0.469
III,8.33951,0.4717
III,8.36116,0.47439
III,8.36826,0.47709
III,8.38113,0.47978
III,8.38326,0.48248
III,8.40099,0.48518
III,8.40356,0.48787
III,8.40428,0.49057
III,8.41002,0.49326
III,8.41199,0.49596
III,8.43671,0.49865
III,8.44944,0.50135
III,8.45171,0.50404
III,8.45392,0.50674
III,8.46321,0.50943
III,8.4742,0.51213
III,8.49771,0.51482
III,8.50126,0.51752
III,8.50421,0.52022
III,8.51385,0.52291
III,8.5216,0.52561
III,8.52251,0.5283
III,8.53249,0.531
III,8.53499,0.53369
III,8.5516,0.53639
III,8.55588,0.53908
III,8.55716,0.54178
III,8.55919,0.54447
III,8.55949,0.54717
III,8.56125,0.54987
III,8.56763,0.55256
III,8.57093,0.55526
III,8.57289,0.55795
III,8.58097,0.56065
III,8.58319,0.56334
III,8.58333,0.56604
III,8.58946,0.56873
III,8.59056,0.57143
III,8.59278,0.57412
III,8.59342,0.57682
III,8.59481,0.57951
III,8.59807,0.58221
III,8.59818,0.58491
III,8.59964,0.5876
III,8.60602,0.5903
III,8.60854,0.59299
III,8.61096,0.59569
III,8.61631,0.59838
III,8.62682,0.60108
III,8.64135,0.60377
III,8.64736,0.60647
III,8.64891,0.60916
III,8.65341,0.61186
III,8.65472,0.61456
III,8.66506,0.61725
III,8.66665,0.61995
III,8.67531,0.62264
III,8.67967,0.62534
III,8.6926,0.62803
III,8.69384,0.63073
III,8.70648,0.63342
III,8.70767,0.63612
III,8.71487,0.63881
III,8.71781,0.64151
III,8.72599,0.6442
III,8.72646,0.6469
III,8.7313,0.6496
III,8.73552,0.65229
III,8.73962,0.65499
III,8.74083,0.65768
III,8.74236,0.66038
III,8.74478,0.66307
III,8.74497,0.66577
III,8.74821,0.66846
III,8.75533,0.67116
III,8.75748,0.67385
III,8.7629,0.67655
III,8.76639,0.67925
III,8.76639,0.68194
III,8.76898,0.68464
III,8.7713,0.68733
III,8.77314,0.69003
III,8.77324,0.69272
III,8.77942,0.69542
III,8.7837,0.69811
III,8.78811,0.70081
III,8.79674,0.7035
III,8.79803,0.7062
III,8.79881,0.70889
III,8.80061,0.71159
III,8.80084,0.71429
III,8.80688,0.71698
III,8.80736,0.71968
III,8.80904,0.72237
III,8.81096,0.72507
III,8.82354,0.72776
III,8.82439,0.73046
III,8.82463,0.73315
III,8.82493,0.73585
III,8.84447,0.73854
III,8.84887,0.74124
III,8.8494,0.74394
III,8.85216,0.74663
III,8.85781,0.74933
III,8.86357,0.75202
III,8.86379,0.75472
III,8.87456,0.75741
III,8.87683,0.76011
III,8.87762,0.7628
III,8.8821,0.7655
III,8.88292,0.76819
III,8.88461,0.77089
III,8.89296,0.77358
III,8.90154,0.77628
III,8.90239,0.77898
III,8.92026,0.78167
III,8.9262,0.78437
III,8.92735,0.78706
III,8.92753,0.78976
III,8.92851,0.79245
III,8.93732,0.79515
III,8.94061,0.79784
III,8.94279,0.80054
III,8.9447,0.80323
III,8.95122,0.80593
III,8.96002,0.80863
III,8.96374,0.81132
III,8.97073,0.81402
III,9.00295,0.81671
III,9.00388,0.81941
III,9.01506,0.8221
III,9.01757,0.8248
III,9.04616,0.82749
III,9.05842,0.83019
III,9.07102,0.83288
III,9.07521,0.83558
III,9.08155,0.83827
III,9.08495,0.84097
III,9.10092,0.84367
III,9.10287,0.84636
III,9.10343,0.84906
III,9.12106,0.85175
III,9.12668,0.85445
III,9.14441,0.85714
III,9.15884,0.85984
III,9.17559,0.86253
III,9.1827,0.86523
III,9.20969,0.86792
III,9.21001,0.87062
III,9.2148,0.87332
III,9.21577,0.87601
III,9.2179,0.87871
III,9.22054,0.8814
III,9.25385,0.8841
III,9.26176,0.88679
III,9.26288,0.88949
III,9.27034,0.89218
III,9.28766,0.89488
III,9.2927,0.89757
III,9.29635,0.90027
III,9.30108,0.90296
III,9.31163,0.90566
III,9.31594,0.90836
III,9.33288,0.91105
III,9.33445,0.91375
III,9.35441,0.91644
III,9.36165,0.91914
III,9.36628,0.92183
III,9.37099,0.92453
III,9.37622,0.92722
III,9.38113,0.92992
III,9.41295,0.93261
III,9.42162,0.93531
III,9.43643,0.93801
III,9.43767,0.9407
III,9.44563,0.9434
III,9.4467,0.94609
III,9.45018,0.94879
III,9.45141,0.95148
III,9.4551,0.95418
III,9.46393,0.95687
III,9.48245,0.95957
III,9.48673,0.96226
III,9.49721,0.96496
III,9.52283,0.96765
III,9.55099,0.97035
III,9.61557,0.97305
III,9.62276,0.97574
III,9.63231,0.97844
III,9.67299,0.98113
III,9.68582,0.98383
III,9.70933,0.98652
III,9.72545,0.98922
III,9.75543,0.99191
III,9.81617,0.99461
III,9.87508,0.9973
III,9.93103,1.0
