trajectory,cond,ecdf
VI,7.4592,0.42914
VI,7.46184,0.43114
VI,7.46714,0.43313
VI,7.47393,0.43513
VI,7.47858,0.43713
VI,7.48218,0.43912
VI,7.48459,0.44112
VI,7.48528,0.44311
VI,7.48547,0.44511
VI,7.48585,0.44711
VI,7.4872,0.4491
VI,7.49036,0.4511
VI,7.49369,0.45309
VI,7.49429,0.45509
VI,7.49442,0.45709
VI,7.4975,0.45908
VI,7.49774,0.46108
VI,7.5015,0.46307
VI,7.50614,0.46507
VI,7.50704,0.46707
VI,7.5073,0.46906
VI,7.50856,0.47106
VI,7.51223,0.47305
VI,7.51743,0.47505
VI,7.52186,0.47705
VI,7.5228,0.47904
VI,7.52304,0.48104
VI,7.52389,0.48303
VI,7.52495,0.48503
VI,7.52565,0.48703
VI,7.52754,0.48902
VI,7.52777,0.49102
VI,7.52869,0.49301
VI,7.53097,0.49501
VI,7.53497,0.49701
VI,7.53772,0.499
VI,7.53892,0.501
VI,7.54135,0.50299
VI,7.54797,0.50499
VI,7.55021,0.50699
VI,7.55564,0.50898
VI,7.55667,0.51098
VI,7.55673,0.51297
VI,7.55721,0.51497
VI,7.56102,0.51697
VI,7.56134,0.51896
VI,7.56285,0.52096
VI,7.56744,0.52295
VI,7.57119,0.52495
VI,7.57267,0.52695
VI,7.57434,0.52894
VI,7.57525,0.53094
VI,7.57641,0.53293
VI,7.57663,0.53493
VI,7.57991,0.53693
VI,7.58261,0.53892
VI,7.58279,0.54092
VI,7.58314,0.54291
VI,7.58588,0.54491
VI,7.59052,0.54691
VI,7.59318,0.5489
VI,7.59336,0.5509
VI,7.59368,0.55289
VI,7.59594,0.55489
VI,7.59883,0.55689
VI,7.60356,0.55888
VI,7.60864,0.56088
VI,7.61478,0.56287
VI,7.61583,0.56487
VI,7.6163,0.56687
VI,7.61738,0.56886
VI,7.61873,0.57086
VI,7.62114,0.57285
VI,7.62372,0.57485
VI,7.6258,0.57685
VI,7.62662,0.57884
VI,7.62724,0.58084
VI,7.63042,0.58283
VI,7.63067,0.58483
VI,7.63295,0.58683
VI,7.63566,0.58882
VI,7.63659,0.59082
VI,7.64105,0.59281
VI,7.64247,0.59481
VI,7.64354,0.59681
VI,7.64648,0.5988
VI,7.65058,0.6008
VI,7.65143,0.60279
VI,7.65184,0.60479
VI,7.66231,0.60679
VI,7.66305,0.60878
VI,7.66519,0.61078
VI,7.66752,0.61277
VI,7.66795,0.61477
VI,7.66884,0.61677
VI,7.67108,0.61876
VI,7.68118,0.62076
VI,7.68363,0.62275
VI,7.69013,0.62475
VI,7.69063,0.62675
VI,7.69443,0.62874
VI,7.69537,0.63074
VI,7.69552,0.63273
VI,7.7,0.63473
VI,7.70251,0.63673
VI,7.70307,0.63872
VI,7.70334,0.64072
VI,7.70423,0.64271
VI,7.7044,0.64471
VI,7.70552,0.64671
VI,7.70633,0.6487
VI,7.70772,0.6507
VI,7.70816,0.65269
VI,7.70908,0.65469
VI,7.7128,0.65669
VI,7.71394,0.65868
VI,7.7149,0.66068
VI,7.72039,0.66267
VI,7.72548,0.66467
VI,7.73101,0.66667
VI,7.73113,0.66866
VI,7.73225,0.67066
VI,7.73402,0.67265
VI,7.73816,0.67465
VI,7.73975,0.67665
VI,7.74544,0.67864
VI,7.74557,0.68064
VI,7.75072,0.68263
VI,7.75446,0.68463
VI,7.7558,0.68663
VI,7.75949,0.68862
VI,7.7635,0.69062
