trajectory,median,q25,q75,n
VI,0.2788203645047673,-0.0542884091392323,0.7873945085757867,501
IV,1.4432243078290696,0.672748047556329,2.4986478356948045,156
II,0.5139623833497318,0.0016256712553079753,1.4891193101127431,428
III,-0.0353521368933584,-0.3652307965419865,0.18502000815192327,371
