dataset,condition,metric,n,raw_median,after_median,ratio_after_over_raw
IV,raw,gt_norm,156,0.0657725176195961,0.0657725176195961,1.0
IV,raw,gr_norm,156,0.008501695692120625,0.008501695692120625,1.0
IV,raw,residual_rms_mm,156,99.4370110645538,99.4370110645538,1.0
IV,raw,trans_error_mm,156,160.423862077838,160.423862077838,1.0
IV,raw,rot_error_deg,156,4.006055547406119,4.006055547406119,1.0
IV,raw,patch_spread_mm,156,63.67783717965348,63.67783717965348,1.0
IV,N1,gt_norm,156,0.0657725176195961,0.03263981861290957,0.4962531433217473
IV,N1,gr_norm,156,0.008501695692120625,0.008884803570686585,1.045062525458424
IV,N1,residual_rms_mm,156,99.4370110645538,86.25651269308784,0.867448767512639
IV,N1,trans_error_mm,156,160.423862077838,128.02444036390065,0.798038637804287
IV,N1,rot_error_deg,156,4.006055547406119,3.986529839562082,0.9951259517964799
IV,N1,patch_spread_mm,156,63.67783717965348,70.43102046233302,1.1060523344036777
IV,N2,gt_norm,156,0.0657725176195961,0.037640926008587546,0.5722895727709365
IV,N2,gr_norm,156,0.008501695692120625,0.011045865873523061,1.2992544397655135
IV,N2,residual_rms_mm,156,99.4370110645538,91.8431961896629,0.9236319073391994
IV,N2,trans_error_mm,156,160.423862077838,149.88343977250707,0.9342964184454262
IV,N2,rot_error_deg,156,4.006055547406119,5.850586345136497,1.4604356519531272
IV,N2,patch_spread_mm,156,63.67783717965348,66.24862258385929,1.0403717449911636
IV,N3,gt_norm,156,0.0657725176195961,0.05249211902843839,0.7980859016532312
IV,N3,gr_norm,156,0.008501695692120625,0.010942783922924498,1.2871295702886985
IV,N3,residual_rms_mm,156,99.4370110645538,98.25963999488849,0.9881596293265394
IV,N3,trans_error_mm,156,160.423862077838,139.83324953755738,0.8716486919490193
IV,N3,rot_error_deg,156,4.006055547406119,3.594928208921007,0.8973735302419078
IV,N3,patch_spread_mm,156,63.67783717965348,67.7526755779887,1.0639914698553428
II,raw,gt_norm,428,0.05160467629441817,0.05160467629441817,1.0
II,raw,gr_norm,428,0.008097683387755822,0.008097683387755822,1.0
II,raw,residual_rms_mm,428,84.6722987985078,84.6722987985078,1.0
II,raw,trans_error_mm,428,66.14920168537466,66.14920168537466,1.0
II,raw,rot_error_deg,428,1.7742670258913977,1.7742670258913977,1.0
II,raw,patch_spread_mm,428,99.6265243661611,99.6265243661611,1.0
II,N1,gt_norm,428,0.05160467629441817,0.019268525049473923,0.3733871895551083
II,N1,gr_norm,428,0.008097683387755822,0.005745563588705853,0.709531765269248
II,N1,residual_rms_mm,428,84.6722987985078,76.30783131276162,0.9012136483308331
II,N1,trans_error_mm,428,66.14920168537466,38.29241686286804,0.5788795009953135
II,N1,rot_error_deg,428,1.7742670258913977,1.7485551366947165,0.985508444432842
