trajectory,max_abs_dgt,max_abs_dgr
VI,0.0003086669889643401,0.00017573937128201236
IV,0.0002872848568040709,0.0003792128405546262
II,0.0003276405610178161,0.00024911024289350596
V,0.00040173211751902416,0.00031356582209576475
