trajectory,comparison,n,paired_median_mm,paired_q25_mm,paired_q75_mm
VI,Raw_minus_Patch,501,43.5102795086748,39.326245447293815,48.16699354162495
VI,PatchHuber_minus_Huber_t,501,45.3799532674704,39.505250814088484,51.63183592204531
IV,Raw_minus_Patch,156,33.630700956669884,27.53242508120094,39.26552404078118
IV,PatchHuber_minus_Huber_t,156,31.806695607959142,26.103503781039247,38.060075296283145
II,Raw_minus_Patch,428,19.1030687120173,10.083481827802766,29.896330654032127
II,PatchHuber_minus_Huber_t,428,7.873511154948556,-0.011515460842041136,12.489239025335179
III,Raw_minus_Patch,371,28.929768382518283,20.228785937844584,38.87892117421381
III,PatchHuber_minus_Huber_t,371,19.662711543654517,7.562930155669507,34.34958520185086
