pair_id,geometry,side,family,magnitude,translation_error_mm,residual_rms_mm,condition_key,directed_pair_key
P1,GA,A,D1,50.0,39.16299536763985,35.89463575001632,GA|D1|50.0,GA|D1|50.0<->D2|0.25
P1,GA,B,D2,0.25,0.0166850166241031,36.736881989298574,GA|D2|0.25,GA|D1|50.0<->D2|0.25
P2,GB,A,D1,100.0,80.76725997516454,65.53625321265972,GB|D1|100.0,GB|D1|100.0<->D2|0.25
P2,GB,B,D2,0.25,0.0256293689330276,51.87811029180371,GB|D2|0.25,GB|D1|100.0<->D2|0.25
P3,GC,A,D2,0.5,0.0480342509508825,9.688225269499396,GC|D2|0.5,GC|D2|0.5<->D3|25.0
P3,GC,B,D3,25.0,11.396635822391744,10.674287997487232,GC|D3|25.0,GC|D2|0.5<->D3|25.0
P4,GA,A,D1,25.0,18.66100615125641,18.1892826293576,GA|D1|25.0,GA|D1|25.0<->D5|2.0
P4,GA,B,D5,2.0,0.1000697412848524,15.611889702793828,GA|D5|2.0,GA|D1|25.0<->D5|2.0
