trajectory,error_deg,ecdf,n_valid
VI,1.486082037609225,0.001996007984031936,501
VI,1.7843967126556914,0.003992015968063872,501
VI,2.0129989645952673,0.005988023952095809,501
VI,2.2150622224533616,0.007984031936127744,501
VI,2.8218591808718885,0.00998003992015968,501
VI,2.9983304887487106,0.011976047904191617,501
VI,3.0628344183949285,0.013972055888223553,501
VI,3.5566134794786834,0.015968063872255488,501
VI,3.6448272413779153,0.017964071856287425,501
VI,3.664362111052419,0.01996007984031936,501
VI,3.692806409502004,0.021956087824351298,501
VI,3.7027891598245777,0.023952095808383235,501
VI,3.9857024914041794,0.02594810379241517,501
VI,4.47193775449631,0.027944111776447105,501
VI,4.731393036551249,0.029940119760479042,501
VI,4.85318252212078,0.031936127744510975,501
VI,4.98128143737005,0.033932135728542916,501
VI,5.0521248104211915,0.03592814371257485,501
VI,5.133295923147905,0.03792415169660679,501
VI,5.135334102172842,0.03992015968063872,501
VI,5.426750189609792,0.041916167664670656,501
VI,5.667666229152685,0.043912175648702596,501
VI,5.671399860499174,0.04590818363273453,501
VI,5.787754486644709,0.04790419161676647,501
VI,5.8760463803897025,0.0499001996007984,501
VI,6.240778020044772,0.05189620758483034,501
VI,6.99198445395169,0.05389221556886228,501
VI,7.004017339667819,0.05588822355289421,501
VI,7.082199090869967,0.05788423153692615,501
VI,7.170414044720482,0.059880239520958084,501
VI,7.418851340954562,0.06187624750499002,501
VI,7.649619865071973,0.06387225548902195,501
VI,7.7045793718298565,0.0658682634730539,501
VI,7.747080240585217,0.06786427145708583,501
VI,7.904900529601865,0.06986027944111776,501
VI,7.905324140192434,0.0718562874251497,501
VI,7.918809220745293,0.07385229540918163,501
VI,7.938282621163507,0.07584830339321358,501
VI,7.961964162879537,0.07784431137724551,501
VI,7.979443509813409,0.07984031936127745,501
VI,8.333506187019932,0.08183632734530938,501
VI,8.337800571437155,0.08383233532934131,501
VI,8.443734359759622,0.08582834331337326,501
VI,8.65232114529448,0.08782435129740519,501
VI,8.843348328524048,0.08982035928143713,501
VI,8.948663138520704,0.09181636726546906,501
VI,8.97700039423807,0.09381237524950099,501
VI,8.993549710805153,0.09580838323353294,501
VI,9.08348498951977,0.09780439121756487,501
VI,9.096259016174066,0.0998003992015968,501
VI,9.118338553115544,0.10179640718562874,501
VI,9.134451251097824,0.10379241516966067,501
VI,9.156566889104933,0.10578842315369262,501
VI,9.184023259795271,0.10778443113772455,501
VI,9.31044604917437,0.10978043912175649,501
VI,9.36616129709765,0.11177644710578842,501
VI,9.378346608404728,0.11377245508982035,501
VI,9.404685415842033,0.1157684630738523,501
VI,9.479962151585688,0.11776447105788423,501
VI,9.490362403705458,0.11976047904191617,501
VI,9.564137814697528,0.1217564870259481,501
VI,9.573442876717616,0.12375249500998003,501
VI,9.574356291769208,0.12574850299401197,501
VI,9.610766255176316,0.1277445109780439,501
VI,9.644051477653926,0.12974051896207583,501
VI,9.724322200728091,0.1317365269461078,501
VI,9.730949054751973,0.13373253493013973,501
VI,9.737250318948389,0.13572854291417166,501
VI,9.800074625181475,0.1377245508982036,501
VI,9.84060976162674,0.13972055888223553,501
VI,9.857354906314034,0.14171656686626746,501
VI,9.868593207395856,0.1437125748502994,501
VI,9.93325307031001,0.14570858283433133,501
VI,9.94847791450065,0.14770459081836326,501
VI,9.952102295744659,0.1497005988023952,501
VI,9.966139495682857,0.15169660678642716,501
VI,9.972276483022357,0.1536926147704591,501
VI,10.034921870319128,0.15568862275449102,501
VI,10.066473621793829,0.15768463073852296,501
VI,10.080912318092297,0.1596806387225549,501
VI,10.206406646841419,0.16167664670658682,501
VI,10.394312905345071,0.16367265469061876,501
VI,10.406544215919546,0.1656686626746507,501
VI,10.410534967332257,0.16766467065868262,501
VI,10.495102424638802,0.16966067864271456,501
VI,10.56605620490688,0.17165668662674652,501
VI,10.592236522521251,0.17365269461077845,501
VI,10.645575440645608,0.17564870259481039,501
VI,10.654132457853994,0.17764471057884232,501
VI,10.659543182284523,0.17964071856287425,501
VI,10.698715999587781,0.18163672654690619,501
VI,10.789795286469795,0.18363273453093812,501
VI,10.909830759908383,0.18562874251497005,501
VI,10.948365096722826,0.18762475049900199,501
VI,11.063540392633284,0.18962075848303392,501
VI,11.066952099634435,0.19161676646706588,501
VI,11.073489909910027,0.1936127744510978,501
VI,11.141658946494939,0.19560878243512975,501
VI,11.239815418584566,0.19760479041916168,501
VI,11.24207142305356,0.1996007984031936,501
VI,11.313549647985031,0.20159680638722555,501
VI,11.35077413101611,0.20359281437125748,501
VI,11.383403094731655,0.2055888223552894,501
VI,11.405384517205908,0.20758483033932135,501
VI,11.40716033226722,0.20958083832335328,501
VI,11.46776952078832,0.21157684630738524,501
VI,11.473043997117989,0.21357285429141717,501
VI,11.4776547497886,0.2155688622754491,501
VI,11.489013542741251,0.21756487025948104,501
VI,11.515639788866437,0.21956087824351297,501
VI,11.526019698690591,0.2215568862275449,501
VI,11.540186001063597,0.22355289421157684,501
VI,11.627151500845988,0.22554890219560877,501
VI,11.706225965312646,0.2275449101796407,501
VI,11.74453361512757,0.22954091816367264,501
VI,11.79265271269938,0.2315369261477046,501
VI,11.805174133833901,0.23353293413173654,501
VI,11.930848724339866,0.23552894211576847,501
VI,11.946441125113555,0.2375249500998004,501
VI,11.955277814547731,0.23952095808383234,501
VI,11.966338992290277,0.24151696606786427,501
VI,11.97678020490966,0.2435129740518962,501
VI,12.004511678650905,0.24550898203592814,501
VI,12.023126882306933,0.24750499001996007,501
VI,12.068607294497816,0.249500998003992,501
VI,12.073597155403027,0.25149700598802394,501
VI,12.190392170715727,0.25349301397205587,501
VI,12.222163790564423,0.2554890219560878,501
VI,12.229580401286826,0.25748502994011974,501
VI,12.242221346787677,0.25948103792415167,501
VI,12.443908262834293,0.26147704590818366,501
VI,12.444384913708472,0.2634730538922156,501
VI,12.47038115675207,0.2654690618762475,501
VI,12.473956373419895,0.26746506986027946,501
VI,12.534081306870986,0.2694610778443114,501
VI,12.535888867547593,0.2714570858283433,501
VI,12.552990998085294,0.27345309381237526,501
VI,12.598747340221149,0.2754491017964072,501
VI,12.648317852229486,0.2774451097804391,501
VI,12.676200946664709,0.27944111776447106,501
VI,12.759614667102374,0.281437125748503,501
VI,12.802318018403097,0.2834331337325349,501
VI,12.896895471835116,0.28542914171656686,501
VI,12.933812346616941,0.2874251497005988,501
VI,12.948816430714972,0.2894211576846307,501
VI,12.956886651957785,0.29141716566866266,501
VI,12.985500116563221,0.2934131736526946,501
VI,12.992052052801233,0.2954091816367265,501
VI,12.99296471995966,0.29740518962075846,501
VI,12.996231197527614,0.2994011976047904,501
VI,13.059318597160447,0.3013972055888224,501
VI,13.07132065146442,0.3033932135728543,501
VI,13.073860358968805,0.30538922155688625,501
VI,13.104423965205807,0.3073852295409182,501
VI,13.13048932188268,0.3093812375249501,501
VI,13.178293183459054,0.31137724550898205,501
VI,13.22046547777373,0.313373253493014,501
VI,13.260004850899602,0.3153692614770459,501
VI,13.304230441279921,0.31736526946107785,501
VI,13.316245677005133,0.3193612774451098,501
VI,13.317036038835573,0.3213572854291417,501
VI,13.34671878424005,0.32335329341317365,501
VI,13.352846193279298,0.3253493013972056,501
VI,13.46874183532925,0.3273453093812375,501
VI,13.47438163379843,0.32934131736526945,501
VI,13.50343600027586,0.3313373253493014,501
VI,13.530664969199218,0.3333333333333333,501
VI,13.56063976344495,0.33532934131736525,501
VI,13.593947968076536,0.3373253493013972,501
VI,13.62110359348298,0.3393213572854291,501
VI,13.675829469108313,0.3413173652694611,501
VI,13.689013264243542,0.34331337325349304,501
VI,13.746086322583015,0.34530938123752497,501
VI,13.819811720027092,0.3473053892215569,501
VI,13.894544739125555,0.34930139720558884,501
VI,13.897371986204831,0.35129740518962077,501
VI,13.904490625545979,0.3532934131736527,501
VI,13.950688147119418,0.35528942115768464,501
VI,13.965731595543838,0.35728542914171657,501
VI,14.016211103786405,0.3592814371257485,501
VI,14.042990567738581,0.36127744510978044,501
VI,14.048816614769622,0.36327345309381237,501
VI,14.05300401304474,0.3652694610778443,501
VI,14.078991211514365,0.36726546906187624,501
VI,14.107147277750123,0.36926147704590817,501
VI,14.1617830238889,0.3712574850299401,501
VI,14.170090859751411,0.37325349301397204,501
VI,14.178711163211167,0.37524950099800397,501
VI,14.21858372342776,0.3772455089820359,501
VI,14.225454822419106,0.37924151696606784,501
VI,14.271665075840366,0.3812375249500998,501
VI,14.329198852570062,0.38323353293413176,501
VI,14.350200429827064,0.3852295409181637,501
VI,14.405046937022083,0.3872255489021956,501
VI,14.415386681077186,0.38922155688622756,501
VI,14.458564711554832,0.3912175648702595,501
VI,14.49713090674318,0.3932135728542914,501
VI,14.497993055774577,0.39520958083832336,501
VI,14.529164120094247,0.3972055888223553,501
VI,14.541932846719568,0.3992015968063872,501
VI,14.550634782734452,0.40119760479041916,501
VI,14.612642735660867,0.4031936127744511,501
VI,14.64056549059987,0.405189620758483,501
VI,14.672730044332928,0.40718562874251496,501
VI,14.69145483950719,0.4091816367265469,501
VI,14.775882620504376,0.4111776447105788,501
VI,14.777966378051449,0.41317365269461076,501
VI,14.819804169447462,0.4151696606786427,501
VI,14.869658879411205,0.4171656686626746,501
VI,14.92433508938731,0.41916167664670656,501
VI,14.98213158447931,0.42115768463073855,501
VI,15.05978782439938,0.4231536926147705,501
VI,15.066164530257254,0.4251497005988024,501
VI,15.086134788928984,0.42714570858283435,501
VI,15.149069057075863,0.4291417165668663,501
VI,15.153653662301389,0.4311377245508982,501
VI,15.157944290939323,0.43313373253493015,501
VI,15.280395978096733,0.4351297405189621,501
VI,15.35944145833038,0.437125748502994,501
VI,15.446592675116989,0.43912175648702595,501
VI,15.471531109275617,0.4411177644710579,501
VI,15.562450027264534,0.4431137724550898,501
VI,15.589837191204255,0.44510978043912175,501
VI,15.591021558967496,0.4471057884231537,501
VI,15.712319644434686,0.4491017964071856,501
VI,15.716352847593955,0.45109780439121755,501
VI,15.78467021240561,0.4530938123752495,501
VI,15.805187825556796,0.4550898203592814,501
VI,15.89879988549479,0.45708582834331335,501
VI,15.914391088465594,0.4590818363273453,501
VI,15.958668974678533,0.46107784431137727,501
VI,15.988032519389547,0.4630738522954092,501
VI,16.011590281356554,0.46506986027944114,501
VI,16.043315647984368,0.46706586826347307,501
VI,16.069554469167198,0.469061876247505,501
VI,16.120459785228935,0.47105788423153694,501
VI,16.127118439737867,0.47305389221556887,501
VI,16.163167167941555,0.4750499001996008,501
VI,16.184038662088312,0.47704590818363274,501
VI,16.19647198168444,0.47904191616766467,501
VI,16.220647270977548,0.4810379241516966,501
VI,16.234319726438404,0.48303393213572854,501
VI,16.237988643636882,0.48502994011976047,501
VI,16.30871972863709,0.4870259481037924,501
VI,16.32544025689453,0.48902195608782434,501
VI,16.44431104113509,0.49101796407185627,501
VI,16.47896035099466,0.4930139720558882,501
VI,16.510561462311426,0.49500998003992014,501
VI,16.54541102414055,0.49700598802395207,501
VI,16.546727335818176,0.499001996007984,501
VI,16.546884210374586,0.500998003992016,501
VI,16.60945596493816,0.5029940119760479,501
VI,16.620617394414086,0.5049900199600799,501
VI,16.668382531395924,0.5069860279441117,501
VI,16.856617464876233,0.5089820359281437,501
VI,16.871875805692202,0.5109780439121756,501
VI,16.88800724102683,0.5129740518962076,501
VI,16.93426739179481,0.5149700598802395,501
VI,16.98200912326106,0.5169660678642715,501
VI,17.14142510197402,0.5189620758483033,501
VI,17.200953521117203,0.5209580838323353,501
VI,17.2210731739173,0.5229540918163673,501
VI,17.245503595108755,0.5249500998003992,501
VI,17.346942741599133,0.5269461077844312,501
VI,17.4035163419581,0.5289421157684631,501
VI,17.42321853414986,0.530938123752495,501
VI,17.436148581105602,0.5329341317365269,501
VI,17.470901191298353,0.5349301397205589,501
VI,17.47433034145671,0.5369261477045908,501
VI,17.476725375138916,0.5389221556886228,501
VI,17.553543243010154,0.5409181636726547,501
VI,17.55363414437348,0.5429141716566867,501
VI,17.632839330902343,0.5449101796407185,501
VI,17.653570148484427,0.5469061876247505,501
VI,17.682702072247682,0.5489021956087824,501
VI,17.748585624576616,0.5508982035928144,501
VI,17.79839147098129,0.5528942115768463,501
VI,17.92034535362244,0.5548902195608783,501
VI,18.034731821449732,0.5568862275449101,501
VI,18.042356348682343,0.5588822355289421,501
VI,18.153337781956676,0.5608782435129741,501
VI,18.29262989617609,0.562874251497006,501
VI,18.299586787743156,0.564870259481038,501
VI,18.369054655534303,0.5668662674650699,501
VI,18.440592686789675,0.5688622754491018,501
VI,18.45934450509279,0.5708582834331337,501
