trajectory,n,paired_median_deg,iqr_q25_deg,iqr_q75_deg
VI,501,0.421019787289143,-0.14451642515346919,0.9269905298143684
IV,156,0.05219851842437362,-0.25415865497919077,0.6373530430854268
II,428,0.4977056037487792,0.09178941929778497,0.9122587702574867
III,371,0.7200132573811806,0.3485337977484293,1.0988364482581026
