trajectory,error_deg,ecdf,n_valid
VI,0.8571241121098633,0.001996007984031936,501
VI,1.6932179582117135,0.003992015968063872,501
VI,1.767027763815683,0.005988023952095809,501
VI,2.052653418088308,0.007984031936127744,501
VI,2.437621621378798,0.00998003992015968,501
VI,2.5821183543167727,0.011976047904191617,501
VI,2.805396610129117,0.013972055888223553,501
VI,2.977793205194294,0.015968063872255488,501
VI,3.0073048553379156,0.017964071856287425,501
VI,3.0821472965379,0.01996007984031936,501
VI,3.133764882543466,0.021956087824351298,501
VI,3.3153080888572477,0.023952095808383235,501
VI,3.3579513438707327,0.02594810379241517,501
VI,3.437639114698608,0.027944111776447105,501
VI,4.053081316814195,0.029940119760479042,501
VI,4.477409611486852,0.031936127744510975,501
VI,4.517558781202265,0.033932135728542916,501
VI,4.551079146051144,0.03592814371257485,501
VI,4.581874150819935,0.03792415169660679,501
VI,5.005566692158386,0.03992015968063872,501
VI,5.056121096796449,0.041916167664670656,501
VI,5.074204165943912,0.043912175648702596,501
VI,5.077555957732722,0.04590818363273453,501
VI,5.341378551744707,0.04790419161676647,501
VI,5.419307942220514,0.0499001996007984,501
VI,5.425304520710035,0.05189620758483034,501
VI,5.457391589183491,0.05389221556886228,501
VI,5.486018261181996,0.05588822355289421,501
VI,5.536998366535028,0.05788423153692615,501
VI,5.554744874709669,0.059880239520958084,501
VI,5.616810221376894,0.06187624750499002,501
VI,5.627949532903042,0.06387225548902195,501
VI,5.65432795399388,0.0658682634730539,501
VI,5.697104710102335,0.06786427145708583,501
VI,5.7573230662605415,0.06986027944111776,501
VI,5.838523007076663,0.0718562874251497,501
VI,5.881121032778856,0.07385229540918163,501
VI,6.029399165952877,0.07584830339321358,501
VI,6.042696985647987,0.07784431137724551,501
VI,6.050023954582945,0.07984031936127745,501
VI,6.106033959840144,0.08183632734530938,501
VI,6.4664200214030245,0.08383233532934131,501
VI,6.470220782067505,0.08582834331337326,501
VI,6.481212659793668,0.08782435129740519,501
VI,6.487921137588396,0.08982035928143713,501
VI,6.576468605926798,0.09181636726546906,501
VI,6.57962162725232,0.09381237524950099,501
VI,6.709211328336089,0.09580838323353294,501
VI,6.728204862391952,0.09780439121756487,501
VI,6.879576810594728,0.0998003992015968,501
VI,6.9021782576929045,0.10179640718562874,501
VI,6.9945652651337396,0.10379241516966067,501
VI,7.070628785024804,0.10578842315369262,501
VI,7.2326262908938945,0.10778443113772455,501
VI,7.266830110760264,0.10978043912175649,501
VI,7.303039122088433,0.11177644710578842,501
VI,7.5299099126733955,0.11377245508982035,501
VI,7.532432378612498,0.1157684630738523,501
VI,7.563948272211421,0.11776447105788423,501
VI,7.5976108692233995,0.11976047904191617,501
VI,7.658074064498345,0.1217564870259481,501
