dtype,loss,method,dose,median_of_geometry_medians,geometry_median_min,geometry_median_max
D1_appendage_disp,huber,Huber,0.0,0.0196690090043641,0.0182692499954178,0.0425533472973352
D1_appendage_disp,huber,Huber,2.0,0.9053625984659606,0.2523424003479063,1.0762385216507089
D1_appendage_disp,huber,Huber,5.0,2.2974478032050936,0.5946338440048657,2.7706031610308224
D1_appendage_disp,huber,Huber,10.0,8.928474981073958,0.9143519720513624,9.77920975758756
D1_appendage_disp,huber,Huber,25.0,21.64905381994984,1.903346431213358,22.8385254390852
D1_appendage_disp,huber,Huber,50.0,42.75337415090006,2.094643126018332,43.70996735258336
D1_appendage_disp,huber,Huber,100.0,94.81763026330827,2.4181204173256665,95.4716645738304
D1_appendage_disp,ls,Raw,0.0,0.0196690090043641,0.0182692499954178,0.0425533472973352
D1_appendage_disp,ls,Raw,2.0,0.9053625984659606,0.2523424003479063,1.0762385216507089
D1_appendage_disp,ls,Raw,5.0,2.2974478032050936,0.5946338440048657,2.7706031610308224
D1_appendage_disp,ls,Raw,10.0,8.928474981074032,0.9143519720513624,9.779203418296412
D1_appendage_disp,ls,Raw,25.0,17.564955333848218,2.3799774523509365,18.66100615125641
D1_appendage_disp,ls,Raw,50.0,39.16299536763985,11.779784794156786,39.46576946794377
D1_appendage_disp,ls,Raw,100.0,80.72999486975826,21.052032505640817,80.76725997516454
D1_appendage_disp,trim,Trim,0.0,0.0248583562376704,0.0246069523905141,0.0516419310549033
D1_appendage_disp,trim,Trim,2.0,0.8610099900838384,0.2060069543095864,1.0529318352828605
D1_appendage_disp,trim,Trim,5.0,1.8716948058614888,0.203609780326086,2.680944197737152
D1_appendage_disp,trim,Trim,10.0,2.852835151751916,0.0816951933933638,11.053210860919837
D1_appendage_disp,trim,Trim,25.0,25.34693629951484,0.0670991623744939,25.44910745740629
D1_appendage_disp,trim,Trim,50.0,50.68385125231589,0.0683655617904635,51.78996208769745
D1_appendage_disp,trim,Trim,100.0,97.79515190170906,0.0573671725213596,99.2467706910322
