bin_lo_m,bin_hi_m,n,q25_mm,median_mm,q75_mm
8.7465,9.5035,39,28.9702,30.0556,31.6774
9.5035,10.2604,96,29.8896,31.6208,33.3370
10.2604,11.0174,52,30.1425,31.6077,32.9634
11.0174,11.7744,45,28.7010,29.7799,31.9141
11.7744,12.5313,42,28.7068,30.2768,31.2057
12.5313,13.2883,39,26.2698,27.9450,29.0606
13.2883,14.0453,36,26.3034,27.4110,28.8414
14.0453,14.8022,152,25.4436,26.6743,28.1239
