trajectory,n,median_rms_mm,median_rms_pa_mm,median_ratio_pa,median_fo_dircos_t,median_fd_dircos_t,median_fo_dir_err_deg,median_fd_dir_err_deg
VI,501,104.14727262480068,38.15719722799841,0.3588346859457523,0.9423179997081352,0.95858700872046,19.555449434614285,16.546884210374586
IV,156,99.43701106455381,40.31705434240632,0.39194594722943743,0.9460897277355201,0.973445487019561,18.899227187403064,13.233091302002553
II,428,84.6722987985078,28.286367620199705,0.29935132551848603,0.7713429447332858,0.9902541834315584,39.52533199277414,8.005683659342424
III,371,69.6308404179091,25.795823630259164,0.3462359788658154,0.8094953974915841,0.9952829337933335,35.953340351921675,5.567298153363938
