bin_lo_m,bin_hi_m,n,q25_mm,median_mm,q75_mm
8.7465,9.5035,39,48.5366,79.2749,110.7284
9.5035,10.2604,93,42.7304,74.0931,108.7371
10.2604,11.0174,50,51.5338,90.1683,129.6096
11.0174,11.7744,43,48.0185,103.0116,129.8201
11.7744,12.5313,42,65.3792,89.2668,122.9860
12.5313,13.2883,37,40.9218,82.4150,117.7626
13.2883,14.0453,34,33.9473,63.4684,90.9307
14.0453,14.8022,146,38.5452,66.4388,103.7637
