trajectory,n,q25,median,q75
VI,501,-0.054288409139232385,0.2788203645047673,0.7873945085757867
IV,156,0.672748047556329,1.4432243078290696,2.498647835694804
II,428,0.0016256712553079922,0.5139623833497318,1.4891193101127431
III,371,-0.36523079654198654,-0.03535213689335848,0.18502000815192332
