dtype,loss,method,dose,median_of_geometry_medians,geometry_median_min,geometry_median_max
D5_appendage_tilt,huber,Huber,0.0,0.0013796604053022,0.0010618346488038,0.0059676805702401
D5_appendage_tilt,huber,Huber,0.1,0.0858277109064742,0.0215360679770217,0.089912370560105
D5_appendage_tilt,huber,Huber,0.25,0.2133811070932154,0.0431217384656643,0.2245715445887537
D5_appendage_tilt,huber,Huber,0.5,0.0757490753232124,0.0322292974420314,0.1235139225341671
D5_appendage_tilt,huber,Huber,1.0,0.4839564352734513,0.0401658692549199,0.6026310666173933
D5_appendage_tilt,huber,Huber,2.0,1.2760306531090504,0.0841125416546861,1.4960508738262892
D5_appendage_tilt,ls,Raw,0.0,0.0013796604053022,0.0010618346488038,0.0059676805702401
D5_appendage_tilt,ls,Raw,0.1,0.0858277109064742,0.0215360679770217,0.089912370560105
D5_appendage_tilt,ls,Raw,0.25,0.2133811070932154,0.0431217384656643,0.2245715445887537
D5_appendage_tilt,ls,Raw,0.5,0.0757490753232124,0.0322464552191613,0.1235226641775903
D5_appendage_tilt,ls,Raw,1.0,0.4840354838387842,0.0401658692549199,0.6025576193978175
D5_appendage_tilt,ls,Raw,2.0,1.2749627795084146,0.0843155361930809,1.4960844839000798
D5_appendage_tilt,trim,Trim,0.0,0.0020617128058403,0.0012427369226721,0.0085985260044068
D5_appendage_tilt,trim,Trim,0.1,0.0850621529748018,0.0196979768563561,0.0891750356424413
D5_appendage_tilt,trim,Trim,0.25,0.2175192492465484,0.0401861376659554,0.2275342670430685
D5_appendage_tilt,trim,Trim,0.5,0.046126907025401,0.0178050747077292,0.0529571246422942
D5_appendage_tilt,trim,Trim,1.0,0.0446244393668002,0.0166049423148467,0.0661060763456754
D5_appendage_tilt,trim,Trim,2.0,0.1342577334159726,0.024232704307023,0.3434608219363624
