trajectory,objective,n,q25,median,q75
VI,p2p,501,0.8947342425167251,0.9585870087204602,0.977879728645308
VI,p2l,501,-0.18376597348809756,0.38629421698424093,0.7260618647577446
IV,p2p,2428,0.8459690311571428,0.9462324365621111,0.9765521751450288
IV,p2l,2428,0.03183189330671328,0.3768475434338102,0.6821765036766755
II,p2p,1253,0.9703926765684919,0.9914231991216584,0.9970006997346293
II,p2l,1253,0.1657793970264335,0.6881212792614839,0.9004200903276863
