trajectory,rms_mm,rms_pa_mm,actual_t_mm,fo_err_deg,fd_err_deg
VI,95.2788413863759,32.9534215102469,148.82663013139725,4.551079146051144,19.571935366896337
VI,96.16005913981311,34.63644636329622,152.12704174652154,5.697104710102335,45.725385877950956
VI,102.44503070790796,36.14217870601878,155.5163438278263,12.786272020653485,94.06805968531332
VI,110.55859887233262,41.39518675895959,157.5692560650436,26.781492209910592,13.62110359348298
VI,102.2208076013959,37.46400851759511,151.40492711490427,21.676679297314,9.94847791450065
VI,101.84403681416951,37.40568489258274,148.72802999250268,20.526852985521263,13.22046547777373
VI,106.13968891181658,37.93729554620311,152.74119589850528,9.501818877924284,13.593947968076536
VI,102.82654426209604,37.10545497074326,152.49312421602897,5.554744874709669,22.51671393877047
VI,106.30372205995346,39.39371088664124,154.40232019421464,8.221526263755567,10.948365096722826
VI,112.5621725039367,45.51100956467649,162.76387570565672,22.093490974687647,41.020841280770604
VI,116.07565550120884,50.55642896580374,163.84990616459143,38.621046577685775,20.01440804021488
VI,106.30105694494176,46.83622828497737,152.3683029101362,44.084429683571436,15.153653662301389
VI,100.38511767753177,44.57127512497368,151.08436946473967,43.99717385084023,9.118338553115544
VI,111.54453326723956,50.58104677328621,163.08384629251057,40.13209483541781,7.649619865071973
VI,118.84355532848612,52.41282292303075,168.55513728444114,34.499708348488845,17.748585624576616
VI,115.13994119311732,44.3478191140818,159.33941877436058,23.148213863025166,13.316245677005133
VI,112.37771397116776,40.333336239826025,156.15726873046648,20.283292517371525,14.458564711554832
VI,108.58582958895504,38.25704150661974,151.3464905926848,15.815366855865308,23.268984564503384
VI,106.80166090452462,36.92035516231247,146.08169726687532,10.724743698785593,66.55050584875755
VI,105.92560639202476,37.27430271565908,148.62554572919302,10.772707047835981,80.83827423926385
VI,111.2440608737924,40.951918916755176,158.3950859458633,25.9482477539466,8.65232114529448
VI,106.1807386686104,42.40312725887765,156.29876363566726,40.61840852074055,11.526019698690591
VI,103.42407093311442,38.57278140446941,149.4569197631465,28.929405141912447,13.104423965205807
VI,95.5368010981462,32.75878820261377,138.51690381793904,15.147455659564136,34.74983701222314
VI,97.35031284445446,32.270542236236174,136.66836451021706,8.968412651451766,14.016211103786405
VI,107.45099902353311,38.37335278253954,148.95619195369554,14.65074057621117,15.591021558967496
VI,109.56343970094628,41.57448845461224,153.02759628245957,18.92213867414701,20.23063279395777
VI,112.41459828454848,42.73551589285427,156.95391063526975,27.073303635514808,15.805187825556796
VI,108.11906324720852,42.06787505249789,157.30974435143804,35.06365338413955,23.399466611015217
