trajectory,median,q25,q75,n
VI,0.421019787289143,-0.1445164251534691,0.9269905298143684,501
IV,0.052198518424373605,-0.2541586549791907,0.6373530430854268,156
II,0.4977056037487792,0.09178941929778492,0.9122587702574866,428
III,0.7200132573811806,0.3485337977484293,1.0988364482581026,371
