trajectory,frame_id,scan_id,method,max_iterations,actual_iterations,termination_reason,hit_iteration_cap,hit_translation_boundary,hit_rotation_boundary,final_objective,objective_change_last_step,pose_change_last_step_translation_mm,pose_change_last_step_rotation_deg,translation_error_mm,rotation_error_deg,correspondence_switch_count,correspondence_switch_rate,posthoc,shipped_et_mm,shipped_iters
VI,0,0,Raw,40,25,tol,0,0,0,0.004028639429794489,4.282714237933971e-09,0.01793806948579071,0.003812539867717111,148.82663013139725,4.916122977551957,2276.1666666666665,0.2477595152570661,0,148.82663013139725,25
VI,0,0,Raw,80,25,tol,0,0,0,0.004028639429794489,4.282714237933971e-09,0.01793806948579071,0.003812539867717111,148.82663013139725,4.916122977551957,2276.1666666666665,0.2477595152570661,0,148.82663013139725,25
VI,0,0,Raw,160,25,tol,0,0,0,0.004028639429794489,4.282714237933971e-09,0.01793806948579071,0.003812539867717111,148.82663013139725,4.916122977551957,2276.1666666666665,0.2477595152570661,0,148.82663013139725,25
VI,0,0,Patch,40,32,tol,0,0,0,0.0038948834923475126,8.090602711657152e-09,0.045641573793108355,0.004697691634112253,106.61129452244053,5.764873846447402,1439.6451612903227,0.156704600118681,0,106.61129452244052,32
VI,0,0,Patch,80,32,tol,0,0,0,0.0038948834923475126,8.090602711657152e-09,0.045641573793108355,0.004697691634112253,106.61129452244053,5.764873846447402,1439.6451612903227,0.156704600118681,0,106.61129452244052,32
VI,0,0,Patch,160,32,tol,0,0,0,0.0038948834923475126,8.090602711657152e-09,0.045641573793108355,0.004697691634112253,106.61129452244053,5.764873846447402,1439.6451612903227,0.156704600118681,0,106.61129452244052,32
VI,13,13,Raw,40,38,tol,0,0,0,0.004878366375682544,9.914027794023783e-09,0.023608264848682687,0.006638101967003225,163.08384629251057,5.743751682491509,1467.3783783783783,0.15778262133100843,0,163.08384629251057,38
VI,13,13,Raw,80,38,tol,0,0,0,0.004878366375682544,9.914027794023783e-09,0.023608264848682687,0.006638101967003225,163.08384629251057,5.743751682491509,1467.3783783783783,0.15778262133100843,0,163.08384629251057,38
VI,13,13,Raw,160,38,tol,0,0,0,0.004878366375682544,9.914027794023783e-09,0.023608264848682687,0.006638101967003225,163.08384629251057,5.743751682491509,1467.3783783783783,0.15778262133100843,0,163.08384629251057,38
VI,13,13,Patch,40,36,tol,0,0,0,0.0047309283485843946,9.2529639427949e-09,0.039689993140477255,0.005425964025299052,125.39937352513883,5.619949643749271,1404.3142857142857,0.15100153609831024,0,125.39937352513884,36
VI,13,13,Patch,80,36,tol,0,0,0,0.0047309283485843946,9.2529639427949e-09,0.039689993140477255,0.005425964025299052,125.39937352513883,5.619949643749271,1404.3142857142857,0.15100153609831024,0,125.39937352513884,36
VI,13,13,Patch,160,36,tol,0,0,0,0.0047309283485843946,9.2529639427949e-09,0.039689993140477255,0.005425964025299052,125.39937352513883,5.619949643749271,1404.3142857142857,0.15100153609831024,0,125.39937352513884,36
VI,26,26,Raw,40,36,tol,0,0,0,0.0054528173536073105,7.309566569212167e-09,0.023190786234478098,0.004475470751598925,153.02759628245957,4.624442332102668,1578.3428571428572,0.15838864597519894,0,153.02759628245957,36
VI,26,26,Raw,80,36,tol,0,0,0,0.0054528173536073105,7.309566569212167e-09,0.023190786234478098,0.004475470751598925,153.02759628245957,4.624442332102668,1578.3428571428572,0.15838864597519894,0,153.02759628245957,36
VI,26,26,Raw,160,36,tol,0,0,0,0.0054528173536073105,7.309566569212167e-09,0.023190786234478098,0.004475470751598925,153.02759628245957,4.624442332102668,1578.3428571428572,0.15838864597519894,0,153.02759628245957,36
VI,26,26,Patch,40,24,tol,0,0,0,0.004782555568591486,7.40428074408328e-09,0.03341834933857222,0.0030978741226683295,105.92503864172004,3.9341968204733644,1846.3478260869565,0.1852832740679334,0,105.92503864172004,24
VI,26,26,Patch,80,24,tol,0,0,0,0.004782555568591486,7.40428074408328e-09,0.03341834933857222,0.0030978741226683295,105.92503864172004,3.9341968204733644,1846.3478260869565,0.1852832740679334,0,105.92503864172004,24
VI,26,26,Patch,160,24,tol,0,0,0,0.004782555568591486,7.40428074408328e-09,0.03341834933857222,0.0030978741226683295,105.92503864172004,3.9341968204733644,1846.3478260869565,0.1852832740679334,0,105.92503864172004,24
VI,38,38,Raw,40,36,tol,0,0,0,0.004464815097494309,7.97434211025072e-09,0.01044826122478046,0.005864042140856015,142.40180987590296,5.1272194922728325,1751.2571428571428,0.1687958691910499,0,142.40180987590296,36
VI,38,38,Raw,80,36,tol,0,0,0,0.004464815097494309,7.97434211025072e-09,0.01044826122478046,0.005864042140856015,142.40180987590296,5.1272194922728325,1751.2571428571428,0.1687958691910499,0,142.40180987590296,36
VI,38,38,Raw,160,36,tol,0,0,0,0.004464815097494309,7.97434211025072e-09,0.01044826122478046,0.005864042140856015,142.40180987590296,5.1272194922728325,1751.2571428571428,0.1687958691910499,0,142.40180987590296,36
VI,38,38,Patch,40,40,cap,1,0,0,0.004305562297377499,1.600128735589068e-08,0.031995700741137535,0.0067674409576728035,99.07778383683859,6.140640726981275,1286.3589743589744,0.12398640716713007,0,99.0777838368386,40
VI,38,38,Patch,80,42,tol,0,0,0,0.004305544658742377,7.133257779595725e-09,0.01887204095595156,0.0044732620624629545,99.08098679613673,6.1490351269153924,1226.0487804878048,0.11817337643255951,0,99.0777838368386,40
VI,38,38,Patch,160,42,tol,0,0,0,0.004305544658742377,7.133257779595725e-09,0.01887204095595156,0.0044732620624629545,99.08098679613673,6.1490351269153924,1226.0487804878048,0.11817337643255951,0,99.0777838368386,40
VI,51,51,Raw,40,40,cap,1,0,0,0.005162874585540968,6.194305231330827e-08,0.0924804211042372,0.011685129882524903,161.54767054974485,5.6920869335548305,1359.948717948718,0.15147568700698574,0,161.54767054974485,40
VI,51,51,Raw,80,60,tol,0,0,0,0.0051619471142992455,5.466315557318968e-09,0.01650029009402686,0.0038193296964704553,161.33948776612937,5.8722630931520845,933.5084745762712,0.10397733065006362,0,161.54767054974485,40
VI,51,51,Raw,160,60,tol,0,0,0,0.0051619471142992455,5.466315557318968e-09,0.01650029009402686,0.0038193296964704553,161.33948776612937,5.8722630931520845,933.5084745762712,0.10397733065006362,0,161.54767054974485,40
VI,51,51,Patch,40,40,cap,1,0,0,0.005025667741238904,3.4259853952910146e-08,0.05024998292690399,0.009162894547278921,124.6379027901713,6.102829528002945,1268.3589743589744,0.14127411164613216,0,124.6379027901713,40
VI,51,51,Patch,80,50,tol,0,0,0,0.005025526993538882,6.118333980079105e-09,0.03044309874141934,0.005639475919432755,124.39375997392776,6.149336110149816,1019.5102040816327,0.11355649410577329,0,124.6379027901713,40
VI,51,51,Patch,160,50,tol,0,0,0,0.005025526993538882,6.118333980079105e-09,0.03044309874141934,0.005639475919432755,124.39375997392776,6.149336110149816,1019.5102040816327,0.11355649410577329,0,124.6379027901713,40
VI,64,64,Raw,40,25,tol,0,0,0,0.005140625044487101,8.41913855732096e-09,0.012494649896842047,0.005506733590384114,148.0058691357103,4.233671377329607,2081.4166666666665,0.2219467548162366,0,148.0058691357103,25
