traj,subset,kind,form,source,block_L,point_median,lo,hi
ii,in_support(primary),p2p,ls,real,20,66.14920168537466,60.98041217740541,88.77047412849015
ii,in_support(primary),p2p,ls,self,5,8.408934401036615e-14,7.594227440705139e-14,8.818959956348862e-14
ii,in_support(primary),p2p,ls,self,10,8.408934401036615e-14,7.616442587603474e-14,8.817657029775188e-14
ii,in_support(primary),p2p,ls,self,20,8.408934401036615e-14,7.531547953966617e-14,8.84879027333644e-14
ii,in_support(primary),p2p,huber,real,5,50.896762880148486,46.817764355771004,53.35886566777078
ii,in_support(primary),p2p,huber,real,10,50.896762880148486,45.190529545748156,55.61066493986869
ii,in_support(primary),p2p,huber,real,20,50.896762880148486,43.52395124805832,56.76860605666386
ii,in_support(primary),p2p,huber,self,5,8.408934401036615e-14,7.594227440705139e-14,8.818959956348862e-14
ii,in_support(primary),p2p,huber,self,10,8.408934401036615e-14,7.616442587603474e-14,8.817657029775188e-14
ii,in_support(primary),p2p,huber,self,20,8.408934401036615e-14,7.531547953966617e-14,8.84879027333644e-14
ii,in_support(primary),p2p,trim,real,5,47.31514450153497,44.76155613398464,49.412539975679366
ii,in_support(primary),p2p,trim,real,10,47.31514450153497,42.61499655761307,50.08507196110014
ii,in_support(primary),p2p,trim,real,20,47.31514450153497,39.797271450425995,50.50454502004948
ii,in_support(primary),p2p,trim,self,5,7.235299269804575e-14,6.874081183117826e-14,8.047789606088499e-14
ii,in_support(primary),p2p,trim,self,10,7.235299269804575e-14,6.86501037517144e-14,8.01885856566565e-14
ii,in_support(primary),p2p,trim,self,20,7.235299269804575e-14,6.918399321701679e-14,8.018469938875602e-14
ii,in_support(primary),p2l,ls,real,5,70.52602286552613,66.96607116108798,87.37264910010961
ii,in_support(primary),p2l,ls,real,10,70.52602286552613,66.1523327145981,89.01676269094544
ii,in_support(primary),p2l,ls,real,20,70.52602286552613,63.82456717821041,91.03014898937242
ii,in_support(primary),p2l,ls,self,5,0.0,0.0,0.0
ii,in_support(primary),p2l,ls,self,10,0.0,0.0,0.0
ii,in_support(primary),p2l,ls,self,20,0.0,0.0,0.0
ii,in_support(primary),p2l,huber,real,5,52.52628800811347,48.41124308917565,55.348466188722156
ii,in_support(primary),p2l,huber,real,10,52.52628800811347,46.706857197937154,57.81220159818731
ii,in_support(primary),p2l,huber,real,20,52.52628800811347,45.158106091418084,59.04943976409518
ii,in_support(primary),p2l,huber,self,5,0.0,0.0,0.0
ii,in_support(primary),p2l,huber,self,10,0.0,0.0,0.0
ii,in_support(primary),p2l,huber,self,20,0.0,0.0,0.0
ii,in_support(primary),p2l,trim,real,5,48.00419788687391,44.69659684099984,50.21220139509404
ii,in_support(primary),p2l,trim,real,10,48.00419788687391,43.59962235484288,50.7169669051283
ii,in_support(primary),p2l,trim,real,20,48.00419788687391,40.63131871223306,51.08329197692141
ii,in_support(primary),p2l,trim,self,5,0.0,0.0,0.0
ii,in_support(primary),p2l,trim,self,10,0.0,0.0,0.0
ii,in_support(primary),p2l,trim,self,20,0.0,0.0,0.0
v,all(out-of-support extrapolation),p2p,ls,real,5,173.7605206910253,172.84859584356565,174.6125468830575
v,all(out-of-support extrapolation),p2p,ls,real,10,173.7605206910253,172.69197016226138,174.76394103334167
v,all(out-of-support extrapolation),p2p,ls,real,20,173.7605206910253,172.35155245082154,175.12722912398797
v,all(out-of-support extrapolation),p2p,ls,self,5,8.589704181774049e-14,8.426071749755353e-14,8.835267133724988e-14
v,all(out-of-support extrapolation),p2p,ls,self,10,8.589704181774049e-14,8.428150035860173e-14,8.83517674177745e-14
v,all(out-of-support extrapolation),p2p,ls,self,20,8.589704181774049e-14,8.428124057283863e-14,8.833478734743948e-14
v,all(out-of-support extrapolation),p2p,huber,real,5,169.46429942246235,168.45213831363623,170.45839243236392
v,all(out-of-support extrapolation),p2p,huber,real,10,169.46429942246235,168.05595111151246,170.9232027023744
v,all(out-of-support extrapolation),p2p,huber,real,20,169.46429942246235,167.64155061887445,171.36514972062912
v,all(out-of-support extrapolation),p2p,huber,self,5,8.589704181774049e-14,8.426071749755353e-14,8.835267133724988e-14
v,all(out-of-support extrapolation),p2p,huber,self,10,8.589704181774049e-14,8.428150035860173e-14,8.83517674177745e-14
v,all(out-of-support extrapolation),p2p,huber,self,20,8.589704181774049e-14,8.428124057283863e-14,8.833478734743948e-14
v,all(out-of-support extrapolation),p2p,trim,real,5,169.768740212116,168.69213189295147,171.61575403882915
v,all(out-of-support extrapolation),p2p,trim,real,10,169.768740212116,168.32514426047703,172.30227484598475
v,all(out-of-support extrapolation),p2p,trim,real,20,169.768740212116,167.64849744881306,173.89295806598733
v,all(out-of-support extrapolation),p2p,trim,self,5,7.28332083113685e-14,7.083949942308366e-14,7.563259026651426e-14
v,all(out-of-support extrapolation),p2p,trim,self,10,7.28332083113685e-14,7.078407975829775e-14,7.562528543037214e-14
v,all(out-of-support extrapolation),p2p,trim,self,20,7.28332083113685e-14,7.059346636463016e-14,7.567724429982001e-14
v,all(out-of-support extrapolation),p2l,ls,real,5,169.21063758422395,167.98253761171742,170.2260966179912
v,all(out-of-support extrapolation),p2l,ls,real,10,169.21063758422395,167.77280252357113,170.60968686960905
v,all(out-of-support extrapolation),p2l,ls,real,20,169.21063758422395,167.32321716780862,170.84589850309078
v,all(out-of-support extrapolation),p2l,ls,self,5,0.0,0.0,0.0
v,all(out-of-support extrapolation),p2l,ls,self,10,0.0,0.0,0.0
v,all(out-of-support extrapolation),p2l,ls,self,20,0.0,0.0,0.0
v,all(out-of-support extrapolation),p2l,huber,real,5,169.48463679676982,168.50921734374452,170.4803582450528
v,all(out-of-support extrapolation),p2l,huber,real,10,169.48463679676982,168.27215125609573,170.78625725862418
v,all(out-of-support extrapolation),p2l,huber,real,20,169.48463679676982,167.87640333923844,171.27388845856115
v,all(out-of-support extrapolation),p2l,huber,self,5,0.0,0.0,0.0
v,all(out-of-support extrapolation),p2l,huber,self,10,0.0,0.0,0.0
v,all(out-of-support extrapolation),p2l,huber,self,20,0.0,0.0,0.0
v,all(out-of-support extrapolation),p2l,trim,real,5,170.29681697410007,169.35251409751677,171.68424584799084
v,all(out-of-support extrapolation),p2l,trim,real,10,170.29681697410007,169.03755337028645,172.67273167815628
v,all(out-of-support extrapolation),p2l,trim,real,20,170.29681697410007,168.53204570931135,174.01600532597485
v,all(out-of-support extrapolation),p2l,trim,self,5,0.0,0.0,0.0
v,all(out-of-support extrapolation),p2l,trim,self,10,0.0,0.0,0.0
v,all(out-of-support extrapolation),p2l,trim,self,20,0.0,0.0,0.0
