traj,subset,kind,form,block,n,et_med,eR_med,g_gt_med
v,all(out-of-support extrapolation),p2l,ls,37,18,175.11213641592096,2.664434482554974,0.06764331524088271
v,all(out-of-support extrapolation),p2l,huber,0,50,154.09927113479858,2.825122550728575,0.0540427668505845
v,all(out-of-support extrapolation),p2l,huber,1,50,157.0515934099992,2.6324957654272527,0.06355830455490605
v,all(out-of-support extrapolation),p2l,huber,2,50,157.80083680155872,2.244904969667018,0.04507893339302135
v,all(out-of-support extrapolation),p2l,huber,3,50,160.24246042033673,1.5713555065592795,0.047236697373025
v,all(out-of-support extrapolation),p2l,huber,4,50,160.62359173722453,1.9399767454496673,0.0457098407222678
v,all(out-of-support extrapolation),p2l,huber,5,50,160.2291415018289,2.0198379471307333,0.0449634775113365
v,all(out-of-support extrapolation),p2l,huber,6,50,161.59022846448602,1.9533388912347067,0.04469776322200915
v,all(out-of-support extrapolation),p2l,huber,7,50,161.61178102878193,1.8240654505749692,0.0403852589683975
v,all(out-of-support extrapolation),p2l,huber,8,50,160.90031597985097,1.654857886052472,0.03587380231315765
v,all(out-of-support extrapolation),p2l,huber,9,50,165.33917452853535,1.7112504817559362,0.032582926258635556
v,all(out-of-support extrapolation),p2l,huber,10,50,162.74960033309043,2.229528878129564,0.02726090482509175
v,all(out-of-support extrapolation),p2l,huber,11,50,164.27631995746302,2.3660073332023472,0.02313391696600385
v,all(out-of-support extrapolation),p2l,huber,12,50,165.96446023520446,2.360186105373676,0.0223072849452806
v,all(out-of-support extrapolation),p2l,huber,13,50,166.4671196949717,1.9750792959764338,0.021229794483492548
v,all(out-of-support extrapolation),p2l,huber,14,50,169.3197557939958,1.972560543278591,0.02095532794697445
v,all(out-of-support extrapolation),p2l,huber,15,50,168.41934548858606,1.9966269026047971,0.0213784679712473
v,all(out-of-support extrapolation),p2l,huber,16,50,170.4823994984821,1.6875745875001904,0.02080196002219815
v,all(out-of-support extrapolation),p2l,huber,17,50,171.72775521441264,1.7097204627576272,0.02015203100505615
v,all(out-of-support extrapolation),p2l,huber,18,50,168.19901596200043,2.1330298025157837,0.0216652346352308
v,all(out-of-support extrapolation),p2l,huber,19,50,167.78108950407545,1.5948492713853382,0.024133738291965898
v,all(out-of-support extrapolation),p2l,huber,20,50,165.8890287971534,0.9473513583232914,0.01981395010445515
v,all(out-of-support extrapolation),p2l,huber,21,50,169.79026068145674,1.478940976458235,0.02033749027711205
v,all(out-of-support extrapolation),p2l,huber,22,50,171.00376646714858,1.60867135834151,0.0221793948642434
v,all(out-of-support extrapolation),p2l,huber,23,50,171.05806123474366,0.9717685412611655,0.0228205886330861
v,all(out-of-support extrapolation),p2l,huber,24,50,171.86435085830482,1.2280781074113574,0.027446692039820753
v,all(out-of-support extrapolation),p2l,huber,25,50,172.30916690947478,1.514543636867769,0.02872260624569405
v,all(out-of-support extrapolation),p2l,huber,26,50,171.2761047305341,0.8858016016361187,0.02993941674736245
v,all(out-of-support extrapolation),p2l,huber,27,50,174.01175641988013,1.043672429998666,0.031085094355345053
v,all(out-of-support extrapolation),p2l,huber,28,50,173.0947265728462,1.5029272419922304,0.0276622141947218
v,all(out-of-support extrapolation),p2l,huber,29,50,176.11768464938535,0.9546580888578438,0.02680279164389395
v,all(out-of-support extrapolation),p2l,huber,30,50,178.24967355054474,0.6976772392192524,0.02737373709959345
v,all(out-of-support extrapolation),p2l,huber,31,50,179.54169396778383,1.651308707808311,0.026782172098236648
v,all(out-of-support extrapolation),p2l,huber,32,50,182.3368335611479,1.0915742725354516,0.0279955182441042
v,all(out-of-support extrapolation),p2l,huber,33,50,184.8470591830153,1.0245065886191052,0.02941037780211525
v,all(out-of-support extrapolation),p2l,huber,34,50,184.4860000107893,1.85496580426517,0.02915689206015945
v,all(out-of-support extrapolation),p2l,huber,35,50,187.3290778097202,1.7592397817933398,0.03086635562428405
v,all(out-of-support extrapolation),p2l,huber,36,50,186.8101862942527,1.8442406167745713,0.03034699989182485
v,all(out-of-support extrapolation),p2l,huber,37,18,186.57813852539078,2.4901351615552567,0.0308435276907358
v,all(out-of-support extrapolation),p2l,trim,0,50,157.3599402315291,2.8300649809549387,0.08755948846707405
v,all(out-of-support extrapolation),p2l,trim,1,50,160.2133331279498,2.626153660684338,0.09452063341553825
v,all(out-of-support extrapolation),p2l,trim,2,50,161.84421247589827,2.186431289730406,0.06878416470254026
v,all(out-of-support extrapolation),p2l,trim,3,50,163.44618833173587,1.4845126648842426,0.0725114248841167
v,all(out-of-support extrapolation),p2l,trim,4,50,163.67627516475324,1.868380640461341,0.06808082436557256
v,all(out-of-support extrapolation),p2l,trim,5,50,163.15433881915442,1.9843716894903936,0.06351572782541626
v,all(out-of-support extrapolation),p2l,trim,6,50,163.89823464488978,1.9373258419661232,0.06450857475504655
v,all(out-of-support extrapolation),p2l,trim,7,50,163.53568595414964,1.7738851213237878,0.05592666854473295
v,all(out-of-support extrapolation),p2l,trim,8,50,163.08173176536252,1.5771034980405294,0.05044683302305615
v,all(out-of-support extrapolation),p2l,trim,9,50,167.7057414378586,1.650128676021672,0.046365410161533546
v,all(out-of-support extrapolation),p2l,trim,10,50,164.57431289085827,2.0544360829733352,0.041136413609172695
v,all(out-of-support extrapolation),p2l,trim,11,50,164.2153226833904,2.001812573402227,0.027986333165815398
v,all(out-of-support extrapolation),p2l,trim,12,50,163.5831325935156,1.9806341762810882,0.02949394046721755
v,all(out-of-support extrapolation),p2l,trim,13,50,164.7909198219321,1.6318511703101901,0.027463526803271902
v,all(out-of-support extrapolation),p2l,trim,14,50,166.37073423130778,1.6352896175648692,0.0282199078357635
v,all(out-of-support extrapolation),p2l,trim,15,50,166.98302366417144,1.619879091374158,0.02619464652067305
v,all(out-of-support extrapolation),p2l,trim,16,50,168.75672256571477,1.3318237196093825,0.027172567844032103
v,all(out-of-support extrapolation),p2l,trim,17,50,168.75034366542758,0.8654288001560515,0.022927460406800798
v,all(out-of-support extrapolation),p2l,trim,18,50,168.43910195274432,2.197710704688285,0.03556224341780695
v,all(out-of-support extrapolation),p2l,trim,19,50,169.6902613138617,1.6278559914078894,0.039716047799703696
v,all(out-of-support extrapolation),p2l,trim,20,50,169.81617604924074,0.8396221763705914,0.034781895970110596
v,all(out-of-support extrapolation),p2l,trim,21,50,173.79538093403784,1.34894978834444,0.0370567147887412
v,all(out-of-support extrapolation),p2l,trim,22,50,176.77077475578787,1.6764196834437077,0.037340239915325354
v,all(out-of-support extrapolation),p2l,trim,23,50,177.72011189725993,0.7850923745137652,0.0349682686170918
v,all(out-of-support extrapolation),p2l,trim,24,50,174.7076376433014,1.1927339981059826,0.047883498391304
v,all(out-of-support extrapolation),p2l,trim,25,50,176.67296623293925,1.6098598076987685,0.0507595017749098
v,all(out-of-support extrapolation),p2l,trim,26,50,174.57213933218225,0.8557496466390879,0.0518571810224865
v,all(out-of-support extrapolation),p2l,trim,27,50,176.80402496655452,1.021198378053606,0.054382203373790045
v,all(out-of-support extrapolation),p2l,trim,28,50,176.71605048270138,1.4342192623509145,0.047025713649165954
v,all(out-of-support extrapolation),p2l,trim,29,50,177.98261510402767,0.9517651226505475,0.0447301913072091
v,all(out-of-support extrapolation),p2l,trim,30,50,179.81582651575053,0.599620519620812,0.04680863657210945
v,all(out-of-support extrapolation),p2l,trim,31,50,182.21450551314751,1.629603027103846,0.045498843714392
v,all(out-of-support extrapolation),p2l,trim,32,50,184.43765124538947,0.968717601387311,0.0476621032047986
v,all(out-of-support extrapolation),p2l,trim,33,50,188.2455288836478,0.8814867681265759,0.04501417054939495
v,all(out-of-support extrapolation),p2l,trim,34,50,190.3074130765263,1.9138601424367918,0.0457220079477263
v,all(out-of-support extrapolation),p2l,trim,35,50,194.61392324290085,1.8884405094204555,0.0504905548741182
v,all(out-of-support extrapolation),p2l,trim,36,50,195.57743457541162,1.9242183811127043,0.0464437912223514
v,all(out-of-support extrapolation),p2l,trim,37,18,195.59406011575584,2.482378533116167,0.048286610730779306
