comparison,trajectory,n,dt_med,dr_med,Tbetter_Rbetter_frac,Tbetter_Rworse_frac,Tworse_Rbetter_frac,Tworse_Rworse_frac
Patch_vs_Raw,III,371,-28.929768382518283,0.1939536888455855,0.40431266846361186,0.5902964959568733,0.0,0.005390835579514825
Patch_vs_Huber,III,371,-14.107351417414186,0.8542334176585904,0.03504043126684636,0.6981132075471698,0.029649595687331536,0.2371967654986523
Patch_vs_Trim,III,371,-14.167072958634272,0.8879857463258549,0.0889487870619946,0.5876010781671159,0.029649595687331536,0.29380053908355797
PatchHuber_vs_Raw,III,371,-38.71697978559933,0.0860918357297189,0.4582210242587601,0.5417789757412399,0.0,0.0
