trajectory,patch_translation_med_across_seeds_mean,patch_translation_med_across_seeds_median,patch_translation_med_range,paired_translation_benefit_min,paired_translation_benefit_max,paired_benefit_positive_in_all_5,patch_rotation_med_range
VI,114.73084133298141,114.26653393555567,"(np.float64(112.03152972079374), np.float64(117.5060187225603))",43.160998265174385,48.084991199791176,True,"(np.float64(4.225083027997321), np.float64(4.69199161864585))"
IV,123.91326510255001,125.09328752290946,"(np.float64(120.61004667351835), np.float64(126.26002467918383))",33.402952435417106,36.50913227830643,True,"(np.float64(3.876578508371515), np.float64(4.20032067594841))"
II,44.21621205795815,45.03024606889525,"(np.float64(41.77723740078632), np.float64(45.88227295936485))",19.1030687120173,27.696292250299,True,"(np.float64(1.2694027224561912), np.float64(1.5561556539787993))"
III,33.892081788453126,33.59496902456785,"(np.float64(28.604885795869585), np.float64(41.29782690845897))",26.575041187687024,34.80402011975811,True,"(np.float64(1.9193587407025414), np.float64(2.4899837343654094))"
