dtype,loss,dose,median_across_geometry_medians,geometry_min,geometry_max,field
D1_appendage_disp,ls,0.0,0.0196690090043641,0.0182692499954178,0.0425533472973352,et_med
D1_appendage_disp,ls,2.0,0.9053625984659606,0.2523424003479063,1.0762385216507089,et_med
D1_appendage_disp,ls,5.0,2.2974478032050936,0.5946338440048657,2.7706031610308224,et_med
D1_appendage_disp,ls,10.0,8.928474981074032,0.9143519720513624,9.779203418296412,et_med
D1_appendage_disp,ls,25.0,17.564955333848218,2.3799774523509365,18.66100615125641,et_med
D1_appendage_disp,ls,50.0,39.16299536763985,11.779784794156786,39.46576946794377,et_med
D1_appendage_disp,ls,100.0,80.72999486975826,21.052032505640817,80.76725997516454,et_med
D1_appendage_disp,huber,0.0,0.0196690090043641,0.0182692499954178,0.0425533472973352,et_med
D1_appendage_disp,huber,2.0,0.9053625984659606,0.2523424003479063,1.0762385216507089,et_med
D1_appendage_disp,huber,5.0,2.2974478032050936,0.5946338440048657,2.7706031610308224,et_med
D1_appendage_disp,huber,10.0,8.928474981073958,0.9143519720513624,9.77920975758756,et_med
D1_appendage_disp,huber,25.0,21.64905381994984,1.903346431213358,22.8385254390852,et_med
D1_appendage_disp,huber,50.0,42.75337415090006,2.094643126018332,43.70996735258336,et_med
D1_appendage_disp,huber,100.0,94.81763026330827,2.4181204173256665,95.4716645738304,et_med
D1_appendage_disp,trim,0.0,0.0248583562376704,0.0246069523905141,0.0516419310549033,et_med
D1_appendage_disp,trim,2.0,0.8610099900838384,0.2060069543095864,1.0529318352828605,et_med
D1_appendage_disp,trim,5.0,1.8716948058614888,0.203609780326086,2.680944197737152,et_med
D1_appendage_disp,trim,10.0,2.852835151751916,0.0816951933933638,11.053210860919837,et_med
D1_appendage_disp,trim,25.0,25.346936299514837,0.0670991623744939,25.44910745740629,et_med
D1_appendage_disp,trim,50.0,50.68385125231589,0.0683655617904635,51.78996208769745,et_med
D1_appendage_disp,trim,100.0,97.79515190170906,0.0573671725213596,99.2467706910322,et_med
D5_appendage_tilt,ls,0.0,0.0013796604053022,0.0010618346488038,0.0059676805702401,eR_med
D5_appendage_tilt,ls,0.1,0.0858277109064742,0.0215360679770217,0.089912370560105,eR_med
D5_appendage_tilt,ls,0.25,0.2133811070932154,0.0431217384656643,0.2245715445887537,eR_med
D5_appendage_tilt,ls,0.5,0.0757490753232124,0.0322464552191613,0.1235226641775903,eR_med
D5_appendage_tilt,ls,1.0,0.4840354838387842,0.0401658692549199,0.6025576193978175,eR_med
D5_appendage_tilt,ls,2.0,1.2749627795084146,0.0843155361930809,1.4960844839000798,eR_med
D5_appendage_tilt,huber,0.0,0.0013796604053022,0.0010618346488038,0.0059676805702401,eR_med
D5_appendage_tilt,huber,0.1,0.0858277109064742,0.0215360679770217,0.089912370560105,eR_med
D5_appendage_tilt,huber,0.25,0.2133811070932154,0.0431217384656643,0.2245715445887537,eR_med
D5_appendage_tilt,huber,0.5,0.0757490753232124,0.0322292974420314,0.1235139225341671,eR_med
D5_appendage_tilt,huber,1.0,0.4839564352734513,0.0401658692549199,0.6026310666173933,eR_med
D5_appendage_tilt,huber,2.0,1.2760306531090504,0.0841125416546861,1.4960508738262892,eR_med
D5_appendage_tilt,trim,0.0,0.0020617128058403,0.0012427369226721,0.0085985260044068,eR_med
D5_appendage_tilt,trim,0.1,0.0850621529748018,0.0196979768563561,0.0891750356424413,eR_med
D5_appendage_tilt,trim,0.25,0.2175192492465484,0.0401861376659554,0.2275342670430685,eR_med
D5_appendage_tilt,trim,0.5,0.046126907025401,0.0178050747077292,0.0529571246422942,eR_med
D5_appendage_tilt,trim,1.0,0.0446244393668002,0.0166049423148467,0.0661060763456754,eR_med
D5_appendage_tilt,trim,2.0,0.1342577334159726,0.024232704307023,0.3434608219363624,eR_med
