trajectory,order,scan,arm,et_mm,eR_deg,iters,on_bound,n_points,wmean,sumw,ess_w,keep_ratio,n_retain,block,in_support
VI,9,9,PatchHuber,111.2503723172546,6.156950561617185,40,0,9503,0.8267958624342288,7857.041080712475,8695.54467378722,,9503,0,True
VI,9,9,PatchTrim,93.30843084147065,6.06522437445064,40,0,9503,0.7999579080290434,7602.0,7602.0,0.7999579080290434,7602,0,True
VI,9,9,Full,78.40855767093515,5.161679843502779,40,0,9503,1.0,9503.0,9503.0,1.0,9503,0,True
VI,10,10,Raw,163.84990616459143,6.0695321932330515,40,0,10394,1.0,10394.0,10394.0,1.0,10394,0,True
VI,10,10,Huber,148.02399208372285,5.967494807307152,40,0,10394,0.8147397997541214,8468.405478644338,9383.066108529367,,10394,0,True
VI,10,10,Trim,133.1014560616158,5.403945545452808,40,0,10394,0.7999807581296902,8315.0,8315.0,0.7999807581296902,8315,0,True
VI,10,10,Patch,121.5555372518435,6.627160729402519,40,0,10394,1.0,10394.0,10394.0,1.0,10394,0,True
VI,10,10,PatchHuber,111.98789717207579,6.410709607193411,40,0,10394,0.8263584114984014,8589.169329114384,9521.053162002467,,10394,0,True
VI,10,10,PatchTrim,93.00248506501836,6.078024355191317,40,0,10394,0.7999807581296902,8315.0,8315.0,0.7999807581296902,8315,0,True
VI,10,10,Full,83.38415687573034,5.588954617226756,40,0,10394,1.0,10394.0,10394.0,1.0,10394,0,True
VI,11,11,Raw,152.3683029101362,4.315373101705014,30,0,11500,1.0,11500.0,11500.0,1.0,11500,0,True
VI,11,11,Huber,141.01823988058243,4.460226305170366,40,0,11500,0.8225834549187772,9459.709731565938,10462.124634792712,,11500,0,True
VI,11,11,Trim,129.82031119807976,4.081472539700982,38,0,11500,0.8,9200.0,9200.0,0.8,9200,0,True
VI,11,11,Patch,114.80487312469,4.718637570827648,34,0,11500,1.0,11500.0,11500.0,1.0,11500,0,True
VI,11,11,PatchHuber,104.6031828743851,4.644300437214063,40,0,11500,0.8275064223057642,9516.323856516288,10553.86077385119,,11500,0,True
VI,11,11,PatchTrim,91.77819541026739,4.649404507767031,37,0,11500,0.8,9200.0,9200.0,0.8,9200,0,True
VI,11,11,Full,78.27570995247846,4.5396428031603175,40,0,11500,1.0,11500.0,11500.0,1.0,11500,0,True
VI,12,12,Raw,151.08436946473967,5.506534194407443,40,0,10142,1.0,10142.0,10142.0,1.0,10142,0,True
VI,12,12,Huber,141.63402051816647,5.54878632142511,40,0,10142,0.8234862106811953,8351.797148728683,9254.3280937284,,10142,0,True
VI,12,12,Trim,130.6516691836889,5.135052195374278,40,0,10142,0.800039439952672,8114.0,8114.0,0.800039439952672,8114,0,True
