trajectory,n_scans,N_IN_SUPPORT,in_support_fraction,n_support_blocks,support_block_max_len,support_block_median_len,temporal_deciles_with_support,n_distinct_VI_orientation_blocks_hit,range_min_all,range_max_all,range_median_all,range_min_ins,range_max_ins,range_median_ins,vi_range_overlay_frac_all,dmin_p50,nearest_view_angle_deg_median,nearest_scaled_range_gap_median,tau_support
Dataset_I,2483,313,0.12605718888441403,1,313,313.0,2,2,2.848986748535522,16.823485263164315,6.559448610098719,14.80864100293923,14.89120294847351,14.83081790180687,0.14941602899718082,1.1682162008237575,33.71578503001431,-1.0594831300534844,0.4403305559611483
Dataset_II,1253,428,0.3415802075019952,3,273,100.0,5,6,3.8495060354358457,19.776018153397747,9.115113487829372,8.544574656591283,15.690988584156264,10.731475436910301,0.4118116520351157,0.7817626515292581,17.63429433177954,-0.13964458454363785,0.4403305559611483
Dataset_III,1302,371,0.2849462365591398,1,371,371.0,4,6,3.8370270738208228,19.775337056133836,6.8725871188998795,8.24967057950401,15.464116869402245,11.509149184879652,0.2411674347158218,1.5119385160842418,18.216837233036568,-1.1396491378338947,0.4403305559611483
