traj,obj,support,n,median_cos,ci_lo,ci_hi,frac_pos,perm_p,mag_spearman
iv,p2p,IN,156,0.8406880432567763,0.8114484012689046,0.8661619482032956,1.0,0.0004997501249375312,-0.1547185914558012
iv,p2p,OUT,2272,0.14460038121673988,0.05467702750404881,0.21527393121702243,0.5779049295774648,0.3333333333333333,-0.2675561707447656
iv,p2l,IN,156,0.9821638080240251,0.9753119128877915,0.9870262078436773,1.0,0.0004997501249375312,-0.05127783660760853
iv,p2l,OUT,2272,0.04836424549967949,-0.060278407305674846,0.13180753030379438,0.5215669014084507,0.1374312843578211,-0.09031823042190108
v,p2p,OUT,1868,0.901712772583225,0.8868363822903511,0.9135712395265991,0.9127408993576017,0.0004997501249375312,-0.49861500236216144
v,p2l,OUT,1868,0.8910773178969336,0.876082072821823,0.9022948312408342,0.9250535331905781,0.0004997501249375312,-0.22104530859718208
