traj,n_used,n_in_support,support_set,alpha_VI,quad_slope,quad_mag_spearman,quad_rmse_mm,profile_spearman,influence_spearman,within_scan_resid_grad_rho,influence_n_subset
iv,156,156,IN_SUPPORT,0.019993613253598837,11.709236407444592,-0.1487095193690632,156.45151547316902,0.42956521739130427,0.04608695652173912,0.26611448334274423,32
v,1868,0,ALL_OUT_OF_SUPPORT,0.019993613253598837,0.01859880977319144,0.18325324066619014,285.744602062703,0.7069565217391304,0.4417391304347826,0.12601371217776214,374
