traj,n,et_T0,et_oracle,et_est_gtstart,et_est_warmstart,d_oracle_to_estGT,d_oracle_to_estWARM,retention_gtstart,retention_warmstart,eR_T0,eR_oracle,eR_est_warm,view_angle_deg,range_gap_mm,corr_dir_cos,disp_dir_cos,frac_est_better_than_T0
vi,501,161.4078916359028,76.85698936670394,76.70292118121048,77.12868623807813,0.012407064449277527,0.2788203645047673,0.9998485388688284,0.9967046751028443,4.509032326167583,2.880859773738778,2.8515056875378404,0.7432411663394496,57.26208471369887,0.9999217934588874,0.9999184204606792,1.0
iv,156,160.423862077838,82.8979713044887,84.01840338822709,86.62151541442466,0.048473296745925154,1.4432243078294178,0.9993250759832042,0.9785612934164227,4.006055547406119,2.464449234694507,2.270207543642389,0.5683618346371542,61.48375727352651,0.9999949806404103,0.9999965376935063,0.9935897435897436
ii,428,66.14920168537466,68.85852950492091,68.74959873481654,70.01239141706756,0.02683305734879582,0.5139623833503109,1.0000854504640584,0.9903772865849018,1.7742670258913975,2.247904367315651,2.2871947603811527,0.2670838290834043,44.42611927950235,0.9999646690798027,0.999939987464951,0.4883177570093458
v,1868,173.7605206910253,118.45232561236567,119.55414930174956,119.44729126088279,0.014727071847573825,0.6856646748563548,0.999734817274829,0.9876200281595733,3.026001479697481,3.206380941727974,3.214980003170409,2.2826652014999884,20.33465434720938,0.9999998157256976,0.9999993792110295,0.9983940042826552
