traj,scan,ptype,magnitude,axis,et_mm,eR_deg,dir_cos
vi,3,translation,25.0,"[0.0, 0.0, 1.0]",78.91584511566255,2.934716500726136,0.9999999859798325
vi,3,translation,50.0,"[0.0, 0.0, 1.0]",78.91446307434995,2.9341747284722004,0.9999999828955605
vi,3,translation,100.0,"[0.0, 0.0, 1.0]",78.9082072274524,2.9310610120083602,0.9999999794999217
vi,3,rotation,0.25,"[0.0, 0.0, 1.0]",78.91559633838786,2.932166065760771,0.9999999999998395
vi,3,rotation,0.5,"[0.0, 0.0, 1.0]",78.91559633838786,2.932166065760771,0.9999999999998395
vi,3,rotation,1.0,"[0.0, 0.0, 1.0]",78.91559633838722,2.9321660657607773,0.9999999999998395
vi,3,rotation,2.0,"[0.0, 0.0, 1.0]",78.91559633838821,2.9321660657608017,0.9999999999998395
vi,3,combined,25.0,"[0.0, 0.0, 1.0]",78.91584511565985,2.9347165007261355,0.9999999859798325
vi,3,combined,50.0,"[0.0, 0.0, 1.0]",78.91446307434863,2.934174728472223,0.9999999828955605
vi,3,combined,100.0,"[0.0, 0.0, 1.0]",78.90820722745161,2.931061012008365,0.9999999794999217
vi,6,oracle,0.0,all,74.9294274368768,3.890521552924663,1.0
vi,6,translation,10.0,"[1.0, 0.0, 0.0]",74.92970520064586,3.89059704283944,0.9999999986593898
vi,6,translation,25.0,"[1.0, 0.0, 0.0]",74.93073012513071,3.8908802413176296,0.9999999900154442
vi,6,translation,50.0,"[1.0, 0.0, 0.0]",74.9321319471611,3.8893940261031457,0.9999998530262179
vi,6,translation,100.0,"[1.0, 0.0, 0.0]",74.94345860171694,3.88881401192363,0.9999997202502868
vi,6,rotation,0.25,"[1.0, 0.0, 0.0]",74.92942743687772,3.8905215529246653,0.9999999999998219
vi,6,rotation,0.5,"[1.0, 0.0, 0.0]",74.9294274368768,3.890521552924663,0.9999999999998219
vi,6,rotation,1.0,"[1.0, 0.0, 0.0]",74.92942743687772,3.8905215529246653,0.9999999999998219
vi,6,rotation,2.0,"[1.0, 0.0, 0.0]",74.9294274368768,3.890521552924663,0.9999999999998219
vi,6,combined,25.0,"[1.0, 0.0, 0.0]",74.93073012513071,3.8908802413176296,0.9999999900154442
vi,6,combined,50.0,"[1.0, 0.0, 0.0]",74.93213194716084,3.889394026103144,0.9999998530262176
vi,6,combined,100.0,"[1.0, 0.0, 0.0]",74.94345860171694,3.88881401192363,0.9999997202502868
vi,6,translation,10.0,"[0.0, 1.0, 0.0]",74.93073116502111,3.890612796704924,0.9999999300821313
vi,6,translation,25.0,"[0.0, 1.0, 0.0]",74.94205731498597,3.8932282888991754,0.9999996419517067
vi,6,translation,50.0,"[0.0, 1.0, 0.0]",74.96477778988178,3.894259513645672,0.9999984533293642
vi,6,translation,100.0,"[0.0, 1.0, 0.0]",74.98865621564863,3.897462303066279,0.9999959572498484
vi,6,rotation,0.25,"[0.0, 1.0, 0.0]",74.92942743687745,3.8905215529246884,0.9999999999998217
vi,6,rotation,0.5,"[0.0, 1.0, 0.0]",74.92942743687766,3.890521552924666,0.9999999999998217
vi,6,rotation,1.0,"[0.0, 1.0, 0.0]",74.92942743687772,3.890521552924678,0.9999999999998219
vi,6,rotation,2.0,"[0.0, 1.0, 0.0]",74.9294274368768,3.890521552924663,0.9999999999998219
vi,6,combined,25.0,"[0.0, 1.0, 0.0]",74.94205731498563,3.8932282888991767,0.9999996419517067
vi,6,combined,50.0,"[0.0, 1.0, 0.0]",74.96477778988091,3.8942595136456624,0.9999984533293642
vi,6,combined,100.0,"[0.0, 1.0, 0.0]",74.98865621564863,3.897462303066279,0.9999959572498484
vi,6,translation,10.0,"[0.0, 0.0, 1.0]",74.9289797644132,3.8907074592108573,0.9999999970268754
vi,6,translation,25.0,"[0.0, 0.0, 1.0]",74.92850460460025,3.8908480299034776,0.9999999976392235
vi,6,translation,50.0,"[0.0, 0.0, 1.0]",74.92703427746841,3.89069198038021,0.9999999930901076
vi,6,translation,100.0,"[0.0, 0.0, 1.0]",74.9257921043139,3.88993295056504,0.9999999772007732
vi,6,rotation,0.25,"[0.0, 0.0, 1.0]",74.92942743687728,3.8905215529246866,0.9999999999998219
vi,6,rotation,0.5,"[0.0, 0.0, 1.0]",74.92942743687728,3.8905215529246866,0.9999999999998219
