traj,order,scan,ndist,in_support,arm,et_mm,eR_deg,corr_dir_cos,disp_dir_cos
iv,0,0,1.1289708952612252,False,T0_raw,104.25570412650734,1.8842031441601357,,
iv,0,0,1.1289708952612252,False,oracle,112.01325191243055,1.355805036099625,,
iv,0,0,1.1289708952612252,False,est_gtstart,104.16630211293172,1.07546536185735,,
iv,0,0,1.1289708952612252,False,est_warmstart,106.73313072908019,1.114149750188581,,
iv,0,0,1.1289708952612252,False,view_gap,0.30614865143565406,52.95151001300624,0.999715877003952,0.9991293366096281
iv,1,1,1.1293102049808457,False,T0_raw,103.72556786256061,1.9979077142695425,,
iv,1,1,1.1293102049808457,False,oracle,111.37490703349492,1.7083009117191885,,
iv,1,1,1.1293102049808457,False,est_gtstart,103.54753720470059,1.5416949328040073,,
iv,1,1,1.1293102049808457,False,est_warmstart,108.23927115489914,1.7408246777156375,,
iv,1,1,1.1293102049808457,False,view_gap,0.3031442863562489,53.38629261011363,0.9974125995512872,0.9996910049200779
iv,2,2,1.1295987529852383,False,T0_raw,104.23744113003553,1.8133676238165253,,
iv,2,2,1.1295987529852383,False,oracle,109.8750790318118,1.24554406825129,,
iv,2,2,1.1295987529852383,False,est_gtstart,105.20447167710057,1.2464658725326572,,
iv,2,2,1.1295987529852383,False,est_warmstart,109.1595055279526,1.4987366110803237,,
iv,2,2,1.1295987529852383,False,view_gap,0.3065096760688517,52.7205004086575,0.9979946353847643,0.9999679545369232
iv,3,3,1.1299010463880201,False,T0_raw,99.59022249346992,1.5913613571104137,,
iv,3,3,1.1299010463880201,False,oracle,107.82609761864718,1.0928187241404073,,
iv,3,3,1.1299010463880201,False,est_gtstart,96.7086977384253,1.3340012191816,,
iv,3,3,1.1299010463880201,False,est_warmstart,100.5419262443778,1.421012138669893,,
iv,3,3,1.1299010463880201,False,view_gap,0.2878058426114934,52.80386227999401,0.9940079974723297,0.9993881621125993
iv,4,4,1.1301738383620625,False,T0_raw,102.46318703567778,1.283537849932975,,
iv,4,4,1.1301738383620625,False,oracle,105.06522545963738,1.2339320455695957,,
iv,4,4,1.1301738383620625,False,est_gtstart,97.86858537594874,1.4397902842818238,,
iv,4,4,1.1301738383620625,False,est_warmstart,101.08396308738236,1.4305074107451001,,
iv,4,4,1.1301738383620625,False,view_gap,0.3011565465371578,51.88113115190518,0.9978097057323394,0.9990950660944361
iv,5,5,1.1304408754509854,False,T0_raw,102.65654164511754,1.348864633138847,,
iv,5,5,1.1304408754509854,False,oracle,107.46537431888868,1.156652370445108,,
iv,5,5,1.1304408754509854,False,est_gtstart,96.87658166974758,1.341071077661415,,
iv,5,5,1.1304408754509854,False,est_warmstart,98.80963000426546,1.4987593337753853,,
iv,5,5,1.1304408754509854,False,view_gap,0.3013399038620572,52.163068434271764,0.992903814030833,0.994822490703217
iv,6,6,1.1307226857761732,False,T0_raw,100.87671958375533,1.2433668315510389,,
iv,6,6,1.1307226857761732,False,oracle,105.41384509292972,1.022389794084681,,
iv,6,6,1.1307226857761732,False,est_gtstart,95.33467978881312,1.3560377382481728,,
iv,6,6,1.1307226857761732,False,est_warmstart,97.28869455674196,1.3545613396956162,,
iv,6,6,1.1307226857761732,False,view_gap,0.2950232554726786,51.79325121555323,0.9900356946720262,0.9894479423419245
iv,7,7,1.1309943353085379,False,T0_raw,104.61576969421692,1.3948259143175263,,
iv,7,7,1.1309943353085379,False,oracle,108.013688515007,1.181004676886217,,
iv,7,7,1.1309943353085379,False,est_gtstart,94.93761345052576,1.367776467897227,,
iv,7,7,1.1309943353085379,False,est_warmstart,97.61655747636101,1.4723194187890647,,
