traj,order,scan,ndist,in_support,arm,et_mm,eR_deg,corr_dir_cos,disp_dir_cos
ii,0,0,2.4368521968864054,False,T0_raw,94.82041782140772,1.7000680609879304,,
ii,0,0,2.4368521968864054,False,oracle,32.573954571346086,1.4579818010515702,,
ii,0,0,2.4368521968864054,False,est_gtstart,32.57366382766216,1.4580022624659066,,
ii,0,0,2.4368521968864054,False,est_warmstart,33.03889044486221,1.426135704201703,,
ii,0,0,2.4368521968864054,False,view_gap,0.2507117967530814,38.575103955420076,0.999999999942438,0.9999999997597679
ii,1,1,2.4376022712307956,False,T0_raw,95.57979968032834,1.740917468078536,,
ii,1,1,2.4376022712307956,False,oracle,34.49113789701078,1.2560859721467614,,
ii,1,1,2.4376022712307956,False,est_gtstart,34.473728954235476,1.2560814253370758,,
ii,1,1,2.4376022712307956,False,est_warmstart,34.90179489949366,1.2533767846094834,,
ii,1,1,2.4376022712307956,False,view_gap,0.25247362876966734,39.101987951649875,0.9999999999377159,0.9999999570254485
ii,2,2,2.438712614193206,False,T0_raw,98.02899481782065,2.0492028332332994,,
ii,2,2,2.438712614193206,False,oracle,37.011419040788056,1.4140432459163867,,
ii,2,2,2.438712614193206,False,est_gtstart,37.01142287955528,1.4140329107991392,,
ii,2,2,2.438712614193206,False,est_warmstart,37.89424793652372,1.4288609217569799,,
ii,2,2,2.438712614193206,False,view_gap,0.2615416675241101,38.07228631148618,0.9999999999335123,0.9999999999679917
ii,3,3,2.4401942681385727,False,T0_raw,92.13318473088793,1.76582055208811,,
ii,3,3,2.4401942681385727,False,oracle,34.83580194318479,1.407302217642659,,
ii,3,3,2.4401942681385727,False,est_gtstart,34.824453710433204,1.4068461921907194,,
ii,3,3,2.4401942681385727,False,est_warmstart,35.51263516360251,1.4331486683207304,,
ii,3,3,2.4401942681385727,False,view_gap,0.24595541153395767,35.69759221456792,0.999999999906554,0.9999999855162539
ii,4,4,2.4420992132790245,False,T0_raw,92.71593091255454,1.6007766139010715,,
ii,4,4,2.4420992132790245,False,oracle,39.608968022853915,1.29907595426969,,
ii,4,4,2.4420992132790245,False,est_gtstart,39.60752249390346,1.3002232482074059,,
ii,4,4,2.4420992132790245,False,est_warmstart,39.96754227453987,1.2478368793073762,,
ii,4,4,2.4420992132790245,False,view_gap,0.24536913307347177,37.63951711808389,0.9999999998900898,0.9999999268532312
ii,5,5,2.44277227155663,False,T0_raw,100.28913696990897,1.7545168862225755,,
ii,5,5,2.44277227155663,False,oracle,46.47249825533187,0.8306711467937199,,
ii,5,5,2.44277227155663,False,est_gtstart,46.468549534308224,0.8311304444594008,,
ii,5,5,2.44277227155663,False,est_warmstart,46.84511485798856,0.8252861179067841,,
ii,5,5,2.44277227155663,False,view_gap,0.2678482639035782,38.80529257473597,0.999999999790699,0.9999999716080518
ii,6,6,2.435842853146902,False,T0_raw,110.15335783469656,1.5737415823718341,,
ii,6,6,2.435842853146902,False,oracle,58.56579091725417,0.9723255725001259,,
ii,6,6,2.435842853146902,False,est_gtstart,58.56312229458967,0.9722792247807722,,
ii,6,6,2.435842853146902,False,est_warmstart,59.01126550271202,0.9717224224555393,,
ii,6,6,2.435842853146902,False,view_gap,0.2859802474095975,48.98745163735185,0.9999999997971593,0.9999999462909708
ii,7,7,2.421276341298882,False,T0_raw,109.82490215512767,1.4697543666302175,,
ii,7,7,2.421276341298882,False,oracle,58.583929484867866,1.1592837111950414,,
ii,7,7,2.421276341298882,False,est_gtstart,58.93526834254715,1.0787047889102181,,
ii,7,7,2.421276341298882,False,est_warmstart,59.33798506010642,1.073212927387806,,
ii,7,7,2.421276341298882,False,view_gap,0.2733361082518751,56.559288892849224,0.9944557020063995,0.998317816721904
ii,8,8,2.4071094308209013,False,T0_raw,109.86138006903084,1.4325027278491946,,
ii,8,8,2.4071094308209013,False,oracle,64.26575019285099,1.6624919866236247,,
ii,8,8,2.4071094308209013,False,est_gtstart,64.22883673826843,1.6645016545355595,,
ii,8,8,2.4071094308209013,False,est_warmstart,65.88310789583902,1.6002185039932253,,
ii,8,8,2.4071094308209013,False,view_gap,0.27715594469656113,54.693155863219545,0.9999999999224704,0.999999778330338
ii,9,9,2.393337806063171,False,T0_raw,103.08306655085957,1.5513181729773313,,
ii,9,9,2.393337806063171,False,oracle,60.935995624953236,1.9149222796012046,,
ii,9,9,2.393337806063171,False,est_gtstart,60.9469916560164,1.9137324915566098,,
ii,9,9,2.393337806063171,False,est_warmstart,62.87222064801175,1.8783103885495465,,
ii,9,9,2.393337806063171,False,view_gap,0.26414491186201494,49.11238216127245,0.9999999999442384,0.9999999524059476
ii,10,10,2.379828667168852,False,T0_raw,97.15912286475627,1.5515593449774576,,
ii,10,10,2.379828667168852,False,oracle,55.15770377952987,1.9928766080570206,,
ii,10,10,2.379828667168852,False,est_gtstart,55.15766903595726,1.9928722923301105,,
ii,10,10,2.379828667168852,False,est_warmstart,55.851764323484225,1.8934203572660888,,
ii,10,10,2.379828667168852,False,view_gap,0.25179704700732347,44.765559371231944,0.9999999999628594,0.9999999999924195
ii,11,11,2.3667081479567007,False,T0_raw,85.36920019303737,1.7111772004454484,,
ii,11,11,2.3667081479567007,False,oracle,41.75280755076772,2.1487356474265837,,
ii,11,11,2.3667081479567007,False,est_gtstart,41.75275394648499,2.1487326882075766,,
ii,11,11,2.3667081479567007,False,est_warmstart,42.6879967099239,2.14532013852848,,
ii,11,11,2.3667081479567007,False,view_gap,0.22280844828802948,38.57121701721411,0.9999999999823752,0.9999999999941108
ii,12,12,2.353962424184451,False,T0_raw,91.22903209266151,2.009830017538606,,
ii,12,12,2.353962424184451,False,oracle,41.79595874806648,1.5790368297949384,,
ii,12,12,2.353962424184451,False,est_gtstart,40.131852442901184,1.6588224253433332,,
ii,12,12,2.353962424184451,False,est_warmstart,41.49312032853159,1.6492175175290111,,
ii,12,12,2.353962424184451,False,view_gap,0.23379355929209794,44.23454304801311,0.9972611581563586,0.9953082966792927
ii,13,13,2.3435155859904127,False,T0_raw,82.90549878905156,1.906181986608,,
ii,13,13,2.3435155859904127,False,oracle,32.42187229684963,1.0829774716328302,,
ii,13,13,2.3435155859904127,False,est_gtstart,32.66991136324918,1.1151335238071187,,
ii,13,13,2.3435155859904127,False,est_warmstart,33.49266885967425,1.216003672706599,,
ii,13,13,2.3435155859904127,False,view_gap,0.21064543602375718,41.48539081393565,0.999623557877137,0.999514238515073
