traj,order,scan,ndist,in_support,arm,et_mm,eR_deg,corr_dir_cos,disp_dir_cos
vi,0,0,0.0,True,T0_raw,148.82663013139725,4.916122977551957,,
vi,0,0,0.0,True,oracle,66.91086381228725,3.959045372299236,,
vi,0,0,0.0,True,est_gtstart,67.27549203707517,3.995753511903065,,
vi,0,0,0.0,True,est_warmstart,67.55663711361518,4.072216725136847,,
vi,0,0,0.0,True,view_gap,0.5442895070879089,48.48527436319294,0.9948119861700611,0.9996338128443324
vi,1,1,0.0,True,T0_raw,152.12704174652154,4.585390755827114,,
vi,1,1,0.0,True,oracle,69.14918707300393,3.2865809173997946,,
vi,1,1,0.0,True,est_gtstart,69.73985651079713,3.329601417534253,,
vi,1,1,0.0,True,est_warmstart,70.0029423806603,3.345026806065811,,
vi,1,1,0.0,True,view_gap,0.5562758117857157,49.59889568270981,0.9994162612622894,0.9996049853626712
vi,2,2,0.0,True,T0_raw,155.5163438278263,6.306839081781899,,
vi,2,2,0.0,True,oracle,74.27971220243914,4.800295418974269,,
vi,2,2,0.0,True,est_gtstart,74.69721653727578,4.840354083436107,,
vi,2,2,0.0,True,est_warmstart,74.80797206970398,5.01565723730914,,
vi,2,2,0.0,True,view_gap,0.5586760189745287,57.54787243515125,0.9993029526580647,0.999522048049036
vi,3,3,0.0,True,T0_raw,157.5692560650436,4.049028099531629,,
vi,3,3,0.0,True,oracle,78.91559633838777,2.932166065760782,,
vi,3,3,0.0,True,est_gtstart,78.96134004744948,2.94227078157432,,
vi,3,3,0.0,True,est_warmstart,79.07307235130095,3.014717293711905,,
vi,3,3,0.0,True,view_gap,0.5437680695810063,70.95991385343758,0.999982899375511,0.9999862245885546
vi,4,4,0.0,True,T0_raw,151.40492711490427,4.183191994792766,,
vi,4,4,0.0,True,oracle,75.16956208013794,3.452329415015847,,
vi,4,4,0.0,True,est_gtstart,75.16215760084222,3.5396734578630036,,
vi,4,4,0.0,True,est_warmstart,75.67568408226657,3.550312740653636,,
vi,4,4,0.0,True,view_gap,0.5252085730173875,66.8077165656289,0.9989514760031439,0.999520551986892
vi,5,5,0.0,True,T0_raw,148.72802999250268,4.665506818002147,,
vi,5,5,0.0,True,oracle,71.4515447537257,3.191741725197853,,
vi,5,5,0.0,True,est_gtstart,71.66733886141282,3.2241902252607093,,
vi,5,5,0.0,True,est_warmstart,71.40207458514975,3.247973427777261,,
vi,5,5,0.0,True,view_gap,0.5063269976795873,70.41612763559613,0.9999872123162855,0.999932291139309
vi,6,6,0.0,True,T0_raw,152.74119589850528,5.536149267156991,,
vi,6,6,0.0,True,oracle,74.9294274368768,3.890521552924663,,
vi,6,6,0.0,True,est_gtstart,75.0042109516083,3.8998640881266904,,
vi,6,6,0.0,True,est_warmstart,74.9927982376356,3.9129879214260708,,
vi,6,6,0.0,True,view_gap,0.5225810677030662,71.04383158145566,0.9999970715197879,0.9999930742697094
vi,7,7,0.0,True,T0_raw,152.49312421602895,4.851415783437144,,
vi,7,7,0.0,True,oracle,75.19252017456682,3.775284988485355,,
vi,7,7,0.0,True,est_gtstart,75.75050841620036,3.8268343185660885,,
vi,7,7,0.0,True,est_warmstart,75.89543796719508,3.789488310440743,,
vi,7,7,0.0,True,view_gap,0.530825492235848,66.29818314644531,0.9998038640336732,0.9996316708775592
vi,8,8,0.0,True,T0_raw,154.40232019421464,5.439939235794481,,
vi,8,8,0.0,True,oracle,70.79719364122876,4.3852753642057065,,
vi,8,8,0.0,True,est_gtstart,70.98483296083958,4.386592810463488,,
