name,method,flag,crc,csize,usize,lho
epos_dataset_ii/1219.pose,8,8,217608809,64,88,86602266
epos_dataset_ii/1220.3d,8,8,535866291,94648,344570,86602433
epos_dataset_ii/1220.pose,8,8,211763801,65,88,86697182
epos_dataset_ii/1221.3d,8,8,2787897316,94795,345006,86697350
epos_dataset_ii/1221.pose,8,8,139073085,64,88,86792246
epos_dataset_ii/1222.3d,8,8,2665674757,94328,343798,86792413
epos_dataset_ii/1222.pose,8,8,2811936808,63,88,86886842
epos_dataset_ii/1223.3d,8,8,1167203515,94349,343025,86887008
epos_dataset_ii/1223.pose,8,8,335889439,65,88,86981458
epos_dataset_ii/1224.3d,8,8,3471957390,94422,343914,86981626
epos_dataset_ii/1224.pose,8,8,2002299743,65,88,87076149
epos_dataset_ii/1225.3d,8,8,1019911508,94458,344222,87076317
epos_dataset_ii/1225.pose,8,8,3886130734,64,88,87170876
epos_dataset_ii/1226.3d,8,8,3906028816,93610,340974,87171043
epos_dataset_ii/1226.pose,8,8,532532090,65,88,87264754
epos_dataset_ii/1227.3d,8,8,1301085190,94729,344328,87264922
epos_dataset_ii/1227.pose,8,8,651478210,63,88,87359752
epos_dataset_ii/1228.3d,8,8,407487331,94638,345178,87359918
epos_dataset_ii/1228.pose,8,8,1109379588,64,88,87454657
epos_dataset_ii/1229.3d,8,8,2031095007,92977,337685,87454824
epos_dataset_ii/1229.pose,8,8,2495345921,64,88,87547902
epos_dataset_ii/1230.3d,8,8,2453347717,94945,345838,87548069
epos_dataset_ii/1230.pose,8,8,597695493,65,88,87643115
epos_dataset_ii/1231.3d,8,8,85652704,94013,342286,87643283
epos_dataset_ii/1231.pose,8,8,670994323,65,88,87737397
epos_dataset_ii/1232.3d,8,8,1035916936,92284,334697,87737565
epos_dataset_ii/1232.pose,8,8,1533945253,64,88,87829950
epos_dataset_ii/1233.3d,8,8,1833124506,94729,344804,87830117
epos_dataset_ii/1233.pose,8,8,4074104699,64,88,87924947
epos_dataset_ii/1234.3d,8,8,4059923345,93254,339084,87925114
epos_dataset_ii/1234.pose,8,8,498130659,65,88,88018469
epos_dataset_ii/1235.3d,8,8,1023425976,92672,335953,88018637
epos_dataset_ii/1235.pose,8,8,1053081558,64,88,88111410
epos_dataset_ii/1236.3d,8,8,3633540546,94042,341411,88111577
epos_dataset_ii/1236.pose,8,8,3306113802,63,88,88205720
epos_dataset_ii/1237.3d,8,8,2980922036,93233,338561,88205886
epos_dataset_ii/1237.pose,8,8,2642750322,63,88,88299220
epos_dataset_ii/1238.3d,8,8,536671780,93206,338408,88299386
epos_dataset_ii/1238.pose,8,8,1853484553,65,88,88392693
epos_dataset_ii/1239.3d,8,8,1747171463,93430,339419,88392861
epos_dataset_ii/1239.pose,8,8,2426531444,63,88,88486392
epos_dataset_ii/1240.3d,8,8,2849339254,93529,340143,88486558
epos_dataset_ii/1240.pose,8,8,4202224551,65,88,88580188
epos_dataset_ii/1241.3d,8,8,1584046506,91992,333812,88580356
epos_dataset_ii/1241.pose,8,8,3880028770,64,88,88672449
epos_dataset_ii/1242.3d,8,8,3548267546,93650,339800,88672616
epos_dataset_ii/1242.pose,8,8,512234830,65,88,88766367
epos_dataset_ii/1243.3d,8,8,1699687610,93730,340237,88766535
epos_dataset_ii/1243.pose,8,8,1522051396,65,88,88860366
epos_dataset_ii/1244.3d,8,8,530123254,92470,335248,88860534
