name,method,flag,crc,csize,usize,lho
epos_dataset_iii/0417.pose,8,8,3532278682,64,88,28877433
epos_dataset_iii/0418.3d,8,8,220619014,61558,214404,28877601
epos_dataset_iii/0418.pose,8,8,166502058,63,88,28939261
epos_dataset_iii/0419.3d,8,8,3227292608,60624,211380,28939428
epos_dataset_iii/0419.pose,8,8,913247854,63,88,29000154
epos_dataset_iii/0420.3d,8,8,3224669651,60443,210461,29000321
epos_dataset_iii/0420.pose,8,8,129959932,65,88,29060866
epos_dataset_iii/0421.3d,8,8,294984928,59733,207621,29061035
epos_dataset_iii/0421.pose,8,8,42826048,62,88,29120870
epos_dataset_iii/0422.3d,8,8,1421041443,58743,204884,29121036
epos_dataset_iii/0422.pose,8,8,998320136,63,88,29179881
epos_dataset_iii/0423.3d,8,8,2857268295,65709,228551,29180048
epos_dataset_iii/0423.pose,8,8,2132954915,63,88,29245859
epos_dataset_iii/0424.3d,8,8,2306160899,65558,227952,29246026
epos_dataset_iii/0424.pose,8,8,2685179878,65,88,29311686
epos_dataset_iii/0425.3d,8,8,3216904746,63890,221848,29311855
epos_dataset_iii/0425.pose,8,8,1732966836,63,88,29375847
epos_dataset_iii/0426.3d,8,8,867522774,63748,221440,29376014
epos_dataset_iii/0426.pose,8,8,347553596,64,88,29439864
epos_dataset_iii/0427.3d,8,8,1002805994,62084,215655,29440032
epos_dataset_iii/0427.pose,8,8,3241963209,63,88,29502218
epos_dataset_iii/0428.3d,8,8,1331173939,61387,212865,29502385
epos_dataset_iii/0428.pose,8,8,256244465,64,88,29563874
epos_dataset_iii/0429.3d,8,8,1240897124,60229,208488,29564042
epos_dataset_iii/0429.pose,8,8,1333431964,64,88,29624373
epos_dataset_iii/0430.3d,8,8,483817113,60077,208115,29624541
epos_dataset_iii/0430.pose,8,8,3520198388,63,88,29684720
epos_dataset_iii/0431.3d,8,8,2361002873,58840,203058,29684887
epos_dataset_iii/0431.pose,8,8,2064145377,62,88,29743829
epos_dataset_iii/0432.3d,8,8,445366895,64825,224268,29743995
epos_dataset_iii/0432.pose,8,8,2555440518,64,88,29808922
epos_dataset_iii/0433.3d,8,8,2105327993,64923,224215,29809090
epos_dataset_iii/0433.pose,8,8,3337525244,65,88,29874115
epos_dataset_iii/0434.3d,8,8,4133199662,62968,217757,29874284
epos_dataset_iii/0434.pose,8,8,3698538577,63,87,29937354
epos_dataset_iii/0435.3d,8,8,4190623263,62580,216271,29937521
epos_dataset_iii/0435.pose,8,8,2149768430,63,87,30000203
epos_dataset_iii/0436.3d,8,8,3854742394,61538,212619,30000370
epos_dataset_iii/0436.pose,8,8,2472443524,62,87,30062010
epos_dataset_iii/0437.3d,8,8,1060940337,60993,211010,30062176
epos_dataset_iii/0437.pose,8,8,4029650771,63,87,30123271
epos_dataset_iii/0438.3d,8,8,3986510193,59582,205806,30123438
epos_dataset_iii/0438.pose,8,8,1973294982,64,87,30183122
epos_dataset_iii/0439.3d,8,8,1553875250,65463,226471,30183290
epos_dataset_iii/0439.pose,8,8,922798561,64,87,30248855
epos_dataset_iii/0440.3d,8,8,3079779742,63872,220839,30249023
epos_dataset_iii/0440.pose,8,8,475547028,62,87,30312997
epos_dataset_iii/0441.3d,8,8,3722598029,63307,218615,30313163
epos_dataset_iii/0441.pose,8,8,2453036215,62,87,30376572
epos_dataset_iii/0442.3d,8,8,2250790479,62705,216984,30376738
epos_dataset_iii/0442.pose,8,8,3743505227,65,87,30439545
