trajectory,frame_id,method,rep,model_build_ms,query_ms,kdtree_ms,registration1_ms,registration2_ms,total_ms,et_mm,eR_deg,iters
VI,26,Raw,2,0.0,0.0,0.0,687.2107999952277,0.0,687.217700004112,153.02759628245957,4.624442332102668,36
VI,26,Raw,3,0.0,0.0,0.0,674.0318000083789,0.0,674.0385999873979,153.02759628245957,4.624442332102668,36
VI,26,Raw,4,0.0,0.0,0.0,662.3192999977618,0.0,662.3257000028389,153.02759628245957,4.624442332102668,36
VI,26,Huber,0,0.0,0.0,0.0,919.5478000037838,0.0,919.5588000002317,133.84608499099338,3.6678973050625965,40
VI,26,Huber,1,0.0,0.0,0.0,914.2740999959642,0.0,914.2808000033256,133.84608499099338,3.6678973050625965,40
VI,26,Huber,2,0.0,0.0,0.0,927.6440999965416,0.0,927.6506000023801,133.84608499099338,3.6678973050625965,40
VI,26,Huber,3,0.0,0.0,0.0,932.7504000102635,0.0,932.7574000053573,133.84608499099338,3.6678973050625965,40
VI,26,Huber,4,0.0,0.0,0.0,936.1961000104202,0.0,936.2036999955308,133.84608499099338,3.6678973050625965,40
VI,26,Patch,0,0.0,0.0,0.0,270.2516999997897,0.0,270.2592999994522,105.92503864172004,3.9341968204733644,24
VI,26,Patch,1,0.0,0.0,0.0,268.5462999943411,0.0,268.55360000627115,105.92503864172004,3.9341968204733644,24
VI,26,Patch,2,0.0,0.0,0.0,270.9146999986842,0.0,270.92190000985283,105.92503864172004,3.9341968204733644,24
VI,26,Patch,3,0.0,0.0,0.0,272.51379999506753,0.0,272.52160001080483,105.92503864172004,3.9341968204733644,24
VI,26,Patch,4,0.0,0.0,0.0,275.6403999956092,0.0,275.647200003732,105.92503864172004,3.9341968204733644,24
VI,26,PatchHuber,0,0.0,0.0,0.0,501.37689999246504,0.0,501.38470000820234,81.19042147444117,3.1751087348771527,40
VI,26,PatchHuber,1,0.0,0.0,0.0,494.94059999415185,0.0,494.94759998924565,81.19042147444117,3.1751087348771527,40
VI,26,PatchHuber,2,0.0,0.0,0.0,499.9933999934001,0.0,500.0009999930626,81.19042147444117,3.1751087348771527,40
VI,26,PatchHuber,3,0.0,0.0,0.0,495.86680000356864,0.0,495.87429998791777,81.19042147444117,3.1751087348771527,40
VI,26,PatchHuber,4,0.0,0.0,0.0,495.6022000114899,0.0,495.60929999279324,81.19042147444117,3.1751087348771527,40
VI,26,Full,0,0.8335000020451844,0.1255999959539622,11.083199991844594,398.59810000052676,0.0,410.6501000060234,70.28309756974227,1.0801600740024526,37
VI,26,Full,1,0.832799996715039,0.1756999990902841,10.814100009156391,401.3979000010295,0.0,413.2299999910174,70.28309756974227,1.0801600740024526,37
VI,26,Full,2,0.8256000000983477,0.1756999990902841,11.219599997275509,405.35000000090804,0.0,417.58150000532623,70.28309756974227,1.0801600740024526,37
VI,26,Full,3,0.8486000006087124,0.20419999782461673,11.524800007464364,397.25589999579825,0.0,409.84320000279695,70.28309756974227,1.0801600740024526,37
VI,26,Full,4,1.0975000041071326,0.25949999690055847,10.735399991972372,397.1170000004349,0.0,409.21940001135226,70.28309756974227,1.0801600740024526,37
VI,26,EstimatedFull,0,0.8306999952765182,0.17669999215286225,10.790000000270084,664.598900009878,436.51759999920614,1112.951000002795,70.1210588306853,1.1031911006057114,40
VI,26,EstimatedFull,1,0.821399997221306,0.17780000052880496,10.859799993340857,664.9809000082314,428.61919999995735,1105.4953999991994,70.1210588306853,1.1031911006057114,40
VI,26,EstimatedFull,2,0.8255000138888136,0.179000009666197,11.546699999598786,660.5177000019467,429.3397000001278,1102.4457999883452,70.1210588306853,1.1031911006057114,40
VI,26,EstimatedFull,3,0.8338999905390665,0.18289999570697546,10.983200001646765,661.0779000038747,444.67209999857005,1117.7884000062477,70.1210588306853,1.1031911006057114,40
VI,26,EstimatedFull,4,0.8284000068670139,0.1740000006975606,11.102600008598529,655.6869000050938,435.511999996379,1103.3421000029193,70.1210588306853,1.1031911006057114,40
VI,51,Raw,0,0.0,0.0,0.0,553.0569999973522,0.0,553.0638000054751,161.54767054974485,5.6920869335548305,40
VI,51,Raw,1,0.0,0.0,0.0,553.5749999980908,0.0,553.5818999924231,161.54767054974485,5.6920869335548305,40
VI,51,Raw,2,0.0,0.0,0.0,558.3244000008563,0.0,558.3310999936657,161.54767054974485,5.6920869335548305,40
VI,51,Raw,3,0.0,0.0,0.0,551.4626999938628,0.0,551.4699999912409,161.54767054974485,5.6920869335548305,40
VI,51,Raw,4,0.0,0.0,0.0,552.6694000000134,0.0,552.6764999958687,161.54767054974485,5.6920869335548305,40
VI,51,Huber,0,0.0,0.0,0.0,472.6824000099441,0.0,472.68949999124743,144.36044377390084,4.89801287911567,29
VI,51,Huber,1,0.0,0.0,0.0,473.3422000135761,0.0,473.3489000063855,144.36044377390084,4.89801287911567,29
VI,51,Huber,2,0.0,0.0,0.0,471.526499997708,0.0,471.5335000073537,144.36044377390084,4.89801287911567,29
VI,51,Huber,3,0.0,0.0,0.0,487.90480000025127,0.0,487.9114000068512,144.36044377390084,4.89801287911567,29
VI,51,Huber,4,0.0,0.0,0.0,478.9133000012953,0.0,478.9201999956276,144.36044377390084,4.89801287911567,29
VI,51,Patch,0,0.0,0.0,0.0,440.9789999917848,0.0,440.9860000014305,124.6379027901713,6.102829528002945,40
VI,51,Patch,1,0.0,0.0,0.0,443.1214999931399,0.0,443.1289000058314,124.6379027901713,6.102829528002945,40
VI,51,Patch,2,0.0,0.0,0.0,446.2273999961326,0.0,446.23490000958554,124.6379027901713,6.102829528002945,40
VI,51,Patch,3,0.0,0.0,0.0,445.6387999962317,0.0,445.64610000816174,124.6379027901713,6.102829528002945,40
VI,51,Patch,4,0.0,0.0,0.0,447.385999999824,0.0,447.39310001023114,124.6379027901713,6.102829528002945,40
VI,51,PatchHuber,0,0.0,0.0,0.0,404.86320000491105,0.0,404.87060000305064,108.25782762513559,5.645898302735417,32
VI,51,PatchHuber,1,0.0,0.0,0.0,417.3764000006486,0.0,417.3836999980267,108.25782762513559,5.645898302735417,32
VI,51,PatchHuber,2,0.0,0.0,0.0,401.1344999889843,0.0,401.1415999993915,108.25782762513559,5.645898302735417,32
VI,51,PatchHuber,3,0.0,0.0,0.0,399.373199994443,0.0,399.3804000056116,108.25782762513559,5.645898302735417,32
VI,51,PatchHuber,4,0.0,0.0,0.0,403.2364000013331,0.0,403.2433999964269,108.25782762513559,5.645898302735417,32
VI,51,Full,0,0.8178999996744096,0.16119999054353684,10.943400004180148,358.2539000053657,0.0,370.2255999960471,79.47826235473865,3.4603197367800154,36
VI,51,Full,1,0.8385000110138208,0.12199999764561653,11.003599996911362,355.22329999366775,0.0,367.1967999980552,79.47826235473865,3.4603197367800154,36
VI,51,Full,2,0.8252999978139997,0.1205000007757917,10.941999993519858,353.1345999945188,0.0,365.0326000060886,79.47826235473865,3.4603197367800154,36
VI,51,Full,3,0.8138000121107325,0.11970000923611224,10.94320000265725,353.8851000048453,0.0,365.77189998934045,79.47826235473865,3.4603197367800154,36
VI,51,Full,4,0.8161000005202368,0.12029999925289303,11.035499992431141,353.8222999923164,0.0,365.8036999986507,79.47826235473865,3.4603197367800154,36
VI,51,EstimatedFull,0,0.8381999941775575,0.11740000627469271,10.604900002363138,552.050500002224,259.3817000015406,823.031699997955,81.14894541680322,3.5357483325407095,27
VI,51,EstimatedFull,1,0.8363999950233847,0.12419999984558672,11.67880000139121,564.940199998091,276.0070999938762,853.6268000025302,81.14894541680322,3.5357483325407095,27
VI,51,EstimatedFull,2,1.0379999876022339,0.12880000576842576,10.443299994221888,554.0840000030585,261.7041999910725,827.4395000044024,81.14894541680322,3.5357483325407095,27
VI,51,EstimatedFull,3,0.8277000015368685,0.11770000855904073,10.966999994707294,549.3578999885358,260.17910000518896,821.4858999999706,81.14894541680322,3.5357483325407095,27
VI,51,EstimatedFull,4,0.8594000100856647,0.11980000999756157,10.725500003900379,561.478999996325,262.0190999878105,835.2412000094773,81.14894541680322,3.5357483325407095,27
VI,77,Raw,0,0.0,0.0,0.0,343.30180000688415,0.0,343.30880000197794,145.17656821009552,4.97226731995777,24
VI,77,Raw,1,0.0,0.0,0.0,344.6535000111908,0.0,344.6604000055231,145.17656821009552,4.97226731995777,24
VI,77,Raw,2,0.0,0.0,0.0,344.94640000048093,0.0,344.95319999405183,145.17656821009552,4.97226731995777,24
VI,77,Raw,3,0.0,0.0,0.0,341.5611000091303,0.0,341.56820000498556,145.17656821009552,4.97226731995777,24
VI,77,Raw,4,0.0,0.0,0.0,343.9954000059515,0.0,344.0021999995224,145.17656821009552,4.97226731995777,24
VI,77,Huber,0,0.0,0.0,0.0,624.7573000000557,0.0,624.7644999966724,130.1313138477612,4.459826687549701,40
VI,77,Huber,1,0.0,0.0,0.0,617.526000001817,0.0,617.5330000114627,130.1313138477612,4.459826687549701,40
VI,77,Huber,2,0.0,0.0,0.0,612.3488000012003,0.0,612.3554999940097,130.1313138477612,4.459826687549701,40
VI,77,Huber,3,0.0,0.0,0.0,618.6754999944242,0.0,618.6829000071157,130.1313138477612,4.459826687549701,40
VI,77,Huber,4,0.0,0.0,0.0,622.0068999973591,0.0,622.0134000031976,130.1313138477612,4.459826687549701,40
VI,77,Patch,0,0.0,0.0,0.0,439.7793000098318,0.0,439.78999998944346,102.46708104007348,5.659514267448774,40
VI,77,Patch,1,0.0,0.0,0.0,444.0187000000151,0.0,444.0258999966318,102.46708104007348,5.659514267448774,40
VI,77,Patch,2,0.0,0.0,0.0,464.5565999962855,0.0,464.5637999929022,102.46708104007348,5.659514267448774,40
VI,77,Patch,3,0.0,0.0,0.0,441.16690001101233,0.0,441.1740999930771,102.46708104007348,5.659514267448774,40
VI,77,Patch,4,0.0,0.0,0.0,443.4594000049401,0.0,443.46609999774955,102.46708104007348,5.659514267448774,40
VI,77,PatchHuber,0,0.0,0.0,0.0,480.8855000010226,0.0,480.893300002208,79.79241160343457,5.127710996817816,40
VI,77,PatchHuber,1,0.0,0.0,0.0,475.8326000010129,0.0,475.83989999839105,79.79241160343457,5.127710996817816,40
VI,77,PatchHuber,2,0.0,0.0,0.0,475.253700002213,0.0,475.2608999988297,79.79241160343457,5.127710996817816,40
VI,77,PatchHuber,3,0.0,0.0,0.0,469.9811999889789,0.0,469.98870000243187,79.79241160343457,5.127710996817816,40
VI,77,PatchHuber,4,0.0,0.0,0.0,503.6835999926552,0.0,503.69189999764785,79.79241160343457,5.127710996817816,40
VI,77,Full,0,0.8182000019587576,0.1539999939268455,11.038000011467375,436.06480000016745,0.0,448.085700001684,64.45315727093245,3.735021811753027,40
VI,77,Full,1,0.8329999982379377,0.18360000103712082,11.108799997600727,433.1187000061618,0.0,445.2543999941554,64.45315727093245,3.735021811753027,40
VI,77,Full,2,0.8184999896911904,0.18220000492874533,11.528699993505143,432.35739998635836,0.0,444.8972000100184,64.45315727093245,3.735021811753027,40
VI,77,Full,3,0.8177000127034262,0.19459999748505652,11.21360000979621,434.92619998869486,0.0,447.16239999979734,64.45315727093245,3.735021811753027,40
VI,77,Full,4,0.9809000039240345,0.17910001042764634,11.692699990817346,434.4299000076717,0.0,447.29320000624284,64.45315727093245,3.735021811753027,40
VI,77,EstimatedFull,0,0.8224999910453334,0.1756999990902841,11.013800001819618,359.34899999119807,375.4806000069948,746.880400009104,64.49999774612256,3.822302094989714,34
VI,77,EstimatedFull,1,0.8292999991681427,0.17759999900590628,11.203499991097488,357.0097000047099,373.83589999808464,743.0934000003617,64.49999774612256,3.822302094989714,34
VI,77,EstimatedFull,2,0.8666999929118901,0.2570999931776896,11.392399988835678,359.55350000585895,368.72549999679904,740.8437999984017,64.49999774612256,3.822302094989714,34
VI,77,EstimatedFull,3,0.8329999982379377,0.18509999790694565,11.29949999449309,347.56440001365263,368.22239999310113,728.1445999979042,64.49999774612256,3.822302094989714,34
VI,77,EstimatedFull,4,0.8495999936712906,0.19069999689236283,11.0623999935342,347.9903999977978,360.95319999731146,721.0905000101775,64.49999774612256,3.822302094989714,34
VI,103,Raw,0,0.0,0.0,0.0,669.9714999995194,0.0,669.9783999938518,149.1336892035042,4.595909456617899,40
VI,103,Raw,1,0.0,0.0,0.0,664.7639999864623,0.0,664.7711999976309,149.1336892035042,4.595909456617899,40
VI,103,Raw,2,0.0,0.0,0.0,666.8566000007559,0.0,666.8634000088787,149.1336892035042,4.595909456617899,40
VI,103,Raw,3,0.0,0.0,0.0,681.347799996729,0.0,681.3559000001987,149.1336892035042,4.595909456617899,40
VI,103,Raw,4,0.0,0.0,0.0,668.2013999961782,0.0,668.2085999927949,149.1336892035042,4.595909456617899,40
VI,103,Huber,0,0.0,0.0,0.0,809.1368000023067,0.0,809.143699996639,132.25568046664475,4.067857728195046,40
VI,103,Huber,1,0.0,0.0,0.0,802.5662000000011,0.0,802.5727000058396,132.25568046664475,4.067857728195046,40
VI,103,Huber,2,0.0,0.0,0.0,804.5625999948243,0.0,804.5697000052314,132.25568046664475,4.067857728195046,40
VI,103,Huber,3,0.0,0.0,0.0,815.7501999958185,0.0,815.7615999953123,132.25568046664475,4.067857728195046,40
VI,103,Huber,4,0.0,0.0,0.0,807.7079000067897,0.0,807.7152999903774,132.25568046664475,4.067857728195046,40
VI,103,Patch,0,0.0,0.0,0.0,396.98109999881126,0.0,396.9890000007581,100.7927389408494,4.445188573632289,35
VI,103,Patch,1,0.0,0.0,0.0,383.1054000038421,0.0,383.11239999893587,100.7927389408494,4.445188573632289,35
VI,103,Patch,2,0.0,0.0,0.0,384.1437000082806,0.0,384.1506000026129,100.7927389408494,4.445188573632289,35
VI,103,Patch,3,0.0,0.0,0.0,384.65229999565054,0.0,384.6594000060577,100.7927389408494,4.445188573632289,35
VI,103,Patch,4,0.0,0.0,0.0,388.7875999935204,0.0,388.79469998937566,100.7927389408494,4.445188573632289,35
VI,103,PatchHuber,0,0.0,0.0,0.0,478.70740000507794,0.0,478.7174000084633,78.47092952403055,3.874925551667956,40
VI,103,PatchHuber,1,0.0,0.0,0.0,479.8849000071641,0.0,479.89180000149645,78.47092952403055,3.874925551667956,40
VI,103,PatchHuber,2,0.0,0.0,0.0,479.66969999833964,0.0,479.6767999941949,78.47092952403055,3.874925551667956,40
VI,103,PatchHuber,3,0.0,0.0,0.0,478.1431000010343,0.0,478.1504999991739,78.47092952403055,3.874925551667956,40
VI,103,PatchHuber,4,0.0,0.0,0.0,474.4849999988219,0.0,474.4918000069447,78.47092952403055,3.874925551667956,40
VI,103,Full,0,0.8189999934984371,0.1750999945215881,11.174500003107823,301.84109999390785,0.0,314.0196000022115,60.50980610176417,2.0720622463046667,28
VI,103,Full,1,0.8239000017056242,0.17379999917466193,11.490999997477047,302.09610000019893,0.0,314.59840000024997,60.50980610176417,2.0720622463046667,28
VI,103,Full,2,0.9062999888556078,0.19829999655485153,11.31129999703262,300.5315000045812,0.0,312.9581999965012,60.50980610176417,2.0720622463046667,28
VI,103,Full,3,0.9621999925002456,0.18429999181535095,10.764500009827316,299.1654999932507,0.0,311.0861000022851,60.50980610176417,2.0720622463046667,28
VI,103,Full,4,0.8272999984910712,0.22840000747237355,11.039700009860098,298.07100001198705,0.0,310.1774000097066,60.50980610176417,2.0720622463046667,28
VI,103,EstimatedFull,0,0.8682999905431643,0.18020000425167382,11.223199995583855,673.047400006908,417.26570000173524,1102.6238999911584,60.65536809861855,2.1365652842527845,39
VI,103,EstimatedFull,1,0.819200009573251,0.17780000052880496,10.57779999973718,676.0140999977011,430.8935000008205,1118.5204999928828,60.65536809861855,2.1365652842527845,39
VI,103,EstimatedFull,2,0.8241000032285228,0.1795999996829778,11.167699994985014,696.8881000066176,425.3980000066804,1134.4960999995237,60.65536809861855,2.1365652842527845,39
VI,103,EstimatedFull,3,0.8331999997608364,0.255000006291084,10.623699999996461,672.4052000063239,422.65320000296924,1106.887599991751,60.65536809861855,2.1365652842527845,39
VI,103,EstimatedFull,4,0.8286999945994467,0.20480000239331275,10.889400000451133,667.0697999943513,418.62729999411386,1097.786600003019,60.65536809861855,2.1365652842527845,39
VI,128,Raw,0,0.0,0.0,0.0,339.7547000058694,0.0,339.7621999902185,177.00262098992465,5.224223521507612,22
VI,128,Raw,1,0.0,0.0,0.0,336.71450000838377,0.0,336.7209999996703,177.00262098992465,5.224223521507612,22
VI,128,Raw,2,0.0,0.0,0.0,335.2887999935774,0.0,335.2962000062689,177.00262098992465,5.224223521507612,22
VI,128,Raw,3,0.0,0.0,0.0,335.6567000009818,0.0,335.6638999975985,177.00262098992465,5.224223521507612,22
VI,128,Raw,4,0.0,0.0,0.0,341.3299999956507,0.0,341.3367999892216,177.00262098992465,5.224223521507612,22
VI,128,Huber,0,0.0,0.0,0.0,664.5875999965938,0.0,664.594500005478,159.06446443272714,4.450046332701605,40
VI,128,Huber,1,0.0,0.0,0.0,665.0072000047658,0.0,665.0138999975752,159.06446443272714,4.450046332701605,40
VI,128,Huber,2,0.0,0.0,0.0,670.8912000030978,0.0,670.8978999959072,159.06446443272714,4.450046332701605,40
VI,128,Huber,3,0.0,0.0,0.0,664.280900004087,0.0,664.2877999984194,159.06446443272714,4.450046332701605,40
VI,128,Huber,4,0.0,0.0,0.0,665.9881999948993,0.0,665.995200004545,159.06446443272714,4.450046332701605,40
VI,128,Patch,0,0.0,0.0,0.0,303.1344000046374,0.0,303.1421999912709,140.19255799519556,5.208789144748071,26
VI,128,Patch,1,0.0,0.0,0.0,301.8076000007568,0.0,301.81450000964105,140.19255799519556,5.208789144748071,26
VI,128,Patch,2,0.0,0.0,0.0,319.32480000250507,0.0,319.33589999971446,140.19255799519556,5.208789144748071,26
VI,128,Patch,3,0.0,0.0,0.0,308.4219000011217,0.0,308.4288999962155,140.19255799519556,5.208789144748071,26
VI,128,Patch,4,0.0,0.0,0.0,306.8837999890093,0.0,306.8955999915488,140.19255799519556,5.208789144748071,26
VI,128,PatchHuber,0,0.0,0.0,0.0,529.1934000124456,0.0,529.2003999929875,120.60324311868473,5.166098723910058,40
VI,128,PatchHuber,1,0.0,0.0,0.0,532.454800006235,0.0,532.4621000036132,120.60324311868473,5.166098723910058,40
VI,128,PatchHuber,2,0.0,0.0,0.0,525.1568000094267,0.0,525.163700003759,120.60324311868473,5.166098723910058,40
VI,128,PatchHuber,3,0.0,0.0,0.0,527.7872000006028,0.0,527.7942000102485,120.60324311868473,5.166098723910058,40
VI,128,PatchHuber,4,0.0,0.0,0.0,522.4362000008114,0.0,522.4427000066498,120.60324311868473,5.166098723910058,40
VI,128,Full,0,0.8526999881723896,0.12450000212993473,11.466700001619756,370.4483000037726,0.0,382.90280000364874,94.68244437874789,2.948022123042361,37
VI,128,Full,1,0.8413000032305717,0.12759999663103372,10.974099990562536,370.7520000025397,0.0,382.70550000015646,94.68244437874789,2.948022123042361,37
VI,128,Full,2,0.8353000011993572,0.12340000830590725,11.006700005964376,371.49150000186637,0.0,383.4657999977935,94.68244437874789,2.948022123042361,37
VI,128,Full,3,0.8195999980671331,0.1176999940071255,11.030099994968623,374.35529999493156,0.0,386.360100004822,94.68244437874789,2.948022123042361,37
VI,128,Full,4,0.9461000008741394,0.12379999679978937,10.5518999916967,373.2495000003837,0.0,384.8803000000771,94.68244437874789,2.948022123042361,37
VI,128,EstimatedFull,0,0.8346000104211271,0.11839999933727086,11.042800004361197,350.21010000491515,249.4966999947792,611.7396999907214,94.99437094485987,2.8332490949204567,25
VI,128,EstimatedFull,1,0.9029999928316101,0.11809999705292284,10.677699989173561,338.7033000035444,244.59840000781696,595.0387000048067,94.99437094485987,2.8332490949204567,25
VI,128,EstimatedFull,2,0.8474000060232356,0.12660000356845558,11.414699998567812,337.6374999934342,242.10350000066683,592.1705999935511,94.99437094485987,2.8332490949204567,25
VI,128,EstimatedFull,3,0.8228999940911308,0.11730000551324338,10.518700000829995,337.14299999701325,246.98080000234768,595.618999999715,94.99437094485987,2.8332490949204567,25
VI,128,EstimatedFull,4,0.831899989861995,0.11950000771321356,11.234500008868054,338.23860000120476,245.2377999870805,595.700299993041,94.99437094485987,2.8332490949204567,25
VI,154,Raw,0,0.0,0.0,0.0,603.6578999919584,0.0,603.6657999939052,157.00417428069878,3.9927711954391243,40
VI,154,Raw,1,0.0,0.0,0.0,608.1930000073044,0.0,608.2012000115355,157.00417428069878,3.9927711954391243,40
VI,154,Raw,2,0.0,0.0,0.0,607.7237999998033,0.0,607.7402000082657,157.00417428069878,3.9927711954391243,40
VI,154,Raw,3,0.0,0.0,0.0,605.3487000026507,0.0,605.3561000007903,157.00417428069878,3.9927711954391243,40
VI,154,Raw,4,0.0,0.0,0.0,606.9204999948852,0.0,606.9272000022465,157.00417428069878,3.9927711954391243,40
VI,154,Huber,0,0.0,0.0,0.0,677.9106000030879,0.0,677.9194999980973,143.653252634475,3.5853893976149926,40
VI,154,Huber,1,0.0,0.0,0.0,680.4980000015348,0.0,680.5055000004359,143.653252634475,3.5853893976149926,40
VI,154,Huber,2,0.0,0.0,0.0,677.8913000016473,0.0,677.8979999944568,143.653252634475,3.5853893976149926,40
VI,154,Huber,3,0.0,0.0,0.0,676.5927999949781,0.0,676.600699996925,143.653252634475,3.5853893976149926,40
VI,154,Huber,4,0.0,0.0,0.0,687.0548999868333,0.0,687.0622999995248,143.653252634475,3.5853893976149926,40
VI,154,Patch,0,0.0,0.0,0.0,388.04890000028536,0.0,388.05610001145396,114.30076588034355,4.9134075577370195,32
VI,154,Patch,1,0.0,0.0,0.0,387.34470000781585,0.0,387.3522000067169,114.30076588034355,4.9134075577370195,32
VI,154,Patch,2,0.0,0.0,0.0,391.4511000039056,0.0,391.45840000128374,114.30076588034355,4.9134075577370195,32
VI,154,Patch,3,0.0,0.0,0.0,392.0499999949243,0.0,392.0573999930639,114.30076588034355,4.9134075577370195,32
VI,154,Patch,4,0.0,0.0,0.0,388.7189000088256,0.0,388.72629999241326,114.30076588034355,4.9134075577370195,32
VI,154,PatchHuber,0,0.0,0.0,0.0,512.2486999898683,0.0,512.2560000017984,93.09682064905788,4.479817810400422,40
VI,154,PatchHuber,1,0.0,0.0,0.0,511.82970000081696,0.0,511.83709999895655,93.09682064905788,4.479817810400422,40
VI,154,PatchHuber,2,0.0,0.0,0.0,513.7084999878425,0.0,513.7151999952039,93.09682064905788,4.479817810400422,40
VI,154,PatchHuber,3,0.0,0.0,0.0,508.6711999902036,0.0,508.67809999908786,93.09682064905788,4.479817810400422,40
VI,154,PatchHuber,4,0.0,0.0,0.0,506.66410000121687,0.0,506.67149999935646,93.09682064905788,4.479817810400422,40
VI,154,Full,0,0.8498000097461045,0.09310001041740179,10.70840000465978,297.353000001749,0.0,309.01479999010917,73.01560483534159,3.422537928913241,25
VI,154,Full,1,0.821399997221306,0.08579999848734587,10.187599997152574,281.06399999524,0.0,292.1669000061229,73.01560483534159,3.422537928913241,25
VI,154,Full,2,0.8149999921442941,0.07910000567790121,10.777200004667975,282.96060000138823,0.0,294.6421999949962,73.01560483534159,3.422537928913241,25
VI,154,Full,3,0.8411000017076731,0.0872999953571707,10.57060000312049,278.5401000001002,0.0,290.04840001289267,73.01560483534159,3.422537928913241,25
VI,154,Full,4,0.8415000047534704,0.08259998867288232,11.036899988539517,280.6870000058552,0.0,292.6584999950137,73.01560483534159,3.422537928913241,25
VI,154,EstimatedFull,0,0.8816000045044348,0.07919999188743532,10.727100001531653,612.2060000052443,327.7776000031736,951.7101000092225,73.88390898668884,3.2669363055379406,29
