trajectory,selected,n_frames,coverage_pct,range_m__median,range_m__q1,range_m__q3,view_angle_from_plusX_deg__median,view_angle_from_plusX_deg__q1,view_angle_from_plusX_deg__q3,view_dir_change_deg__median,view_dir_change_deg__q1,view_dir_change_deg__q3,trans_speed_mm_s__median,trans_speed_mm_s__q1,trans_speed_mm_s__q3,ang_speed_deg_s__median,ang_speed_deg_s__q1,ang_speed_deg_s__q3,raw_residual_rms_mm__median,raw_residual_rms_mm__q1,raw_residual_rms_mm__q3,n_valid_points__median,n_valid_points__q1,n_valid_points__q3
II,True,428,34.15802075019952,10.731475436910301,9.12194380773205,12.509950761484458,33.22113099219696,22.054593757574324,41.4922555823149,0.38507718208825903,0.31558159512353023,0.4968921880928826,20.000571298683276,19.758668379193754,20.16888846737824,1.0625975004129113,1.0604773461850239,1.0643383497492693,84.6722988292959,76.44452715478022,117.36437113665654,10025.0,9622.5,10555.25
II,False,825,65.84197924980047,6.332626279219391,4.621747624574602,9.122810638548739,20.74666039652063,7.736836205524286,36.55242920079505,0.23319173441281824,0.17075279395470208,0.4331460606614325,19.933114064862394,18.34948403701392,20.204225099615417,1.062804872086313,1.0597618419307318,1.0656047694841184,65.90087730042731,47.71867475710493,83.5220628810025,10699.0,10328.0,11601.0
III,True,371,28.49462365591398,11.509149184879652,10.045995795553175,13.336843183031537,39.394679950137125,25.196179978318007,49.78176343995419,0.5368926532169294,0.4423308665331681,0.7274008912238075,20.037431594277624,19.941369319164547,20.155197582420257,1.063483379071624,1.0608390005148163,1.065676483649828,69.63084036192194,59.027727887579886,84.3857346415852,10268.0,9899.5,10521.5
III,False,931,71.50537634408602,4.90989362986613,3.858666259408464,7.355604453952827,34.91163123604611,17.694029396031347,46.9049336600579,0.1645108334681436,0.1517725038087978,0.30577968649996323,19.950029971432308,0.5125889017643244,20.144203195060246,1.063096322809288,1.0611894645540216,1.0653940428264295,67.5898673079859,50.954088472010056,89.26820562441677,10753.0,10174.5,12862.0
IV,True,156,6.42504118616145,14.816537623480013,14.78302545732939,14.831426141241616,26.243923573820673,18.183012107887823,34.83692163644481,2.5457299393645894,1.7650057357449045,3.5898468470451412,1.578558266820592,1.1046637105899537,10.509079877757802,5.047172104090601,4.593731024002151,5.3889983215613855,99.43701099315632,96.19709156409476,102.75151805987281,9926.0,9358.5,10319.0
IV,False,2272,93.57495881383855,6.053947024624496,4.081484930991914,9.98839206466387,2.797702353901662,1.944350517356699,4.295906511318443,0.10007343614196393,0.07929775192328363,0.1339432766025575,10.0411489065585,8.02192299870971,14.62149797279448,4.895951457383083,4.512014063753643,5.0003502319158954,74.43564785316761,72.08401693655782,95.52929751686464,10702.0,10252.75,13724.25
VI,True,501,100.0,12.094663756844593,10.103383384978962,14.659026642294029,34.85393144529725,34.84857872338339,34.87887857189691,4.515517737967645,4.5067710841344795,4.527907958652731,17.819152323855846,1.1047478198760203,21.069413473334937,8.146187948945874,7.183877547846171,8.678553689151068,104.14727240923827,98.41066819682293,108.79756841229691,10048.0,9641.0,10451.0
