patch_id,patch_center_x,patch_center_y,patch_center_z,patch_normal_x,patch_normal_y,patch_normal_z,model_point_count
0,0.3402330803892341,-0.1475351342634627,0.7153780388323616,0.1736677604139805,-0.0102197932041563,0.9847512705346748,3165
1,-0.3816077750594064,0.3920672553355821,-0.2747072553359359,-0.999623060332278,0.0252082510549243,-0.0108757220763997,2095
2,0.356152717002356,-0.3544169480897804,-0.6488023952981026,0.3951405583453983,-0.3668109132524899,-0.842207630616917,3257
3,1.4301150766570068,0.0097345793296687,0.0055891042463836,0.9994706788725556,0.0209117485964885,0.0249210923651055,4387
4,0.3408509681378606,-0.5939190506935119,0.4153212528195112,0.1277067457318624,-0.8642040111548674,0.4866645807929884,2635
5,0.3456242919647998,0.5839361161646182,-0.3910505696304523,0.2937950235629244,0.83337263215657,-0.4681608058157913,3425
6,-0.1799550172808677,-0.4445310825857512,-0.6192740421695334,-0.0334326131175295,-0.6244483958323116,-0.7803502170965202,3259
7,-0.3811916615613686,0.1342064513046939,0.4727043447132292,-0.9994365715446676,0.0059904724577581,0.0330250465370324,2232
8,0.0781372405378526,0.4014593418451804,0.6774061269699773,-0.0104555858712563,0.4998307791689884,0.8660599707407166,3950
9,-0.1411482341517354,0.2185689240808142,-0.7221469847962834,-0.0327285261673061,0.1581238136904285,-0.9868767416039912,3765
10,0.4579420497848959,0.2725952677903034,0.390015856224183,0.9986499058226213,0.0301133157620312,0.0423267505755658,2409
11,0.8615055521795527,-0.1149487119278427,-0.0684788779672912,-0.0019821913151548,-0.8588647124111999,-0.5121986691630672,1747
12,-0.1868799868908655,-0.7712650705272924,-0.0279410535669305,-0.0244077268880229,-0.9996049316041216,-0.0139371295781874,2923
13,-0.1714225913666531,0.6906796628807453,-0.265274280223238,-0.0227015343553488,0.8565012978709883,-0.5156453888897151,3196
14,-0.2027821427713181,-0.5125199038184893,0.5575403748826491,-0.189606998243805,-0.8483047690712243,0.4943968092413122,2296
15,0.4044124278136077,0.178953957702294,-0.6272129326426409,0.6541799937509974,0.0361669192486587,-0.7554736856621851,2969
16,-0.3815586007951731,-0.4890833247343113,0.0802972655399615,-0.9998371502245628,-0.0176029511228255,0.0039760712508976,1865
17,0.2717939311128993,-0.7229790326437769,-0.1959079778693683,0.0136501901513669,-0.9047345482591628,-0.4257570545453354,2933
18,-0.1893602920513536,-0.1305212924796771,0.7305702281879942,-0.0288339977862194,0.0283270231951609,0.999182756220585,2677
19,-0.2278845305271168,0.6868767033990283,0.2529155001877936,-0.2034207272200982,0.8472113588261134,0.4907676855837768,3258
20,0.320452911684241,0.7244721854139683,0.1600932888007567,0.198680928363848,0.9158565962031292,0.3489019688905438,3606
21,0.4578522451474505,-0.4619689827068646,0.0114500847906976,0.9998339265234388,-0.0165031776184745,0.0077307503656395,2360
22,-0.3812502023213303,-0.2190204371121203,-0.4919041933495127,-0.9991758832252752,-0.0098382173433206,-0.039379739213166,1693
23,0.8164802035527532,0.1095191742152231,0.0624034502157776,0.0070849459921913,0.8643219968287607,0.5028889433445832,1768
