block,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,47.11788985878225,48.545443452894645,48.37640002369875,26.44288633018725,51.789205521345096,50.67710950970645,96.15276567637915,52.3192416876554,62.1135458350181,88.44576217234129,62.630072236061054,78.69054563343525,100.4132479429245,79.0824051946401,102.22153924405569,50.9136421605944,49.926392734050694,56.32231477648015,80.100730061531,70.5847814679145,49.2528192698955,60.9193947166204,44.936075806617694,80.28951846063134
1,50.5626611411571,51.9042573869228,53.7456693127751,27.1406942047178,54.393191821873145,45.78064940869805,102.29044780135149,49.74874947220085,69.3197697401046,90.2274381369352,57.37766623497005,80.57574741542335,89.45108018815509,84.8576724529266,88.1210528314113,52.8894225135445,58.72692912817,50.78065954148765,84.1102600097656,81.33138343691824,53.21386642754075,58.4897138178348,53.440269082784596,80.92524297535415
2,57.7364712953567,53.888536989688795,50.9400032460689,27.4855103343725,57.4305653572082,52.8212301433086,101.9419245421886,47.2137331962585,80.213688313961,107.20035061240195,61.470553278923,80.863632261753,98.01987931132315,94.5982336997985,97.2510911524295,53.5422693938016,47.758936882019,58.8614847511053,85.3857863694429,95.697509124875,46.118825674057,66.7668730020523,57.0754893124103,79.8932611942291
3,51.744643598794895,58.178542181849394,48.504958860576096,29.73102591931815,70.78450173139565,47.47259896248575,110.31289026141164,62.63814307749265,87.75937557220455,96.83875180780885,56.48203101009125,76.70709863305089,112.0657920837402,101.0220609605312,104.0952447801828,41.2863483652472,54.217766970396,67.80061684548849,97.4709913134574,103.13277132809155,57.81063158065075,62.2214395552873,61.419319361448196,73.55182431638235
4,56.214792653918195,63.2887147367,47.6143658161163,31.780593097209902,63.350528478622394,38.082018494606,118.6224520206451,70.6361234188079,84.545150399208,99.886804819107,37.4087765812873,63.7790784239769,111.8208691477775,76.7954140901565,109.9659316241741,33.6744450032711,68.84810887277119,74.1526633501052,98.0995632708072,100.1280844211578,43.2224832475185,42.3749387264251,66.9034346938133,65.864585340023
5,51.6326371580362,60.29090005904435,47.049131244421,30.959414318203898,73.3343213796615,71.3568329811096,114.0505447983741,70.6126391887664,74.68579150736329,108.8745407760143,39.954006671905496,69.77458670735355,117.0138493180275,110.5047427117824,125.7276497781276,55.8644402772188,70.3583694994449,74.8813599348068,102.8353869915008,71.4126713573932,45.9892600774765,42.1153455972671,72.8000588715076,64.1934424638748
