x,med,lo,hi,n,patch_id
9.111138075283352,30.055658891797,28.9701861329376,31.67736716568465,39,3
9.810499265315158,31.620783731341298,29.889600817114072,33.33701845258467,96,3
10.638113117839758,31.6077154129743,30.1425100769847,32.963387202471424,52,3
11.3875998281904,29.779903590679098,28.7009757012128,31.914073973894098,45,3
12.138017045948416,30.2768005058169,28.70679507032035,31.205726787447873,42,3
12.887592648347324,27.9449876397848,26.26980887725945,29.060540255159097,39,3
13.648657075464158,27.41096587851635,26.303379330784075,28.841387946158576,36,3
14.795915481352779,26.6743646934628,25.443575810640997,28.123952914029324,152,3
9.111138075283352,63.5905414819717,37.34176047146315,83.57614837586874,39,20
9.810499265315158,41.7816331610083,33.39232131838797,79.85351886600256,96,20
10.638113117839758,41.53684899210925,33.29551592469215,81.89411275088784,52,20
11.3875998281904,64.7469442337751,38.9261320233345,96.6730043292045,45,20
12.138017045948416,42.0309919863939,30.421561561524825,84.74125340580937,42,20
12.887592648347324,58.2798440009355,30.5204172618687,80.05464449524874,39,20
13.648657075464158,61.0421076416969,28.9697330445051,74.85040463507173,36,20
14.795915481352779,47.44094796478745,25.542940478771875,71.76589593291274,152,20
9.111138075283352,79.2748779058456,48.536596819758344,110.72844639420504,39,8
9.810453089323754,74.09306615591039,42.7303910255432,108.7371334433555,93,8
10.62136379925859,90.1683401316404,51.5337539836764,129.6095661818981,50,8
11.374233479650483,103.0115634202957,48.01852535456415,129.82005998492235,43,8
12.138017045948416,89.26676400005809,65.37920702248809,122.98599071800707,42,8
12.913834691182243,82.41502195596689,40.921799838542896,117.7626103162765,37,8
13.671386686297335,63.468374311923945,33.9472917839884,90.93072451651095,34,8
14.795960225111891,66.43877923488614,38.54521643370382,103.76366041600697,146,8
