patch_id,patch_center_x,patch_center_y,patch_center_z,patch_normal_x,patch_normal_y,patch_normal_z,model_point_count
0,0.3402330803892341,-0.14753513426346274,0.7153780388323616,0.17366776041398058,-0.01021979320415631,0.9847512705346749,3165
1,-0.3816077750594064,0.3920672553355821,-0.2747072553359359,-0.9996230603322779,0.025208251054924396,-0.010875722076399714,2095
2,0.35615271700235607,-0.3544169480897804,-0.6488023952981026,0.3951405583453983,-0.3668109132524899,-0.842207630616917,3257
3,1.4301150766570068,0.009734579329668747,0.005589104246383688,0.9994706788725555,0.020911748596488568,0.02492109236510553,4387
4,0.3408509681378606,-0.5939190506935119,0.4153212528195112,0.1277067457318624,-0.8642040111548674,0.4866645807929884,2635
5,0.3456242919647998,0.5839361161646182,-0.3910505696304523,0.2937950235629244,0.83337263215657,-0.4681608058157913,3425
6,-0.1799550172808677,-0.4445310825857512,-0.6192740421695334,-0.03343261311752957,-0.6244483958323116,-0.7803502170965202,3259
7,-0.38119166156136863,0.13420645130469394,0.47270434471322925,-0.9994365715446676,0.0059904724577581,0.033025046537032414,2232
8,0.07813724053785266,0.4014593418451804,0.6774061269699773,-0.010455585871256329,0.49983077916898844,0.8660599707407166,3950
9,-0.1411482341517354,0.21856892408081424,-0.7221469847962834,-0.03272852616730612,0.15812381369042855,-0.9868767416039911,3765
10,0.4579420497848959,0.2725952677903034,0.39001585622418306,0.9986499058226211,0.030113315762031276,0.04232675057556587,2409
11,0.8615055521795527,-0.11494871192784278,-0.06847887796729123,-0.0019821913151548297,-0.8588647124111999,-0.5121986691630672,1747
12,-0.18687998689086552,-0.7712650705272924,-0.02794105356693057,-0.024407726888022955,-0.9996049316041216,-0.013937129578187494,2923
13,-0.17142259136665317,0.6906796628807453,-0.265274280223238,-0.022701534355348864,0.8565012978709883,-0.5156453888897151,3196
14,-0.20278214277131812,-0.5125199038184893,0.5575403748826491,-0.18960699824380503,-0.8483047690712243,0.4943968092413122,2296
15,0.4044124278136077,0.17895395770229408,-0.6272129326426409,0.6541799937509974,0.036166919248658724,-0.7554736856621851,2969
16,-0.3815586007951731,-0.4890833247343113,0.08029726553996154,-0.9998371502245629,-0.01760295112282554,0.003976071250897636,1865
17,0.27179393111289935,-0.7229790326437769,-0.19590797786936837,0.013650190151366965,-0.9047345482591629,-0.42575705454533547,2933
18,-0.18936029205135366,-0.13052129247967714,0.7305702281879942,-0.02883399778621949,0.028327023195160964,0.999182756220585,2677
19,-0.22788453052711682,0.6868767033990283,0.2529155001877936,-0.20342072722009827,0.8472113588261134,0.4907676855837768,3258
20,0.320452911684241,0.7244721854139683,0.16009328880075677,0.19868092836384801,0.9158565962031291,0.3489019688905438,3606
21,0.4578522451474505,-0.4619689827068646,0.011450084790697675,0.9998339265234387,-0.016503177618474564,0.00773075036563956,2360
22,-0.3812502023213303,-0.21902043711212038,-0.4919041933495127,-0.9991758832252751,-0.009838217343320693,-0.03937973921316601,1693
23,0.8164802035527532,0.10951917421522317,0.062403450215777624,0.007084945992191329,0.8643219968287607,0.5028889433445832,1768
