scan_id,patch_id,patch_center_x,patch_center_y,patch_center_z,support_count,median_residual,p90_residual,mean_signed_residual,excess_fraction,r4_frac,range_m
0,0,0.3402330803892341,-0.14753513426346274,0.7153780388323616,794,0.08785666152834892,0.11614053323864937,-0.06561762720750532,0.0,0.8879093198992444,14.787682614872995
0,1,-0.3816077750594064,0.3920672553355821,-0.2747072553359359,62,0.11479420959949493,0.5565998435020446,0.14761709414033836,0.12903225806451613,0.0,14.787682614872995
0,2,0.35615271700235607,-0.3544169480897804,-0.6488023952981026,91,0.07960738986730576,0.14724580943584442,0.05242474537578176,0.0,0.6373626373626373,14.787682614872995
0,3,1.4301150766570068,0.009734579329668747,0.005589104246383688,813,0.031461555510759354,0.10072239488363266,0.0109341723893515,0.0,0.5731857318573186,14.787682614872995
0,4,0.3408509681378606,-0.5939190506935119,0.4153212528195112,292,0.02243382204324007,0.05133053846657282,0.0032353556660332473,0.0,0.4520547945205479,14.787682614872995
0,5,0.3456242919647998,0.5839361161646182,-0.3910505696304523,180,0.01859813556075096,0.06539063230156898,-0.01655463178766594,0.0,0.37777777777777777,14.787682614872995
0,6,-0.1799550172808677,-0.4445310825857512,-0.6192740421695334,0,,,,,,14.787682614872995
0,7,-0.38119166156136863,0.13420645130469394,0.47270434471322925,250,0.05167929828166962,0.16126132756471628,0.005289821981132263,0.0,0.0,14.787682614872995
0,8,0.07813724053785266,0.4014593418451804,0.6774061269699773,627,0.11757659912109375,0.1395850419998169,-0.10376858921811442,0.0,0.9856459330143541,14.787682614872995
0,9,-0.1411482341517354,0.21856892408081424,-0.7221469847962834,0,,,,,,14.787682614872995
0,10,0.4579420497848959,0.2725952677903034,0.39001585622418306,3328,0.04455987177789211,0.15396853983402253,-0.035126957949614734,0.0,0.7713341346153846,14.787682614872995
0,11,0.8615055521795527,-0.11494871192784278,-0.06847887796729123,179,0.07541723549365997,0.16183248162269598,-0.014749673654330117,0.0,0.05027932960893855,14.787682614872995
0,12,-0.18687998689086552,-0.7712650705272924,-0.02794105356693057,103,0.04838549345731735,0.08206735998392105,0.03815860838041719,0.0,0.8737864077669902,14.787682614872995
0,13,-0.17142259136665317,0.6906796628807453,-0.265274280223238,158,0.06187388673424721,0.15912520736455918,0.03202365409314656,0.0949367088607595,0.0,14.787682614872995
0,14,-0.20278214277131812,-0.5125199038184893,0.5575403748826491,188,0.021497905254364014,0.05966015309095383,0.0018025117154119219,0.0,0.35638297872340424,14.787682614872995
0,15,0.4044124278136077,0.17895395770229408,-0.6272129326426409,241,0.04593872278928757,0.11456050723791122,0.008835498420850092,0.0,0.5103734439834025,14.787682614872995
0,16,-0.3815586007951731,-0.4890833247343113,0.08029726553996154,24,0.047157514840364456,0.09969217553734779,0.02094398115241347,0.0,0.0,14.787682614872995
0,17,0.27179393111289935,-0.7229790326437769,-0.19590797786936837,169,0.05953853204846382,0.10916251838207251,0.04609646987977311,0.0,0.28994082840236685,14.787682614872995
0,18,-0.18936029205135366,-0.13052129247967714,0.7305702281879942,455,0.09699045121669769,0.11970025897026063,-0.08977346267809601,0.0,0.9560439560439561,14.787682614872995
0,19,-0.22788453052711682,0.6868767033990283,0.2529155001877936,216,0.1282961443066597,0.14734233915805817,-0.12143851873568362,0.0,0.8611111111111112,14.787682614872995
0,20,0.320452911684241,0.7244721854139683,0.16009328880075677,307,0.11429119110107422,0.14452296495437628,-0.06409981029174243,0.0,0.8697068403908795,14.787682614872995
0,21,0.4578522451474505,-0.4619689827068646,0.011450084790697675,596,0.0441919956356287,0.13827094435691833,-0.024349362056345122,0.0,0.7818791946308725,14.787682614872995
0,22,-0.3812502023213303,-0.21902043711212038,-0.4919041933495127,27,0.08963856846094131,0.144473671913147,-0.04066900536417961,0.0,0.0,14.787682614872995
0,23,0.8164802035527532,0.10951917421522317,0.062403450215777624,87,0.11746565252542496,0.17407250106334687,-0.06420492124074706,0.0,0.5977011494252874,14.787682614872995
1,0,0.3402330803892341,-0.14753513426346274,0.7153780388323616,706,0.07523204386234283,0.10308552905917168,-0.054519174797296364,0.0,0.876770538243626,14.788001741808696
1,1,-0.3816077750594064,0.3920672553355821,-0.2747072553359359,69,0.12130901217460632,0.5855346322059631,0.1514083120998913,0.15942028985507245,0.0,14.788001741808696
1,2,0.35615271700235607,-0.3544169480897804,-0.6488023952981026,39,0.08324406296014786,0.14783368408679964,0.054360237903892994,0.0,0.6923076923076923,14.788001741808696
1,3,1.4301150766570068,0.009734579329668747,0.005589104246383688,807,0.031809769570827484,0.09426407814025878,0.013468715354032669,0.0,0.6133828996282528,14.788001741808696
1,4,0.3408509681378606,-0.5939190506935119,0.4153212528195112,227,0.026360467076301575,0.05434994921088219,0.0071464151685461524,0.0,0.5066079295154186,14.788001741808696
1,5,0.3456242919647998,0.5839361161646182,-0.3910505696304523,185,0.02585621364414692,0.06761888116598129,-0.01988866290225446,0.0,0.5027027027027027,14.788001741808696
1,6,-0.1799550172808677,-0.4445310825857512,-0.6192740421695334,0,,,,,,14.788001741808696
1,7,-0.38119166156136863,0.13420645130469394,0.47270434471322925,234,0.04496200941503048,0.14272876232862483,0.0015997169631370145,0.008547008547008548,0.0,14.788001741808696
1,8,0.07813724053785266,0.4014593418451804,0.6774061269699773,691,0.11080058664083481,0.13008835911750793,-0.09693534880329507,0.0,0.9956584659913169,14.788001741808696
1,9,-0.1411482341517354,0.21856892408081424,-0.7221469847962834,0,,,,,,14.788001741808696
1,10,0.4579420497848959,0.2725952677903034,0.39001585622418306,2864,0.05244689621031284,0.1664464294910431,-0.04700625324817181,0.0,0.8198324022346368,14.788001741808696
1,11,0.8615055521795527,-0.11494871192784278,-0.06847887796729123,215,0.07664734870195389,0.1898483276367187,0.0070463379996633805,0.0,0.04186046511627907,14.788001741808696
1,12,-0.18687998689086552,-0.7712650705272924,-0.02794105356693057,66,0.07142137363553047,0.09658422693610191,0.053833867447930527,0.0,0.7878787878787878,14.788001741808696
1,13,-0.17142259136665317,0.6906796628807453,-0.265274280223238,159,0.06951155513525009,0.16166872382164024,0.0022149633472703352,0.08176100628930817,0.0,14.788001741808696
1,14,-0.20278214277131812,-0.5125199038184893,0.5575403748826491,147,0.03108309581875801,0.06047086119651796,0.0049838952964281055,0.0,0.3333333333333333,14.788001741808696
1,15,0.4044124278136077,0.17895395770229408,-0.6272129326426409,281,0.040264420211315155,0.09912656247615814,0.01258883070445449,0.0,0.501779359430605,14.788001741808696
