scan_id,range_m,point_count,down_count,converged,ransac_fitness,icp_fitness,ransac_iters,n_corr,translation_error_m,attitude_error_deg,symmetry_equivalent_rotation_k,runtime_s,icp_rmse
0,14.787682614872995,9187,3076,0,0.004506437768240343,0.6609442060085837,53248,426,0.12406009106273014,4.168932513326189,2,2.204249800008256,0.04235714925984239
125,14.659026642294023,11449,3538,0,0.003648068669527897,0.6583690987124463,1081344,465,0.1269892277996198,3.9909064435216197,1,37.61942070000805,0.041546705062419226
250,12.094663756844588,9891,3314,0,0.0038626609442060085,0.6841201716738198,86016,482,0.12577579254549662,3.377128999587862,1,3.5820595999830402,0.04204388475644268
375,10.103383384978963,9978,3308,0,0.005579399141630901,0.6667381974248927,180224,464,0.13854305729615793,2.2957453599129636,1,6.440282700001262,0.04133881034059005
500,8.74651829842418,9491,2554,0,0.0030042918454935624,0.5733905579399141,129024,472,0.15648902005658322,5.45723835349664,2,4.789238600002136,0.046971459964199866
