scan_id,range_m,point_count,down_count,converged,ransac_fitness,icp_fitness,ransac_iters,n_corr,translation_error_m,attitude_error_deg,terr_vec_target_x,terr_vec_target_y,terr_vec_target_z,rot_err_axis_x,rot_err_axis_y,rot_err_axis_z,symmetry_equivalent_rotation_k,runtime_s,icp_rmse,angular_rate_deg_s
0,14.787682614872995,9187,3076,0,0.001072961373390558,0.29055793991416307,40960,125,1.145378875230962,108.81378924459241,0.9484476440168477,-0.4506101478594784,0.45748259970221095,0.44386536438386387,-0.6319134026803602,0.6353495020957431,2,1.0191672000219114,0.05910875368043002,7.323917667596879
5,14.789051855296234,10360,3235,0,0.0017167381974248926,0.3070815450643777,18432,132,1.1522357661682272,122.58525836944945,0.9504665835459176,-0.651185027894562,-0.014784919539548635,-0.19022381097895083,0.978664184923914,0.07766154057096426,0,0.7923508999519981,0.056278413603425455,8.503692550356522
10,14.790682493768198,10394,3314,0,0.0008583690987124463,0.257725321888412,16384,111,0.6295439114852426,96.99012405510595,-0.18849152273669248,-0.44806173733135113,-0.4000464496582281,0.7456317412665865,0.03035394089022544,0.6656665416619577,1,0.8050002999952994,0.06009724357094999,6.377696489386377
15,14.791878893364629,9367,3093,0,0.0015021459227467812,0.6328326180257511,6144,114,0.11541774678203098,9.4018105166299,0.0067287232929079885,0.01586141698949059,0.11412447592946046,0.8244416087273022,-0.11199686972679342,-0.5547546619637707,1,0.6237173000117764,0.04568376854103302,8.401952445633814
20,14.793707813096283,10354,3270,0,0.0015021459227467812,0.08583690987124463,18432,107,2.0631004046809225,91.20156511460036,-0.13659921459432478,-1.9397041133254238,-0.6893996570315591,0.24337867681410408,0.6379125835713901,0.7306396891720913,2,0.7739792999927886,0.03781351295092802,8.395261396797306
25,14.796065646662088,9851,3225,0,0.0015021459227467812,0.6476394849785407,8192,116,0.11173447043432334,3.564911574500427,0.00627764983476535,0.1040714668981644,-0.040178511339458704,0.7304210740912196,0.36024413606434663,-0.5802665051118162,1,0.6659224999602884,0.04285771083519795,6.296441063334329
30,14.797532181011196,10431,3332,0,0.0015021459227467812,0.20901287553648068,24576,132,0.8200280293037081,92.08137290785051,-0.0850186771743544,0.6034022036093509,-0.5487472770361834,-0.27540548864202075,0.9611783720437498,-0.01696920567312094,2,0.8320835999911651,0.056106876236956274,7.1893946649860485
35,14.798641869392272,9085,3047,0,0.0012875536480686696,0.2427038626609442,96256,116,0.7895493601652792,84.56527622646,-0.05735897290422998,0.3100170088734797,-0.7238698740615708,-0.06625789792926108,0.9410249707310672,-0.3317859180595069,0,1.4998580000246875,0.05668822166690353,7.1959360314874505
40,14.799773162096946,10206,3327,0,0.0006437768240343348,0.20858369098712445,8192,97,0.8039542950115459,99.99753982499138,-0.11800630242401255,-0.3677427920579088,-0.7051115230551672,-0.622836513828346,0.7099839536071456,-0.32862967404438564,2,0.6475386999663897,0.057773842668028076,8.60770920812196
45,14.80047131386315,9387,3157,0,0.0023605150214592273,0.6690987124463519,8192,113,0.11135162969603697,4.005004590298265,0.005563711088639657,-0.09983253974397756,0.049007086866621946,0.7519277628722559,-0.17205324594577548,-0.6363979258148528,1,0.6589880000101402,0.045364975651614944,6.455785434114853
