analysis,target,predictor,coef,ci_low,ci_high,p_value,model_r2,partial_r2,notes
correlation,median_residual_m,range_m,0.19904161118692498,,,7.155183875183259e-06,,,spearman=0.195
correlation,median_residual_m,point_count,-0.3634819697725129,,,4.290097712814277e-17,,,spearman=-0.353
correlation,p95_residual_m,range_m,0.6205828564769904,,,1.1512052417330448e-54,,,spearman=0.616
correlation,p95_residual_m,point_count,-0.12436372458186162,,,0.005311437427952697,,,spearman=-0.112
correlation,excess_return_fraction,range_m,0.24250328781813923,,,3.8705918915192176e-08,,,spearman=0.245
correlation,excess_return_fraction,point_count,-0.08110730363327283,,,0.06969592754927262,,,spearman=-0.075
correlation,r4_structured_frac,range_m,0.4022134541026294,,,6.6408033115126514e-21,,,spearman=0.386
correlation,r4_structured_frac,point_count,0.07107916052983826,,,0.11205967053112625,,,spearman=0.054
correlation,missing_proxy,range_m,-0.4800760725274929,,,3.0294441968173503e-30,,,spearman=-0.467
correlation,missing_proxy,point_count,-0.5044871542778384,,,1.0518348683700655e-33,,,spearman=-0.507
correlation,sps,range_m,-0.41432534107217195,,,3.3387189865669007e-22,,,spearman=-0.440
correlation,sps,point_count,-0.06270909136050688,,,0.1610667026899917,,,spearman=-0.115
ols_perscan,median_residual_m,intercept,0.06407056347945263,0.06349329362697755,0.06464783333192771,0.0,0.1825066414412546,,
ols_perscan,median_residual_m,range_m,0.0016316597912318024,0.001053030363463279,0.002210289219000326,4.8986922573063656e-08,0.1825066414412546,,
ols_perscan,median_residual_m,point_count,-0.0027476899635671273,-0.003326319391335651,-0.002169060535798604,3.4830576694497153e-19,0.1825066414412546,,
ols_perscan,p95_residual_m,intercept,0.1893065409690713,0.18750143457545695,0.19111164736268563,0.0,0.41310353548398127,,
ols_perscan,p95_residual_m,range_m,0.016915974038817144,0.015106616291967773,0.018725331785666516,6.39891316201631e-58,0.41310353548398127,,
ols_perscan,p95_residual_m,point_count,-0.004487256373576724,-0.006296614120426094,-0.002677898626727353,1.4825321454983442e-06,0.41310353548398127,,
ols_perscan,excess_return_fraction,intercept,0.0035870046300565082,0.003519692237242123,0.0036543170228708934,0.0,0.06840236622518281,,
ols_perscan,excess_return_fraction,range_m,0.0001974198146369613,0.00012994888891838813,0.00026489074035553447,1.5684391963191508e-08,0.06840236622518281,,
ols_perscan,excess_return_fraction,point_count,-7.777212268373069e-05,-0.00014524304840230387,-1.0301196965157504e-05,0.023959618328208997,0.06840236622518281,,
ols_perscan,r4_structured_frac,intercept,0.7122268131828386,0.7107538646598661,0.7136997617058112,0.0,0.1636788528638039,,
ols_perscan,r4_structured_frac,range_m,0.007303322770723044,0.00582690518659691,0.008779740354849177,1.4654883314905484e-20,0.1636788528638039,,
ols_perscan,r4_structured_frac,point_count,0.0007999697697200197,-0.0006764478144061143,0.0022763873538461537,0.28759198929160007,0.1636788528638039,,
ols_perscan,missing_proxy,intercept,0.6007770541406913,0.5976977492435797,0.6038563590378029,0.0,0.4539252241654512,,
ols_perscan,missing_proxy,range_m,-0.021185571854410595,-0.024272129073536215,-0.018099014635284974,1.4944106820177234e-35,0.4539252241654512,,
ols_perscan,missing_proxy,point_count,-0.02242592627108549,-0.02551248349021111,-0.01933936905195987,5.315813346720383e-39,0.4539252241654512,,
ols_perscan,sps,intercept,0.36931753412711255,0.3563110468037687,0.3823240214504564,2.3189470015438287e-216,0.17284912571827882,,
ols_perscan,sps,range_m,-0.06691683517281306,-0.07995395513485012,-0.05387971521077601,6.901577907653695e-22,0.17284912571827882,,
ols_perscan,sps,point_count,-0.005601553080428617,-0.01863867304246567,0.007435566881608438,0.39897785388338103,0.17284912571827882,,
patch_fixed_effect,patch_median_residual,PATCH_ID(23 dof),,0.12362416900142743,0.14784769987977386,,0.1439389520999742,0.13294848985859925,confound-only R2=0.0127; +patch R2=0.1439; n_cells=10429
patch_profile_spread,cross_scan_patch_profile,patch_id,,,,,,,profile min=29.2mm max=161.6mm std=29.5mm CV=0.359
